Entity,Year,Efficiency of lighting (OWID based on Fouquet & Pearson (2007))
United Kingdom,1700,27.92
United Kingdom,1750,28.6
United Kingdom,1800,38.9
United Kingdom,1850,161.8
United Kingdom,1900,470.64
United Kingdom,1950,11552.27
United Kingdom,2000,25000
