Entity,Year,Floating-Point Operations per Second
World,1993,124000000000
World,1994,170000000000
World,1995,170000000000
World,1996,368000000000
World,1997,1300000000000
World,1998,1300000000000
World,1999,2400000000000
World,2000,4900000000000
World,2001,7200000000000
World,2002,35900000000000
World,2003,35900000000000
World,2004,70700000000000
World,2005,280600000000000
World,2006,280600000000000
World,2007,478200000000000
World,2008,1100000000000000
World,2009,1800000000000000
World,2010,2600000000000000
World,2011,10500000000000000
World,2012,17600000000000000
World,2013,33900000000000000
World,2014,33900000000000000
World,2015,33900000000000000
World,2016,93000000000000000
World,2017,93000000000000000
