Entity,Year,area_disaggregated_categories,area_aggregated_categories
Cropland,-10000,,0
Cropland,-9000,,0
Cropland,-8000,,0
Cropland,-7000,,4.32402
Cropland,-6000,,584.43044
Cropland,-5000,,9803.74633
Cropland,-4000,,160987.0974
Cropland,-3000,,273721.0635
Cropland,-2000,,405925.7757
Cropland,-1000,,844290.8098
Cropland,0,,1741559.199
Cropland,100,,1767095.38
Cropland,200,,1697587.409
Cropland,300,,1359477.108
Cropland,400,,1416910.061
Cropland,500,,1410647.525
Cropland,600,,1501091.139
Cropland,700,,1447259.486
Cropland,800,,1465292.82
Cropland,900,,1695149.146
Cropland,1000,,1798139.279
Cropland,1100,,2483526.639
Cropland,1200,,2917678.536
Cropland,1300,,3024272.338
Cropland,1400,,2668992.343
Cropland,1500,,3167405.381
Cropland,1600,,3108195.744
Cropland,1700,,3322170.559
Cropland,1710,,3466885.522
Cropland,1720,,3617363.112
Cropland,1730,,3770231.307
Cropland,1740,,3921213.011
Cropland,1750,,4115257.281
Cropland,1760,,4365400.034
Cropland,1770,,4567449.535
Cropland,1780,,4608517.892
Cropland,1790,,4787438.813
Cropland,1800,,5073915.282
Cropland,1810,,5275272.478
Cropland,1820,,5513277.059
Cropland,1830,,5826465.031
Cropland,1840,,6526283.248
Cropland,1850,,7073557.671
Cropland,1860,,8000628.023
Cropland,1870,,8726566.856
Cropland,1880,,9817642.657
Cropland,1890,,10793486.72
Cropland,1900,,11516021.29
Cropland,1910,,12756621.31
Cropland,1920,,14127615.49
Cropland,1930,,15497181.08
Cropland,1940,,16754646.83
Cropland,1950,,17919560.15
Cropland,1960,,19099897.7
Cropland,1970,,19069833.93
Cropland,1980,,18952739.86
Cropland,1990,,19071345.79
Cropland,2000,,19065343.19
Cropland,2001,,19087824.62
Cropland,2002,,19062070.79
Cropland,2003,,19180489.03
Cropland,2004,,19218068.39
Cropland,2005,,19258161.46
Cropland,2006,,19152639.08
Cropland,2007,,19132147.28
Cropland,2008,,19202120.02
Cropland,2009,,19198725.39
Cropland,2010,,19140513.42
Cropland,2011,,19199078.07
Cropland,2012,,19291892.03
Cropland,2013,,19295490.03
Cropland,2014,,19343389.03
Cropland,2015,,19379053.01
"Inhabited treeless, barren lands",-10000,43946425.83,
"Inhabited treeless, barren lands",-9000,44792083.46,
"Inhabited treeless, barren lands",-8000,45677658.96,
"Inhabited treeless, barren lands",-7000,46450928.25,
"Inhabited treeless, barren lands",-6000,47086146.23,
"Inhabited treeless, barren lands",-5000,47598948.77,
"Inhabited treeless, barren lands",-4000,47985810.21,
"Inhabited treeless, barren lands",-3000,48243397.95,
"Inhabited treeless, barren lands",-2000,48683002.44,
"Inhabited treeless, barren lands",-1000,47943429.39,
"Inhabited treeless, barren lands",0,47334969.44,
"Inhabited treeless, barren lands",100,47289963.61,
"Inhabited treeless, barren lands",200,47257497.45,
"Inhabited treeless, barren lands",300,47336618.53,
"Inhabited treeless, barren lands",400,47518511.57,
"Inhabited treeless, barren lands",500,47157434.32,
"Inhabited treeless, barren lands",600,46451102.31,
"Inhabited treeless, barren lands",700,45909959.13,
"Inhabited treeless, barren lands",800,45641194.3,
"Inhabited treeless, barren lands",900,45366676.95,
"Inhabited treeless, barren lands",1000,45105305.92,
"Inhabited treeless, barren lands",1100,44963180.72,
"Inhabited treeless, barren lands",1200,44806123.23,
"Inhabited treeless, barren lands",1300,44675560.64,
"Inhabited treeless, barren lands",1400,44466275.94,
"Inhabited treeless, barren lands",1500,43985243.25,
"Inhabited treeless, barren lands",1600,43146989.02,
"Inhabited treeless, barren lands",1700,42433745.61,
"Inhabited treeless, barren lands",1710,42350608.94,
"Inhabited treeless, barren lands",1720,41999941.02,
"Inhabited treeless, barren lands",1730,41371678.16,
"Inhabited treeless, barren lands",1740,40628249.02,
"Inhabited treeless, barren lands",1750,38586657.57,
"Inhabited treeless, barren lands",1760,37980975.54,
"Inhabited treeless, barren lands",1770,37414393.85,
"Inhabited treeless, barren lands",1780,36876436.46,
"Inhabited treeless, barren lands",1790,36457707.33,
"Inhabited treeless, barren lands",1800,35680154.02,
"Inhabited treeless, barren lands",1810,35164253.17,
"Inhabited treeless, barren lands",1820,34749022.32,
"Inhabited treeless, barren lands",1830,33596777.13,
"Inhabited treeless, barren lands",1840,32665624.93,
"Inhabited treeless, barren lands",1850,32131279.68,
"Inhabited treeless, barren lands",1860,31454066.23,
"Inhabited treeless, barren lands",1870,30944055.24,
"Inhabited treeless, barren lands",1880,28809782.72,
"Inhabited treeless, barren lands",1890,26893938.54,
"Inhabited treeless, barren lands",1900,22630827.86,
"Inhabited treeless, barren lands",1910,20804903.78,
"Inhabited treeless, barren lands",1920,19073620.89,
"Inhabited treeless, barren lands",1930,17492396.6,
"Inhabited treeless, barren lands",1940,15899967.65,
"Inhabited treeless, barren lands",1950,14263858.33,
"Inhabited treeless, barren lands",1960,13108727.66,
"Inhabited treeless, barren lands",1970,12769521.01,
"Inhabited treeless, barren lands",1980,12077931.45,
"Inhabited treeless, barren lands",1990,11870625.51,
"Inhabited treeless, barren lands",2000,11479003.07,
"Inhabited treeless, barren lands",2001,11469566.97,
"Inhabited treeless, barren lands",2002,11468084.14,
"Inhabited treeless, barren lands",2003,11479619.35,
"Inhabited treeless, barren lands",2004,11461696,
"Inhabited treeless, barren lands",2005,11499250.94,
"Inhabited treeless, barren lands",2006,11494809.88,
"Inhabited treeless, barren lands",2007,11488613.45,
"Inhabited treeless, barren lands",2008,11483056.57,
"Inhabited treeless, barren lands",2009,11492654.34,
"Inhabited treeless, barren lands",2010,11499390.7,
"Inhabited treeless, barren lands",2011,11581220.62,
"Inhabited treeless, barren lands",2012,11570061.36,
"Inhabited treeless, barren lands",2013,11581514.32,
"Inhabited treeless, barren lands",2014,11574554.51,
"Inhabited treeless, barren lands",2015,11568977.89,
Irrigated villages,-10000,0,
Irrigated villages,-9000,0,
Irrigated villages,-8000,0,
Irrigated villages,-7000,0,
Irrigated villages,-6000,0,
Irrigated villages,-5000,0,
Irrigated villages,-4000,0,
Irrigated villages,-3000,0,
