Entity,Year,cost_animal_food,cost_animal_food_share,cost_energy_sufficient_diet,cost_energy_sufficient_relative_expenditure,cost_fruits,cost_fruits_share,cost_healthy_diet,cost_healthy_relative_expenditure,cost_legumes,cost_legumes_share,cost_nutrient_sufficient_diet,cost_nutrient_sufficient_relative_expenditure,cost_oils,cost_oils_share,cost_staples,cost_staples_share,cost_veg,cost_veg_share,energy_sufficient_unaffordable_number,energy_sufficient_unaffordable_share,healthy_unaffordable_number,nutrition_sufficient_unaffordable_number,nutrition_sufficient_unaffordable_share,healthy_unaffordable_share
Albania,2017,1.204,0.305,0.725,0.078,0.911,0.231,3.952,0.425,0.441,0.112,2.471,0.266,0.089,0.023,0.599,0.152,0.707,0.179,0,0,1.1,0.4,13,37.8
Albania,2018,,,,,,,4.051,,,,,,,,,,,,,,0.8,,,27.9
Albania,2019,,,,,,,4.117,,,,,,,,,,,,,,0.6,,,19.8
Albania,2020,,,,,,,4.197,,,,,,,,,,,,,,0.6,,,20.1
Algeria,2017,0.964,0.256,0.773,0.124,0.979,0.26,3.763,0.605,0.493,0.131,2.323,0.374,0.132,0.035,0.496,0.132,0.699,0.186,0.1,0.2,14.6,3,7.2,35.2
Algeria,2018,,,,,,,3.822,,,,,,,,,,,,,,14.3,,,33.9
Algeria,2019,,,,,,,3.796,,,,,,,,,,,,,,13.7,,,31.8
Algeria,2020,,,,,,,3.76,,,,,,,,,,,,,,13.2,,,30.2
Angola,2017,1.011,0.234,1.403,0.315,0.717,0.166,4.327,0.972,0.395,0.091,3.231,0.726,0.166,0.038,0.839,0.194,1.199,0.277,17,57.2,27.7,26,87.1,92.9
Angola,2018,,,,,,,4.293,,,,,,,,,,,,,,28.8,,,93.4
Angola,2019,,,,,,,4.352,,,,,,,,,,,,,,29.9,,,93.9
Angola,2020,,,,,,,4.534,,,,,,,,,,,,,,31,,,94.3
Anguilla,2017,0.647,0.174,1.308,0.203,0.811,0.218,3.717,0.577,0.328,0.088,2.433,0.378,0.134,0.036,0.778,0.209,1.019,0.274,,,,,,
Antigua and Barbuda,2017,0.682,0.166,0.933,0.174,1.003,0.244,4.112,0.767,0.429,0.104,3.017,0.563,0.115,0.028,0.604,0.147,1.279,0.311,,,,,,
Antigua and Barbuda,2018,,,,,,,4.302,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2019,,,,,,,4.391,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2020,,,,,,,4.504,,,,,,,,,,,,,,,,,
Argentina,2017,0.669,0.2,0.652,0.077,0.733,0.219,3.341,0.395,0.656,0.196,2.625,0.31,0.117,0.035,0.463,0.139,0.703,0.21,0.1,0.3,4.8,3.1,7.1,11
Armenia,2017,0.973,0.314,1.013,0.088,0.488,0.158,3.096,0.27,0.541,0.175,2.208,0.192,0.123,0.04,0.537,0.173,0.433,0.14,0,0.6,1.2,0.5,16.8,40.9
