Entity,Year,Projected global extreme poverty rate,Projected extreme poor in fragile states,Projected share of global extreme poor living in fragile states,Projected share of world population living in fragile states,Projected extreme poverty rate amongst fragile states,Projected extreme poor not in fragile states
OECD 2008 list,2015,9.9044209,4.5437441,45.875923,16.019424,28.363968,5.3606768
OECD 2008 list,2016,9.3372269,4.5887804,49.145004,16.21978,28.291264,4.7484465
OECD 2008 list,2017,8.7134438,4.557477,52.30397,16.421812,27.752583,4.1559668
OECD 2008 list,2018,8.1056843,4.4882441,55.371559,16.625795,26.995663,3.6174402
OECD 2008 list,2019,7.5978303,4.4305186,58.312943,16.832228,26.321642,3.1673117
OECD 2008 list,2020,7.1839075,4.3720484,60.858921,17.041422,25.65542,2.8118591
OECD 2008 list,2021,6.8628907,4.3180456,62.918762,17.253405,25.027212,2.5448451
OECD 2008 list,2022,6.5936046,4.2649121,64.682556,17.467939,24.415655,2.3286924
OECD 2008 list,2023,6.3488474,4.1469159,65.317619,17.684792,23.449051,2.2019315
OECD 2008 list,2024,6.148591,4.0380859,65.67498,17.903614,22.554585,2.1105051
OECD 2008 list,2025,5.9708366,3.9375172,65.945824,18.124151,21.72525,2.0333195
OECD 2008 list,2026,5.801909,3.8383577,66.156807,18.346289,20.921713,1.9635513
OECD 2008 list,2027,5.6460905,3.7464228,66.354279,18.570063,20.17453,1.8996677
OECD 2008 list,2028,5.5014191,3.660804,66.542908,18.795557,19.476965,1.840615
OECD 2008 list,2029,5.3661633,3.5808971,66.731049,19.022915,18.824125,1.7852662
OECD 2008 list,2030,5.2406201,3.5059347,66.899231,19.252218,18.210548,1.7346854
OECD 2008 list,2031,5.1131282,3.4310341,67.10244,19.48341,17.610029,1.6820941
OECD 2018 list,2015,9.9044209,6.1422405,62.015141,23.233923,26.436522,3.7621803
OECD 2018 list,2016,9.3372269,6.1679363,66.057472,23.49008,26.25762,3.1692905
OECD 2018 list,2017,8.7134438,6.0910797,69.904388,23.748125,25.648676,2.622364
OECD 2018 list,2018,8.1056843,5.9813399,73.791916,24.008511,24.913416,2.1243443
OECD 2018 list,2019,7.5978303,5.8841085,77.444588,24.271992,24.24238,1.7137218
OECD 2018 list,2020,7.1839075,5.7908978,80.609306,24.539055,23.5987,1.3930097
OECD 2018 list,2021,6.8628907,5.711597,83.224365,24.80978,23.021555,1.1512938
OECD 2018 list,2022,6.5936046,5.6190252,85.219322,25.083822,22.400995,.97457933
OECD 2018 list,2023,6.3488474,5.4788084,86.296112,25.360754,21.603491,.87003899
OECD 2018 list,2024,6.148591,5.3481956,86.98246,25.639975,20.858818,.80039549
OECD 2018 list,2025,5.9708366,5.2259512,87.524605,25.921051,20.161032,.74488544
OECD 2018 list,2026,5.801909,5.1008344,87.916489,26.203808,19.466005,.7010746
OECD 2018 list,2027,5.6460905,4.9830928,88.257401,26.488356,18.812389,.66299772
OECD 2018 list,2028,5.5014191,4.8718877,88.556923,26.774889,18.195734,.62953138
OECD 2018 list,2029,5.3661633,4.7667036,88.828896,27.063709,17.6129,.59945965
OECD 2018 list,2030,5.2406201,4.6670961,89.056175,27.355017,17.061207,.573524
OECD 2018 list,2031,5.1131282,4.5654998,89.289749,27.648746,16.512501,.5476284
OECD Chronic list,2015,9.9044209,3.9485116,39.866154,13.315501,29.653494,5.9559093
OECD Chronic list,2016,9.3372269,4.0098839,42.945122,13.488372,29.728447,5.327343
OECD Chronic list,2017,8.7134438,3.9985628,45.88958,13.66255,29.266592,4.7148809
OECD Chronic list,2018,8.1056843,3.9507258,48.740189,13.838353,28.549105,4.1549587
OECD Chronic list,2019,7.5978303,3.9120064,51.488464,14.016305,27.910397,3.6858239
OECD Chronic list,2020,7.1839075,3.8713198,53.888775,14.196754,27.269051,3.3125877
OECD Chronic list,2021,6.8628907,3.8331971,55.85397,14.379736,26.656937,3.0296936
OECD Chronic list,2022,6.5936046,3.7940834,57.54187,14.565042,26.049242,2.7995212
OECD Chronic list,2023,6.3488474,3.6991224,58.264473,14.752476,25.074587,2.649725
