Entity,Year,ghg_kg,ghg_1000kcal,ghg_100gprotein,ghg_100gfat,land_use_kg,land_use_1000kcal,land_use_100gprotein,land_use_100gfat,eutrophication_kg,eutrophication_1000kcal,eutrophication_100gprotein,eutrophication_100gfat,water_scarcity_kg,water_scarcity_1000kcal,water_scarcity_100gprotein,water_scarcity_100gfat,water_kg,water_1000kcal,water_100gprotein,water_100gfat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
Ale,2022,0.48868986875,0.31733795964834965,0.8785246123863307,2.424208527021967,0.811485184375,0.6011523725476732,1.5776874615262342,3.065765692474226,1.633119746875,1.1568009248561555,3.089779887912351,6.86298105030398,1891.148529625,1417.8128222189289,3746.103485294563,7464.549375001737,49.402841640625,37.87327714680769,98.98496816205072,181.8030389227353,19.94479041875,15.570546093214695,39.86199505584892,62.666330946199956
Almond butter,2022,0.3870113076923077,0.06726478497993195,0.20759935280408792,0.0791032334894258,7.683045153846154,1.2968698546443223,3.6084332883635497,1.495296741659078,18.723074738461538,3.165000479196383,8.754301324241744,3.651263041038778,402211.9607692308,67620.1427571786,182707.58528508997,77714.97029880606,6846.472596923078,1151.9538672209064,3125.971106299361,1324.7011092583482,252.78822138461538,42.62623473470377,117.24638657132758,49.10161408808201
Almond milk,2022,0.6558875395161291,2.2222299975528013,13.595511965622215,4.057470177419106,1.3701058564516129,2.6750625971057316,12.687839328451094,4.60053028149088,4.1488755943548385,9.317069497487658,44.238944523798295,17.661514327172668,99916.41729459677,282550.644552112,1471678.8944151083,431118.0471773746,1246.9737829725807,2766.2581215345044,13432.324330324242,4286.672871905247,50.40110767096774,99.76636740905722,477.1421386974362,190.7327969035498
Almonds,2022,0.6023678597222223,0.10502862720476475,0.32833498842522524,0.11936143425795862,8.230926805555555,1.4233757744363884,4.261039936791202,1.6101363879531156,18.59575452361111,3.2118900561844446,9.537691498486472,3.6394940886716762,372799.1010631944,64275.14954852303,188994.71790108233,72908.19607790207,6413.314596694445,1106.0642145054435,3258.0857331211014,1254.12411325783,261.7185010138889,45.213038485392765,134.3999133570133,51.43859283373584
Apple juice,2022,0.45837839999999996,0.9551837119924713,29.152212256410255,19.754979485294115,0.66062946,1.3828390804615898,43.23215788461538,26.246742904411764,1.9116574100000001,3.7963684773778965,86.3212136051282,147.61472919117645,3286.8296165,6754.678597162986,177760.04540461538,199118.25813308824,122.318340205,245.72380859734204,6160.521064653845,8566.814616323529,11.021175754999998,22.752032083455838,668.4270158538462,551.5743742647059
Apple pie,2022,1.2449736986040187,0.41818179222285673,4.704171323715483,2.5854921310928995,1.7651649809258605,0.5973741370294771,6.471803882039044,3.819800460812732,6.619579523850231,2.0977765318025097,22.645553386157857,10.973712491672405,8193.821802142626,2607.8067266257895,28306.316032770035,15291.307594976079,396.3874492328507,123.50932930247608,1332.9830658836445,654.0484092461934,48.437329546348245,17.764296171007246,176.2883950296455,88.504053266111
Apples,2022,0.5073538973544973,0.8981880142107919,13.442715878318273,25.59441044847309,0.6689985968253969,1.2050805620370388,18.667989525523303,36.38627733130391,1.2055796386243385,2.0480576058479656,32.20926993782642,59.33308322613813,2469.089299153439,4439.5934629492085,68408.60791670122,133059.53429268624,90.3342268005291,157.48879557562728,2530.7144981971364,4607.39116572202,10.900282013756613,18.706499115185512,294.4701014536082,553.1636423901878
Apricot jam,2022,1.3821050899999998,0.761619667788208,24.97261475984152,56.5861996222607,1.368510216666667,0.7694789971588808,24.387251689668986,60.947300426660135,11.446766741666668,6.730958337946773,200.27647748409296,501.5553436491287,24526.64768666667,14578.83890054645,412421.0197847587,1129828.6994667968,851.0487645500001,492.29612685583726,14911.832671569073,38160.83118765929,46.48436817,26.15416502707538,828.8950117843298,2091.749371610306
Asparagus,2022,0.9256918166666667,2.7912292251248045,3.853152283717561,16.707521276950256,1.4017694694444445,3.909719057026033,5.424796888373031,20.964724434106067,4.001619922222222,11.004208183177656,15.781751906437227,72.943770051146,25692.92859972222,81275.70124159666,108253.43401078958,419040.926532248,310.51426297222224,966.8926714987608,1299.8577038834671,5221.708745434591,22.55513905,65.94105636336444,90.99448130704018,327.67658268401965
Avocados,2022,0.921227093548387,1.8537084481978499,4.984961745441377,11.067427565321093,1.2489312903225807,2.5133631030170216,6.758265297993171,15.006284667051817,2.671237738709677,5.3766513097538775,14.45480736248997,32.10367856280186,32696.893522580645,65694.89864314282,176920.21502976885,392048.9677042741,367.41429932258063,738.4760185227804,1988.0751158145524,4407.497414773882,24.449101938709678,49.191411205352026,132.29890177091758,293.6837514324664
