Entity,Year,Aircraft Departures (000s),Aircraft travel distance (million kilometers),Available seat kilometers; ASKs (millions),Cargo revenue tonne kilometres; RTKs (millions),Freight revenue tonne kilometres; RTKs (millions),Freight tonnes (millions),Mail revenue tonne kilometers; RTKs (millions),Number of passengers (millions),Passenger load factor (passengers / available seats),Revenue passenger kilometers (millions)
World,1929,,90,,,,,,,,170
World,1930,,120,,,,,,,,270
World,1931,,135,,,,,,,,330
World,1932,,140,,,,,,,,405
World,1933,,155,,,,,,,,545
World,1934,,160,,,,,,,,650
World,1935,,200,,,,,,,,920
World,1936,,230,,,,,,,,1225
World,1937,,265,,,,,,,,1410
World,1938,,300,,,,,,,,1685
World,1939,,295,,,,,,,,2030
World,1940,,300,,,,,,,,2530
World,1941,,340,,,,,,,,3280
World,1942,,320,,,,,,,,3580
World,1943,,325,,,,,,,,4265
World,1944,,415,,,,,,,,5490
World,1945,,600,,240,110,,130,9,,8000
World,1946,,940,,220,120,,100,18,,16000
World,1947,,1140,,400,270,,130,21,,19000
World,1948,,1270,,590,420,,170,24,,21000
World,1949,,1350,,760,570,,190,27,,24000
World,1950,,1440,46000,930,730,,200,31,0.608695652,28000
World,1951,,1620,55000,1100,870,,230,42,0.636363636,35000
World,1952,,1780,64000,1200,940,,260,46,0.625,40000
World,1953,,1950,75000,1270,990,,280,53,0.626666667,47000
World,1954,,2060,86000,1370,1040,,330,59,0.604651163,52000
World,1955,,2290,99000,1610,1240,,370,68,0.616161616,61000
World,1956,,2540,114000,1800,1400,,400,77,0.622807018,71000
World,1957,,2840,133000,1960,1530,,430,86,0.616541353,82000
World,1958,,2930,146000,2040,1570,,470,88,0.582191781,85000
World,1959,,3090,162000,2350,1830,,520,98,0.604938272,98000
World,1960,6600,3110,184000,2650,2040,,610,106,0.592391304,109000
World,1961,6600,3120,212000,3080,2360,,720,111,0.551886792,117000
World,1962,6600,3240,243000,3580,2770,,810,121,0.534979424,130000
World,1963,6700,3430,274000,3970,3110,,860,135,0.53649635,147000
World,1964,7100,3700,306000,4670,3760,,910,155,0.558823529,171000
World,1965,7500,4100,354000,5900,4800,,1100,177,0.559322034,198000
World,1966,7800,4480,397000,7230,5700,,1530,200,0.576826196,229000
World,1967,8600,5280,479000,8420,6530,,1890,233,0.56993737,273000
World,1968,9074,5993,578885,10503,8153,,2350,260.277,0.534513764,309422
World,1969,9473,6704,674973,12286,9769,3.97,2517,293.23,0.519871165,350899
World,1970,9486,7004,839930,15087,12018,6.083,3069,382.954,0.548237353,460481
World,1971,9546,7054,914070,16125,13225,6.673,2900,410.919,0.540589889,494137
World,1972,9646,7209,980766,17801,15022,7.284,2779,450.136,0.571061803,560078
World,1973,9889,7520,1072599,20408,17530,8.223,2878,488.514,0.576342137,618184
World,1974,9613,7375,1107532,21900,19016,8.651,2884,514.496,0.592692581,656426
World,1975,9683,7516,1178880,22270,19371,8.68,2899,534.024,0.591480897,697285
World,1976,9986,7840,1269815,24571,21541,9.336,3030,576.421,0.601475018,763762
World,1977,10118,8089,1346260,26805,23630,10.046,3175,610.322,0.607832068,818300
World,1978,10379,8498,1451184,29205,25939,10.625,3266,678.645,0.645233134,936352
World,1979,10666,9147,1607188,31436,28011,10.996,3425,754.117,0.65968387,1060236
World,1980,10691,9350,1723903,33057,29376,11.089,3681,748.288,0.631780326,1089128
World,1981,10250,9113,1756539,34675,30881,10.915,3794,752.271,0.637085769,1119066
World,1982,10379,9140,1794646,35413,31538,11.568,3875,765.806,0.636444736,1142193
World,1983,10820,9395,1852088,39112,35109,12.257,4003,797.81,0.642392262,1189767
World,1984,11453,10102,1972296,43978,39667,13.416,4311,847.931,0.648064996,1278176
World,1985,11952,10598,2081018,44236,39837,13.742,4399,899.218,0.657056787,1367347
World,1986,12698,11491,2234730,47735,43190,14.687,4545,960.012,0.649767533,1452055
World,1987,13306,12266,2367532,53021,48320,16.058,4701,1027.856,0.671360303,1589467
World,1988,13942,13017,2524094,58099,53265,17.215,4834,1082.474,0.675661049,1705432
World,1989,13945,13493,2608046,62202,57145,18.088,5057,1109.478,0.680088848,1773703
World,1990,14661,14371,2800844,64121,58796,18.423,5325,1165.156,0.676312212,1894245
World,1991,14269,14262,2779494,63630,58556,17.465,5074,1135.185,0.663940271,1845418
World,1992,14819,15690,2930185,67761,62636,17.647,5125,1145.553,0.658293589,1928922
World,1993,15777,17118,3013411,73671,68446,18.053,5225,1142.382,0.646915074,1949421
World,1994,17038,18249,3169342,82626,77215,20.522,5411,1233.341,0.66257791,2099936
World,1995,17816,19470,3358601,88765,83132,22.189,5633,1303.645,0.669390321,2248215
World,1996,18758,20601,3563774,94996,89199,23.234,5797,1391.085,0.682337039,2431695
World,1997,19320,21630,3727900,108870,102880,26.36,5990,1456.69,0.6902036,2573010
World,1998,19686,22438,3837725,107575,101818,26.496,5757,1471.47,0.684810923,2628116
World,1999,20739,23742,4050783,114373,108655,28.103,5718,1562.324,0.690682024,2797803
World,2000,24143.46595,25981.55598,4504515.272,133572.0116,127757.6857,29.62207992,5814.325949,1774.388418,0.710701581,3201366.124
World,2001,24233.63762,26157.10704,4489444.871,124941.6873,119836.7091,28.05210969,5104.978183,1740.675038,0.692407769,3108526.507
World,2002,23095.22023,25506.53548,4379359.487,134058.7055,129663.3193,30.57679956,4395.386216,1738.934363,0.713362113,3124069.139
World,2003,23816.59362,26559.84181,4443203.755,140372.6497,136016.8219,32.62544513,4355.82774,1794.580263,0.715767847,3180302.384
World,2004,26780.98744,30122.49555,4944362.87,154838.3469,150434.6051,35.75748786,4403.741845,2002.751573,0.73391155,3628725.02
World,2005,28077.20526,31857.35302,5229355.276,158674.0756,154195.4702,36.65142506,4478.605456,2144.946935,0.749427571,3919023.021
World,2006,28776.03574,33179.1492,5500959.426,169365.0341,164919.6688,38.97632614,4445.365318,2263.250106,0.758150692,4170556.196
