Entity,Year,Percent of students who could not read a single word of a short text
Ghana,2015,83
India,2015,85.4
Iraq,2015,34
Jordan,2015,11
Liberia,2015,31
Malawi,2015,90
Morocco,2015,33
Nepal,2015,37
Tanzania,2015,28
Uganda,2015,64
Yemen,2015,42
Zambia,2015,56
