Entity,Year,Same sex marriage and civil unions legal,Number of countries that have legalised same-sex marriage
Afghanistan,2020,Same-sex marriage not legally recognized,
Albania,2020,Same-sex marriage not legally recognized,
Algeria,2020,Same-sex marriage not legally recognized,
American Samoa,2020,Same-sex marriage not legally recognized,
Andorra,2005,Some rights to same-sex couples,
Angola,2020,Same-sex marriage not legally recognized,
Antigua and Barbuda,2020,Same-sex marriage not legally recognized,
Argentina,2010,Same-sex marriage legal,
Armenia,2020,Same-sex marriage not legally recognized,
Aruba,2020,Same-sex marriage not legally recognized,
Australia,2017,Same-sex marriage legal,
Austria,2019,Same-sex marriage legal,
Azerbaijan,2020,Same-sex marriage not legally recognized,
Bahamas,2020,Same-sex marriage not legally recognized,
Bahrain,2020,Same-sex marriage not legally recognized,
Bangladesh,2020,Same-sex marriage not legally recognized,
Barbados,2020,Same-sex marriage not legally recognized,
Belarus,2020,Same-sex marriage not legally recognized,
Belgium,2003,Same-sex marriage legal,
Belize,2020,Same-sex marriage not legally recognized,
Benin,2020,Same-sex marriage not legally recognized,
Bermuda,2020,Same-sex marriage not legally recognized,
Bhutan,2020,Same-sex marriage not legally recognized,
Bolivia,2020,Same-sex marriage not legally recognized,
Bosnia and Herzegovina,2020,Same-sex marriage not legally recognized,
Botswana,2020,Same-sex marriage not legally recognized,
Brazil,2013,Same-sex marriage legal,
British Virgin Islands,2020,Same-sex marriage not legally recognized,
Brunei,2020,Same-sex marriage not legally recognized,
Bulgaria,2020,Same-sex marriage not legally recognized,
Burkina Faso,2020,Same-sex marriage not legally recognized,
Burundi,2020,Same-sex marriage not legally recognized,
Cambodia,2020,Same-sex marriage not legally recognized,
Cameroon,2020,Same-sex marriage not legally recognized,
Canada,2005,Same-sex marriage legal,
Cape Verde,2020,Same-sex marriage not legally recognized,
Cayman Islands,2020,Same-sex marriage not legally recognized,
Central African Republic,2020,Same-sex marriage not legally recognized,
Chad,2020,Same-sex marriage not legally recognized,
Channel Islands,2020,Same-sex marriage not legally recognized,
Chile,2015,Some rights to same-sex couples,
China,2020,Same-sex marriage not legally recognized,
Colombia,2016,Same-sex marriage legal,
Comoros,2020,Same-sex marriage not legally recognized,
Congo,2020,Same-sex marriage not legally recognized,
Costa Rica,2020,Same-sex marriage legal,
Cote d'Ivoire,2020,Same-sex marriage not legally recognized,
Croatia,2014,Some rights to same-sex couples,
Cuba,2020,Same-sex marriage not legally recognized,
Curacao,2020,Same-sex marriage not legally recognized,
Cyprus,2015,Some rights to same-sex couples,
Czechia,2006,Some rights to same-sex couples,
Democratic Republic of Congo,2020,Same-sex marriage not legally recognized,
Denmark,2012,Same-sex marriage legal,
Djibouti,2020,Same-sex marriage not legally recognized,
Dominica,2020,Same-sex marriage not legally recognized,
Dominican Republic,2020,Same-sex marriage not legally recognized,
Ecuador,2019,Same-sex marriage legal,
Egypt,2020,Same-sex marriage not legally recognized,
El Salvador,2020,Same-sex marriage not legally recognized,
Equatorial Guinea,2020,Same-sex marriage not legally recognized,
Eritrea,2020,Same-sex marriage not legally recognized,
Estonia,2016,Some rights to same-sex couples,
Eswatini,2020,Same-sex marriage not legally recognized,
Ethiopia,2020,Same-sex marriage not legally recognized,
Faeroe Islands,2020,Same-sex marriage not legally recognized,
Fiji,2020,Same-sex marriage not legally recognized,
Finland,2015,Same-sex marriage legal,
France,2013,Same-sex marriage legal,
French Guiana,2020,Same-sex marriage not legally recognized,
French Polynesia,2020,Same-sex marriage not legally recognized,
French Southern Territories,2020,Same-sex marriage not legally recognized,
Gabon,2020,Same-sex marriage not legally recognized,
Gambia,2020,Same-sex marriage not legally recognized,
Georgia,2020,Same-sex marriage not legally recognized,
Germany,2017,Same-sex marriage legal,
Ghana,2020,Same-sex marriage not legally recognized,
Gibraltar,2020,Same-sex marriage not legally recognized,
Greece,2015,Some rights to same-sex couples,
Greenland,2015,Same-sex marriage legal,
Grenada,2020,Same-sex marriage not legally recognized,
Guam,2020,Same-sex marriage not legally recognized,
Guatemala,2020,Same-sex marriage not legally recognized,
Guinea,2020,Same-sex marriage not legally recognized,
Guinea-Bissau,2020,Same-sex marriage not legally recognized,
Guyana,2020,Same-sex marriage not legally recognized,
Haiti,2020,Same-sex marriage not legally recognized,
Honduras,2020,Same-sex marriage not legally recognized,
Hong Kong,2020,Same-sex marriage not legally recognized,
Hungary,2007,Some rights to same-sex couples,
