Entity,Year,"Health Expenditure, Total (World Bank (WDI) (2016))","World Health Expenditure, Private (World Bank (WDI) (2016))","World Health Expenditure, Public (World Bank (WDI) (2016))","Health Expenditure, Public Share (World Bank (WDI) (2016))","Health Expenditure, Out-of-Pocket Share (World Bank (WDI) (2016))","Health Expenditure, Public Share (World Bank (WDI by region) (2016))",Health Expenditure per capita (World Bank (WDI) (2016))
Belize,2000,3.97584438,,,52.61014075,39.00924308,,226.7114594
Belize,2001,4.50211685,,,57.51566701,34.67911539,,268.3372323
Belize,2002,4.37894298,,,56.09896702,35.83621401,,271.3035869
Belize,2003,4.53252298,,,57.12920413,34.05822056,,305.1766142
Belize,2004,4.39215195,,,57.08299215,34.09425047,,309.9238462
Belize,2005,4.4523771,,,59.47289407,32.1719802,,325.4370254
Belize,2006,4.4003128,,,60.66009113,29.52496766,,338.3020298
Belize,2007,4.7603524,,,63.49136198,27.43345179,,370.6058175
Belize,2008,5.09051303,,,64.60198518,25.88227111,,409.2274874
Belize,2009,5.79388813,,,66.58698376,24.43088262,,459.0513539
Belize,2010,5.84005216,,,66.00208946,23.64547143,,474.3999544
Belize,2011,5.59771286,,,66.46668433,23.39533651,,458.3958922
Belize,2012,5.34689984,,,64.89652712,24.4885823,,458.0403918
Belize,2013,5.42826329,,,62.44970774,26.19551135,,458.241714
Benin,1995,4.69268216,,,45.00048485,54.94080491,,47.87316445
Benin,1996,4.58649677,,,44.2941754,55.64530451,,48.17036728
Benin,1997,4.31179803,,,42.08042158,57.85630567,,47.28530762
Benin,1998,4.38570981,,,44.22991901,55.70730786,,49.11352555
Benin,1999,4.58684538,,,45.99920295,53.9395535,,53.30281735
Benin,2000,4.33873071,,,44.19557036,55.74129945,,52.44686151
Benin,2001,4.68672761,,,49.25107296,50.6880795,,59.63697355
Benin,2002,4.27443185,,,44.18529694,55.74772142,,55.80277402
Benin,2003,4.63066141,,,47.75271458,52.18599005,,61.95859585
Benin,2004,4.56185469,,,47.68307929,52.0675461,,62.56901708
Benin,2005,4.73384847,,,49.69487102,47.72491542,,66.74388262
Benin,2006,4.75046608,,,50.22140758,47.20631414,,69.41087432
Benin,2007,4.55045989,,,50.75153027,46.17034615,,69.24709274
Benin,2008,4.19557811,,,50.95043199,44.70593951,,66.33561888
Benin,2009,4.42131752,,,52.89885181,42.93783294,,70.22770588
Benin,2010,4.68986697,,,54.72455763,41.05244585,,75.13249544
Benin,2011,4.91957996,,,56.4826868,39.12527451,,80.90074483
Benin,2012,4.96568358,,,57.43883326,37.99291402,,85.21273325
Benin,2013,4.55973765,,,54.1939688,40.8636505,,81.66319916
Bhutan,1995,3.83730574,,,69.20666255,30.79333745,,82.57104573
Bhutan,1996,6.16432645,,,79.85445637,20.14554363,,141.6125442
Bhutan,1997,7.16420582,,,78.02282608,21.97717392,,173.499733
Bhutan,1998,7.04393163,,,76.95646781,23.04353219,,178.3270216
Bhutan,1999,6.74038946,,,75.07705631,24.92294369,,181.8347964
Bhutan,2000,6.71818748,,,79.2632189,20.7367811,,192.672659
Bhutan,2001,6.18539493,,,78.40879771,21.59120229,,190.7532313
Bhutan,2002,7.88377977,,,83.80479067,16.19520933,,265.3258218
Bhutan,2003,5.05864446,,,74.1111475,25.8888525,,181.5202993
Bhutan,2004,4.40750008,,,72.45727856,27.54272144,,167.3185416
Bhutan,2005,5.28016742,,,78.88020383,20.65404593,,215.9808588
Bhutan,2006,5.26855265,,,81.4125102,18.1455702,,231.9423019
Bhutan,2007,5.87931199,,,87.07382406,12.53117605,,306.9648926
Bhutan,2008,6.2920885,,,88.39469042,11.22065343,,344.4185279
Bhutan,2009,5.58170816,,,87.63228617,11.95431006,,322.6101073
Bhutan,2010,5.17305548,,,87.88014868,11.48251735,,332.2624152
Bhutan,2011,4.75338464,,,87.1251972,12.19776898,,332.1471611
Bhutan,2012,3.60648358,,,73.38150958,25.8531907,,263.7768918
Bhutan,2013,3.59228288,,,73.83867705,25.40925931,,275.4997974
Bolivia,1995,4.46997796,,,63.82151702,27.7809575,,132.8658936
Bolivia,1996,4.62820984,,,64.34940554,27.78194865,,142.9779771
Bolivia,1997,4.42171318,,,66.02415782,28.49623333,,142.6833649
Bolivia,1998,5.10001351,,,61.22419196,31.09137629,,171.04249
Bolivia,1999,6.19650543,,,58.14343164,35.08713137,,207.3039551
Bolivia,2000,6.07566266,,,60.09508716,32.55150555,,208.7569399
Bolivia,2001,6.31154371,,,59.32253314,31.69366716,,221.0432552
Bolivia,2002,6.52937179,,,62.82085923,29.31640097,,233.2675355
Bolivia,2003,5.57003585,,,60.07946405,31.59131116,,204.4642802
Bolivia,2004,5.33621631,,,62.54508263,29.31851214,,205.7517152
Bolivia,2005,5.57983253,,,66.19433198,26.32044302,,227.7214236
