Entity,Year,"Health Expenditure, Total (World Bank (WDI) (2016))","World Health Expenditure, Private (World Bank (WDI) (2016))","World Health Expenditure, Public (World Bank (WDI) (2016))","Health Expenditure, Public Share (World Bank (WDI) (2016))","Health Expenditure, Out-of-Pocket Share (World Bank (WDI) (2016))","Health Expenditure, Public Share (World Bank (WDI by region) (2016))",Health Expenditure per capita (World Bank (WDI) (2016))
Afghanistan,2002,8.1883526,,,6.72563796,87.66908908,,77.56287367
Afghanistan,2003,9.30019842,,,6.53643241,87.86400706,,91.86710113
Afghanistan,2004,9.24774288,,,10.48319663,84.1448729,,90.12334463
Afghanistan,2005,8.75306857,,,9.16159311,85.38004251,,94.0450155
Afghanistan,2006,8.5828413,,,12.37842331,82.34963091,,98.52758427
Afghanistan,2007,8.41888586,,,10.90056863,83.75535183,,109.0147975
Afghanistan,2008,9.60961025,,,19.07315162,76.05767809,,126.2195502
Afghanistan,2009,8.48382362,,,21.08710104,74.98349929,,130.8972801
Afghanistan,2010,8.45631755,,,20.86673007,74.34753321,,138.9132558
Afghanistan,2011,8.06515515,,,18.96612776,72.6412367,,144.2951939
Afghanistan,2012,8.47919927,,,20.80495757,70.48823913,,159.0973587
Afghanistan,2013,8.09959347,,,21.19665752,73.79183017,,161.2170073
Albania,1995,9.55671263,,,17.92462035,82.07537965,,263.6915463
Albania,1996,7.43197435,,,23.49574237,76.45072572,,228.958674
Albania,1997,7.56809993,,,26.75056386,73.18078438,,213.5747704
Albania,1998,6.94329921,,,30.17481594,69.76021656,,223.6162266
Albania,1999,6.86818989,,,36.54778707,63.38369617,,247.5756772
Albania,2000,6.2559844,,,36.10012132,63.81917269,,248.4406893
Albania,2001,6.00014389,,,38.20281748,61.6885918,,262.2988864
Albania,2002,6.48169625,,,34.81073175,65.0811893,,298.087612
Albania,2003,6.26700723,,,35.93587926,60.44117915,,313.0527795
Albania,2004,6.38156698,,,41.98662927,53.79591866,,349.3376212
Albania,2005,6.11598197,,,44.25217975,52.30411812,,366.8307252
Albania,2006,5.86037319,,,43.94148311,51.82904035,,396.275366
Albania,2007,6.10526057,,,43.06402634,52.47779606,,438.2417653
Albania,2008,5.86941583,,,45.89721869,51.67032625,,480.5710063
Albania,2009,5.79133716,,,48.92781291,50.91422312,,504.6795201
Albania,2010,5.33503467,,,46.42085784,53.40750652,,458.7373519
Albania,2011,5.71466404,,,49.8571852,49.98560394,,518.5883107
Albania,2012,5.62743862,,,49.29368554,50.54799577,,506.3071895
Albania,2013,5.88232793,,,48.37415552,51.46465476,,539.2819736
Algeria,1995,3.70152453,,,72.22954581,26.9485242,,249.7667511
Algeria,1996,3.34906968,,,74.7127638,24.39843603,,233.6043267
Algeria,1997,3.59465773,,,71.03223527,28.01718178,,253.5793964
Algeria,1998,3.59408178,,,70.33730835,28.80749077,,265.2087169
Algeria,1999,3.43391495,,,69.40565876,29.67705059,,261.3671052
Algeria,2000,3.48902094,,,73.33178231,25.79451389,,273.6936125
Algeria,2001,3.83786516,,,77.43152342,21.66852471,,317.8432075
Algeria,2002,3.73006375,,,76.46715449,22.52488338,,326.9282162
Algeria,2003,3.60102674,,,77.81772326,21.14863711,,340.6032765
Algeria,2004,3.54406326,,,72.40977048,26.09432671,,354.2981587
Algeria,2005,3.23516801,,,70.48267871,28.09361344,,348.2853159
Algeria,2006,3.35511843,,,69.59070803,29.12135325,,372.6355859
Algeria,2007,3.82141191,,,70.80029201,28.08858159,,442.9330314
Algeria,2008,4.20191141,,,72.89072982,26.14678762,,497.5723964
Algeria,2009,5.17626836,,,70.60702949,28.42070828,,616.2024766
Algeria,2010,4.82425417,,,68.41074081,30.63601504,,591.1378899
Algeria,2011,5.13638161,,,70.46171512,28.7211318,,647.4801972
Algeria,2012,6.00727769,,,73.47769597,25.78858566,,781.0632207
Algeria,2013,6.63502639,,,74.16038346,25.12478417,,778.0841639
Andorra,1995,6.04159589,,,64.44444444,26.66666667,,1469.42646
Andorra,1996,6.34820444,,,65.22742922,26.06423913,,1616.671324
Andorra,1997,6.34619618,,,66.19426578,25.18260111,,1807.157233
Andorra,1998,7.7856654,,,72.04343646,18.66410271,,2332.794657
Andorra,1999,5.81291759,,,66.15193908,25.12838675,,1828.948094
Andorra,2000,5.99720702,,,64.82142857,26.57142857,,1954.982206
Andorra,2001,5.74884724,,,68.75,21.875,,1907.790143
Andorra,2002,5.97846655,,,68.80733945,22.01834862,,2084.270697
Andorra,2003,5.7793529,,,68.59504132,22.31404959,,2132.825686
Andorra,2004,5.7169139,,,69.17293233,21.80451128,,2213.508728
Andorra,2005,5.75163479,,,69.13978446,22.2597091,,2390.07456
Andorra,2006,5.99685696,,,70.43010576,21.65550546,,2765.22214
Andorra,2007,6.10248475,,,69.79341381,22.54852903,,3018.039385
Andorra,2008,6.09609022,,,69.86662393,22.49387934,,2941.127367
Andorra,2009,6.07707918,,,70.08518906,22.33072545,,2898.392061
Andorra,2010,7.2786713,,,74.47297395,19.0553439,,3337.289108
Andorra,2011,7.51231234,,,73.58669834,19.53021906,,3379.246131
Andorra,2012,8.3020192,,,76.572466,17.46954968,,3907.455785
Andorra,2013,8.07364602,,,75.32315369,18.40114254,,3338.031175
Angola,1995,4.83242679,,,70.59264908,19.34114081,,103.4492706
Angola,1996,3.44775012,,,52.09424266,33.70844621,,79.23559369
Angola,1997,4.57851056,,,47.59002229,41.50323048,,112.4933933
Angola,1998,4.7045351,,,30.04779633,59.08737992,,121.502874
Angola,1999,4.10987898,,,51.86710362,36.11792629,,108.0694391
Angola,2000,3.3906891,,,49.46748067,36.07223888,,91.1358536
Angola,2001,5.82113343,,,48.3134305,42.96984216,,161.4646405
Angola,2002,4.36041309,,,42.19313694,46.31792742,,123.5559057
Angola,2003,4.93052307,,,42.89483935,46.86565848,,155.6822433
Angola,2004,5.12110974,,,47.86060231,42.31848625,,182.0014207
Angola,2005,4.15800412,,,49.99815331,38.09389531,,172.9921002
Angola,2006,4.54243614,,,66.53774217,22.72465616,,227.2472423
Angola,2007,3.3831109,,,65.43573672,26.94336491,,205.8943825
Angola,2008,3.84493151,,,70.64710311,19.68275516,,262.6156451
Angola,2009,4.37059617,,,60.9509392,29.43193607,,298.1104557
Angola,2010,3.40825834,,,60.47826367,28.07483549,,235.5556726
Angola,2011,3.44237596,,,62.60486149,26.20729027,,244.2050529
Angola,2012,3.47405127,,,62.16231812,26.68608541,,253.036264
Angola,2013,3.79896714,,,66.65926067,24.40369328,,355.4323888
Antigua and Barbuda,1995,4.92419784,,,65.82088522,28.94900045,,617.0407769
Antigua and Barbuda,1996,4.6632626,,,63.42226741,30.83026888,,618.5448338
Antigua and Barbuda,1997,4.68195322,,,65.48372183,29.3312504,,644.3876285
Antigua and Barbuda,1998,4.65400341,,,67.76656194,27.85103019,,658.0606113
Antigua and Barbuda,1999,3.98505384,,,68.86223652,26.57840708,,685.3309063
Antigua and Barbuda,2000,4.15570907,,,67.08368026,26.15126518,,634.3236307
Antigua and Barbuda,2001,4.52040609,,,65.25975018,27.5310616,,671.6747064
Antigua and Barbuda,2002,4.33842343,,,65.69209111,27.18843871,,665.1945514
Antigua and Barbuda,2003,4.39669651,,,63.68417212,28.77968062,,720.623701
Antigua and Barbuda,2004,4.26065458,,,62.89624599,29.40409878,,747.7885241
Antigua and Barbuda,2005,4.45380159,,,66.23554894,25.81248809,,849.7668423
Antigua and Barbuda,2006,4.34016587,,,67.96980248,23.86224407,,957.7454821
Antigua and Barbuda,2007,4.33641689,,,68.0285147,23.16222066,,1063.761122
Antigua and Barbuda,2008,4.73297674,,,70.62991465,21.97442518,,1171.168882
Antigua and Barbuda,2009,4.90132682,,,68.23082678,23.87108722,,1063.321787
Antigua and Barbuda,2010,5.63709144,,,69.06913862,23.06153827,,1136.628426
Antigua and Barbuda,2011,5.65964643,,,68.92634128,22.96963273,,1128.361119
Antigua and Barbuda,2012,5.4223434,,,67.95723078,23.97487402,,1124.683481
Antigua and Barbuda,2013,4.8666751,,,64.47024507,26.71228249,,1020.915119
Argentina,1995,8.31099274,,,59.75751924,27.97854978,,649.0826754
Argentina,1996,8.02499359,,,57.71520147,29.76190476,,664.8712365
Argentina,1997,8.36136161,,,54.45338343,28.79078695,,754.2387852
Argentina,1998,8.53592553,,,54.17352457,29.0618387,,801.4655885
Argentina,1999,9.35514932,,,55.07464937,28.59674257,,851.5356144
Argentina,2000,9.21275669,,,53.9013864,29.0341061,,841.0113275
Argentina,2001,9.37589012,,,54.03149917,29.42517656,,828.404231
Argentina,2002,8.31392968,,,53.55999173,29.82182167,,658.9146916
Argentina,2003,8.21606274,,,51.74039339,31.0830899,,717.0957894
Argentina,2004,6.84056093,,,51.49280584,31.07465606,,794.0196708
Argentina,2005,6.84561938,,,53.52669561,29.88124341,,903.1647555
Argentina,2006,6.68187053,,,54.69829016,29.05840881,,993.4937721
Argentina,2007,6.49458405,,,58.24968638,25.68097005,,1095.288761
Argentina,2008,6.66371839,,,61.84381018,22.60511593,,1195.159403
Argentina,2009,7.63475841,,,66.02416905,20.12872578,,1371.396156
Argentina,2010,6.55366875,,,63.67705606,21.90209861,,1312.144646
Argentina,2011,6.3223026,,,66.26202535,21.2949462,,1341.668938
Argentina,2012,6.75251249,,,69.26516925,20.12302425,,1550.058306
Argentina,2013,7.27711746,,,67.675436,21.09914545,,1724.620655
Armenia,1995,6.41873606,,,31.10071116,66.23138507,,101.748279
Armenia,1996,5.7907572,,,27.99544199,69.367376,,100.5038085
Armenia,1997,5.76758904,,,24.40354458,71.79346678,,106.3952356
Armenia,1998,5.75617179,,,28.57651116,67.77170205,,116.0855032
Armenia,1999,5.68179057,,,28.37863989,67.27838222,,120.7998835
Armenia,2000,6.25348348,,,18.19037346,77.34854937,,144.8276591
Armenia,2001,5.94041648,,,26.79062365,69.77567742,,154.9914323
Armenia,2002,5.40041921,,,25.2079035,68.75067995,,162.6215125
Armenia,2003,5.56388068,,,27.25741899,69.13352046,,195.5907214
Armenia,2004,5.50118169,,,25.52998216,71.34811044,,220.2390229
Armenia,2005,5.25211644,,,36.27210902,61.6467504,,247.9819851
Armenia,2006,4.57775072,,,44.84477594,52.65454715,,253.1974189
Armenia,2007,4.30883082,,,48.72052502,49.45282889,,279.4979552
Armenia,2008,3.79932298,,,46.44959963,51.3983681,,269.7176127
Armenia,2009,4.54532196,,,44.22139406,53.07837424,,280.0280553
Armenia,2010,4.56225906,,,42.14386708,55.87217495,,291.1892177
Armenia,2011,3.71354491,,,52.21171792,47.04559015,,252.9797758
Armenia,2012,4.48215825,,,41.84773131,54.56981392,,332.4909914
Armenia,2013,4.51975354,,,41.7293887,54.69471244,,351.3825924
Australia,1995,7.25666298,,,65.77695077,16.0886428,,1625.28089
Australia,1996,7.43975994,,,65.24622887,16.95011265,,1725.560252
Australia,1997,7.49551,,,66.8932389,16.87311256,,1811.523149
Australia,1998,7.65924442,,,66.35580785,19.90282828,,1951.911652
Australia,1999,7.7856115,,,68.38372703,18.61399578,,2085.835202
Australia,2000,8.06789426,,,66.89868692,19.80153533,,2255.310358
Australia,2001,8.17470816,,,66.28208469,19.25278856,,2388.017146
Australia,2002,8.38662628,,,66.98887706,18.74118056,,2550.39311
Australia,2003,8.31452343,,,66.19173753,18.18346784,,2657.338711
Australia,2004,8.57031529,,,66.76796094,18.17865628,,2861.047274
Australia,2005,8.45097932,,,66.96854221,18.53677733,,2961.281135
Australia,2006,8.48707508,,,66.6677675,18.57499031,,3144.398002
Australia,2007,8.52679567,,,67.59027137,17.95412263,,3315.994902
Australia,2008,8.77944854,,,67.48600974,17.92720783,,3451.63277
Australia,2009,9.04188995,,,68.38953949,18.1120932,,3687.460416
Australia,2010,9.02292419,,,67.96616137,18.5838748,,3761.332963
Australia,2011,9.21146113,,,68.65029211,17.93827587,,3983.712993
Australia,2012,9.35603797,,,67.17296739,18.73859109,,4042.349998
Australia,2013,9.4353552,,,66.60828556,19.06092724,,4191.090589
Austria,1995,9.58176257,,,73.50467274,15.09998119,,2253.285382
Austria,1996,9.5332026,,,73.18687169,15.52300667,,2325.373574
Austria,1997,9.81247771,,,75.16571878,15.39826178,,2456.489336
Austria,1998,9.97160191,,,75.26944653,15.37888263,,2616.84472
Austria,1999,10.15828794,,,75.71285686,14.9935372,,2765.231617
Austria,2000,10.02436017,,,75.63664444,15.12574475,,2904.391151
Austria,2001,10.0936702,,,75.06556343,15.91065433,,2941.449451
Austria,2002,10.12228748,,,74.76666505,16.06443722,,3090.902548
Austria,2003,10.30353387,,,74.49022955,16.3096889,,3236.14161
Austria,2004,10.42830237,,,74.69191808,16.95509647,,3436.302641
Austria,2005,10.41869909,,,75.31513813,16.83668649,,3514.893075
Austria,2006,10.21766119,,,75.65702654,16.58335019,,3747.867973
Austria,2007,10.2616829,,,75.8120852,16.46690445,,3910.605458
Austria,2008,10.48960855,,,76.31688177,15.97929838,,4188.105546
Austria,2009,11.16982407,,,76.21568085,16.01280716,,4401.584611
Austria,2010,11.12956048,,,75.47458491,16.1776784,,4516.830444
Austria,2011,10.87288757,,,76.54329458,15.89010221,,4680.494064
Austria,2012,11.09671602,,,75.8971403,15.70781686,,4812.307602
Austria,2013,11.03413396,,,75.74582706,15.8064276,,4884.61831
Azerbaijan,1995,5.79187601,,,24.02939178,66.35833854,,138.9559444
Azerbaijan,1996,6.12391391,,,24.25813035,65.13845741,,149.9835947
Azerbaijan,1997,5.45197597,,,22.53542054,62.16988181,,142.3970057
Azerbaijan,1998,5.43466004,,,16.63042446,67.23824988,,156.6244086
Azerbaijan,1999,5.35714447,,,18.39469645,64.77207763,,166.8349222
Azerbaijan,2000,4.67081301,,,18.55978283,63.26662402,,163.8577754
Azerbaijan,2001,4.48244097,,,18.88482493,63.2180006,,175.117816
Azerbaijan,2002,4.46710558,,,17.72552425,65.2668574,,193.9586498
Azerbaijan,2003,6.56328804,,,12.64119394,77.35400465,,319.7330745
Azerbaijan,2004,7.92454395,,,12.98081053,78.99833673,,432.1978544
Azerbaijan,2005,7.86329594,,,11.20185528,82.35839083,,553.0836304
Azerbaijan,2006,6.16806759,,,14.01061754,78.43178294,,594.376794
Azerbaijan,2007,5.09525293,,,19.23857152,72.56401639,,622.7231064
Azerbaijan,2008,4.37406647,,,18.85374838,71.74716482,,596.4313967
Azerbaijan,2009,5.85024048,,,22.88743044,68.50153612,,868.8929809
Azerbaijan,2010,5.3336001,,,21.89929319,69.18461184,,830.6322625
Azerbaijan,2011,5.00932503,,,21.57950756,69.8291745,,786.6597194
Azerbaijan,2012,5.36689762,,,22.55672979,69.02266594,,878.402351
Azerbaijan,2013,5.57973455,,,20.78291067,71.05923535,,956.6463065
Bahamas,1995,6.8503937,,,39.8467433,24.13793103,,1103.656302
Bahamas,1996,6.91604323,,,40.10416667,24.07852564,,1157.724789
Bahamas,1997,5.55011883,,,42.47279806,23.13436088,,959.9191201
Bahamas,1998,5.58609619,,,45.46117243,21.93591103,,1011.25534
Bahamas,1999,5.23029011,,,47.18321042,21.24740362,,1012.260081
Bahamas,2000,5.20817529,,,48.05037172,20.90729783,,1064.199571
Bahamas,2001,5.14618628,,,47.93639055,20.96261022,,1085.075604
Bahamas,2002,5.25568411,,,47.77047813,22.86040737,,1126.966068
Bahamas,2003,5.6180021,,,47.13216672,24.69252575,,1189.380082
Bahamas,2004,6.02453452,,,47.81175416,25.96021725,,1299.704909
Bahamas,2005,5.95416502,,,44.3754857,29.47167394,,1340.654893
Bahamas,2006,6.93251788,,,47.20654395,27.29617818,,1613.088686
Bahamas,2007,7.07559268,,,44.96445533,29.70906754,,1687.11716
Bahamas,2008,7.3029743,,,45.93850803,29.18325831,,1695.016054
Bahamas,2009,7.4319201,,,47.45105035,28.36676376,,1639.550022
Bahamas,2010,7.41195275,,,46.6923579,28.77631809,,1642.661244
Bahamas,2011,7.63004681,,,46.60839384,28.82164323,,1738.940438
Bahamas,2012,7.32309635,,,45.12476047,29.62253226,,1703.273436
Bahamas,2013,7.26347831,,,44.03452362,30.21105955,,1688.205031
Bahrain,1995,4.17086358,,,68.96519375,22.30807709,,1529.017515
Bahrain,1996,4.088809,,,68.53991878,22.53143189,,1540.369827
Bahrain,1997,4.41781354,,,70.57750341,21.14817119,,1687.699768
Bahrain,1998,4.31762161,,,66.75536159,24.47689527,,1658.952277
Bahrain,1999,4.18888166,,,67.76769952,23.27300847,,1660.760283
Bahrain,2000,3.50894526,,,67.32518568,22.21378959,,1254.752579
Bahrain,2001,3.79529569,,,66.73690335,22.66332476,,1360.69792
Bahrain,2002,3.89411557,,,66.3644252,22.58766605,,1395.436516
Bahrain,2003,3.73970832,,,66.8798107,22.26788476,,1380.587682
Bahrain,2004,3.9396615,,,67.37386665,22.77219989,,1285.165013
Bahrain,2005,3.7446223,,,68.32852504,21.69540859,,1238.739552
Bahrain,2006,3.59210794,,,69.06594041,20.83046766,,1225.839783
Bahrain,2007,3.61958389,,,70.99778883,19.24361934,,1255.213876
Bahrain,2008,4.09903913,,,73.33218047,17.21064725,,1289.182201
Bahrain,2009,4.49352437,,,72.62456409,17.41893922,,1497.074993
Bahrain,2010,4.26494156,,,71.29776631,17.63016359,,1446.658301
Bahrain,2011,3.83254215,,,69.94345587,18.00342836,,1365.961902
Bahrain,2012,4.44409743,,,70.12130266,16.02221846,,1651.022609
Bahrain,2013,4.87498808,,,70.16367763,14.60604593,,1900.212576
Bangladesh,1995,3.51985277,,,36.24083995,61.30440758,,30.49253078
Bangladesh,1996,3.45994251,,,36.2192211,61.32883931,,31.27125802
Bangladesh,1997,2.56535714,,,43.02238767,55.92138118,,24.34702999
Bangladesh,1998,2.55280633,,,41.53679366,56.98535455,,25.2588765
Bangladesh,1999,2.57304261,,,40.78048435,57.78432309,,26.56159345
Bangladesh,2000,2.63507469,,,40.68665585,57.77894093,,28.93580514
Bangladesh,2001,2.83809591,,,41.49549257,56.75712108,,32.97609586
Bangladesh,2002,2.98271602,,,41.18196399,56.46260006,,36.13214493
Bangladesh,2003,2.90868557,,,38.86580357,58.9109143,,37.23605943
Bangladesh,2004,3.01076573,,,39.84223504,57.94151445,,41.47195237
Bangladesh,2005,3.08433075,,,36.11143423,59.92086641,,45.84254772
Bangladesh,2006,3.24425423,,,37.15132862,58.72352225,,52.362561
Bangladesh,2007,3.25702272,,,35.28782196,61.17574737,,56.80959031
Bangladesh,2008,3.27840887,,,33.50068653,60.31851501,,61.27568695
Bangladesh,2009,3.33638909,,,34.05471735,61.13535713,,65.76564915
Bangladesh,2010,3.51898097,,,34.27938448,60.97296541,,73.66601173
Bangladesh,2011,3.62765503,,,32.98739035,61.32169479,,81.68776929
Bangladesh,2012,3.54078685,,,31.94377754,63.31086088,,85.16158161
Bangladesh,2013,3.72747769,,,35.25689557,60.22875689,,95.3267369
Barbados,1995,5.21222112,,,67.95006958,24.29047358,,639.0565043
Barbados,1996,5.06553288,,,68.33910527,24.01019009,,651.1893921
Barbados,1997,5.10668175,,,65.20776046,26.39016193,,668.6126502
Barbados,1998,4.8775902,,,65.38921179,26.45455738,,668.327573
Barbados,1999,5.01105957,,,65.41217162,26.68203903,,695.3148047
Barbados,2000,5.15515307,,,65.79921027,26.42788297,,791.9408818
Barbados,2001,5.47182997,,,67.55772816,24.95559372,,829.7464258
Barbados,2002,5.76189211,,,68.77932305,24.10017168,,934.3231081
Barbados,2003,5.81503159,,,66.09212774,26.81087574,,924.1157344
Barbados,2004,5.71254394,,,65.08608976,27.93112819,,1207.4624
Barbados,2005,5.3776854,,,64.40050429,28.6707348,,1047.910691
Barbados,2006,5.26188481,,,64.75776227,28.63431816,,1353.585212
Barbados,2007,5.67998648,,,66.64742096,26.91611642,,1521.11527
Barbados,2008,6.08574949,,,67.43700535,26.23130125,,1531.553474
Barbados,2009,6.22661892,,,66.70394315,26.82182358,,1433.49457
Barbados,2010,6.18540974,,,65.00136742,28.19334292,,1481.900444
Barbados,2011,6.48569109,,,61.33808689,31.65658618,,1558.911626
Barbados,2012,6.76495417,,,60.94975966,31.97455064,,1406.669442
Barbados,2013,6.78083538,,,61.04121813,31.89966394,,1060.226838
Belarus,1995,6.74025354,,,71.12418992,18.62671654,,259.7177481
Belarus,1996,6.23562466,,,75.31958577,14.76966084,,252.323578
Belarus,1997,6.59252515,,,82.32478861,8.79902545,,303.3278537
Belarus,1998,5.95665774,,,77.0384881,13.39451554,,301.5009848
Belarus,1999,6.16338326,,,76.51320501,13.2035853,,328.6774181
Belarus,2000,6.12884845,,,75.48652306,14.00511964,,355.537847
Belarus,2001,6.62474592,,,71.54893801,18.28277532,,414.2309159
Belarus,2002,6.47012421,,,70.48626238,20.48864554,,434.4513633
Belarus,2003,6.58928033,,,73.84350404,18.21645428,,486.4750876
Belarus,2004,6.58678934,,,74.73976688,17.25857361,,560.4997338
Belarus,2005,6.88634578,,,72.9376428,19.85772162,,665.6680439
Belarus,2006,6.33679836,,,70.23105158,22.18170095,,697.703188
Belarus,2007,6.43772648,,,69.14590645,23.58405368,,793.4329007
Belarus,2008,5.94918911,,,65.07738077,27.45348965,,826.7056264
Belarus,2009,6.08504168,,,64.01669223,26.90195655,,856.1750651
Belarus,2010,5.55420409,,,77.68539784,19.84725037,,855.2876407
Belarus,2011,4.92365904,,,70.5279878,26.64299702,,819.4501771
Belarus,2012,5.00822363,,,77.18820456,19.46230723,,866.9355092
Belarus,2013,6.06795585,,,65.36267931,31.85630087,,1081.387055
Belgium,1995,7.61132513,,,76.79767471,19.58801971,,1710.301329
Belgium,1996,7.91027712,,,78.17725753,18.86645963,,1807.92944
Belgium,1997,7.76548243,,,75.37790698,21.13372093,,1854.182906
Belgium,1998,7.88649843,,,74.80427831,21.18756202,,1925.038938
Belgium,1999,8.07696011,,,74.57758889,20.85622473,,2050.608678
Belgium,2000,8.12059728,,,74.60503218,20.54320265,,2250.682643
Belgium,2001,8.29205205,,,75.40732489,19.71406025,,2372.340939
Belgium,2002,8.46176755,,,73.79674439,21.34183898,,2548.320997
Belgium,2003,9.6473704,,,73.07243564,21.78405284,,2929.253429
Belgium,2004,9.67511494,,,73.93724225,20.91543292,,3022.378262
Belgium,2005,9.64719859,,,73.99115582,20.77728671,,3115.365222
Belgium,2006,9.58087698,,,72.92606366,21.87858829,,3294.72188
Belgium,2007,9.62370552,,,72.46196418,22.30230582,,3440.210901
Belgium,2008,9.94279649,,,74.6232863,21.0642497,,3696.480103
Belgium,2009,10.6547246,,,75.72131548,19.97111531,,3947.956591
Belgium,2010,10.55767373,,,75.01201554,20.75915388,,4057.763964
Belgium,2011,10.61066979,,,75.67272919,19.94930097,,4245.58652
Belgium,2012,10.89437922,,,75.20666613,20.40004136,,4345.446147
Belgium,2013,11.18613504,,,75.80022664,19.91165771,,4526.081135
Belize,1995,4.24572927,,,62.00030515,30.38951329,,191.8236061
Belize,1996,3.63095929,,,56.40495697,34.35791341,,165.1123343
Belize,1997,3.91983495,,,57.74760754,33.53678123,,182.4766606
Belize,1998,3.7958251,,,56.7912502,34.03650685,,179.8699423
Belize,1999,3.66661215,,,55.51418733,34.99380981,,186.0986158
