Entity,Year,Oil consumption (BP Statistics (2016)),Crude oil price (BP Statistics (2016))
World,1965,31798589.86,13.5071248
World,1966,34563472.35,13.14022248
World,1967,37112781.82,12.76905386
World,1968,40429867.44,12.25709714
World,1969,43626886.14,11.62995016
World,1970,48056044.85,10.98147164
World,1971,50838486.19,13.09243985
World,1972,51450912.99,14.05434965
World,1973,55600620.01,17.55298128
World,1974,54819120.78,55.68908769
World,1975,54375171.77,50.80286373
World,1976,57772054.94,53.30417523
World,1977,59936177.23,54.40507179
World,1978,62877652.97,50.96592546
World,1979,64014881.21,103.1970712
World,1980,61400864.44,105.938545
World,1981,59529549.87,93.68559747
World,1982,57916219.16,80.97876155
World,1983,57759506.13,70.31980271
World,1984,59024534.05,65.65302464
World,1985,59421663.05,60.70807175
World,1986,61256088.29,31.20579662
World,1987,62586321.09,38.46318427
World,1988,64567774.86,29.900289
World,1989,65852331.3,34.83789271
World,1990,66667128.51,43.02542272
World,1991,66856214.78,34.81014941
World,1992,67907535.49,32.63981987
World,1993,67633342.65,27.83782577
World,1994,69235414.73,25.29671118
World,1995,70375903.21,26.46484496
World,1996,71851770.26,31.22232706
World,1997,73920264.72,28.19481502
World,1998,74535845.36,18.48974197
World,1999,76309489.55,25.56550978
World,2000,76988391.47,39.22128852
World,2001,77862512.21,32.71382121
World,2002,78762792.17,32.96796565
World,2003,80569448.95,37.13786281
World,2004,83367891.72,48.01194021
World,2005,84725723.35,66.16705105
World,2006,85727791.8,76.58854296
World,2007,87087312.1,82.74947765
World,2008,86578405.62,107.0645504
World,2009,85700422.88,68.13341367
World,2010,88764840.5,86.40804604
World,2011,89790312.34,117.2294181
World,2012,90662685.46,115.2800938
World,2013,92048929.48,110.5522303
World,2014,93109470.93,99.06345446
World,2015,95008050.82,52.38675889
