Entity,Year,Deaths per TWh (Markandya & Wilkinson; Sovacool et al.)
Biofuels,2014,0.0048
Biomass,2014,4.63
Brown coal,2014,32.72
Coal,2014,24.62
Gas,2014,2.821
Hydropower,2014,0.0235
Nuclear,2014,0.071
Oil,2014,18.43
Solar,2014,0.019
Wind,2014,0.035
