Entity,Year,Per capita beef consumption,Per capita pork consumption,Per capita poultry consumption,Per capita sheep consumption,Per capita red meat consumption,Per capita meat consumption
EU28,1990,13.32262254,33.74927528,13.7005563,2.982319165,50.05421698,63.75477328
EU28,1991,13.23123322,32.53313173,14.53989776,2.904657819,48.66902277,63.20892053
EU28,1992,13.17973991,32.41517238,15.04549147,2.815400653,48.41031295,63.45580441
EU28,1993,13.33673856,32.5875281,14.89658177,2.827231671,48.75149833,63.6480801
EU28,1994,13.43233653,32.75104668,15.71252538,2.739951453,48.92333466,64.63586004
EU28,1995,12.71036906,32.70797422,16.11415112,2.736975195,48.15531848,64.2694696
EU28,1996,11.7421129,32.56630902,16.91920533,2.727184927,47.03560684,63.95481217
EU28,1997,12.01958829,32.50791908,17.18741265,2.640410713,47.16791808,64.35533074
EU28,1998,12.35099078,34.70566431,17.85023066,2.697904266,49.75455936,67.60479002
EU28,1999,12.56840828,33.44483423,17.57002912,2.69177796,48.70502046,66.27504958
EU28,2000,11.88832752,32.65878239,18.03887058,2.687139251,47.23424917,65.27311975
EU28,2001,11.34928954,33.09678743,19.442498,2.481562475,46.92763945,66.37013745
EU28,2002,11.98862202,33.49355473,20.00826981,2.502909436,47.98508618,67.99335599
EU28,2003,11.86111856,33.26542546,19.3131395,2.48027879,47.60682281,66.9199623
EU28,2004,12.10200383,32.62006191,19.23547117,2.48698108,47.20904682,66.44451799
EU28,2005,12.01897569,32.57842091,19.78649831,2.505918824,47.10331543,66.88981374
EU28,2006,12.07714177,32.76849418,19.03798052,2.459660717,47.30529667,66.34327718
EU28,2007,12.10962475,33.92292307,19.93345068,2.402561555,48.43510938,68.36856006
EU28,2008,11.61885718,32.92030199,19.93922481,2.271048764,46.81020794,66.74943274
EU28,2009,11.50625843,32.20915572,20.28677005,2.188408488,45.90382263,66.19059268
EU28,2010,11.36843213,32.65401816,20.55971665,2.037483569,46.05993386,66.61965051
EU28,2011,11.1077498,32.50693807,20.74813801,2.001793678,45.61648154,66.36461955
EU28,2012,10.76116101,31.71596548,21.25492486,1.857630292,44.33475678,65.58968164
EU28,2013,10.45840556,31.34461697,21.31608851,1.792606597,43.59562912,64.91171763
EU28,2014,10.61101952,32.02973069,22.08530026,1.772847768,44.41359798,66.49889824
EU28,2015,10.70208163,32.68229268,23.00262111,1.854998303,45.23937262,68.24199372
EU28,2016,10.93803317,32.15791616,24.01007831,1.842134497,44.93808382,68.94816214
EU28,2017,10.88459372,32.10021602,24.23008842,1.812639296,44.79744904,69.02753746
EU28,2018,10.84433781,32.31127982,24.4741333,1.867194978,45.0228126,69.4969459
EU28,2019,10.70287067,32.06050282,24.79596491,1.898904098,44.66227758,69.45824249
EU28,2020,10.5803014,31.93079411,24.89539059,1.925219604,44.43631511,69.3317057
EU28,2021,10.45495516,31.84561826,24.92082783,1.942885817,44.24345924,69.16428707
EU28,2022,10.40083427,31.99907679,25.00824588,1.952975849,44.35288691,69.36113279
EU28,2023,10.36590117,31.98469836,25.02701991,1.95440524,44.30500477,69.33202468
EU28,2024,10.34656642,31.95581574,25.04408843,1.958276235,44.26065839,69.30474682
EU28,2025,10.30006828,31.91292258,25.01502773,1.961647143,44.174638,69.18966573
EU28,2026,10.27965747,31.70638942,25.00326597,1.967622527,43.95366942,68.95693538
EU28,2027,10.26794185,31.6968282,24.9658091,1.971188721,43.93595877,68.90176787
