Entity,Year,Probability of plastic being emitted to ocean,Mismanaged plastic waste (metric tons year-1),Mismanaged waste emitted to the ocean (metric tons year-1),Share of mismanaged plastic waste emitted to ocean,Share of global mismanaged plastic waste,Share of global plastics emitted to ocean,Mismanaged plastic waste per capita (kg per year),Mismanaged plastic waste to ocean per capita (kg per year)
Africa,2015,22.72,13690104,78252,52.8,22.16170312,7.98931654,11.57785183,0.066178464
Albania,2015,1.56,69833,1565,2.24,0.113046491,0.159782247,24.15530958,0.541335178
Algeria,2015,0.09,764578,5774,0.76,1.237707957,0.589509708,19.24531816,0.1453383
Angola,2015,0.09,236946,860,0.36,0.383571002,0.087803663,8.497561325,0.03084206
Antigua and Barbuda,2015,3.08,627,2,0.29,0.001014995,0.000204195,6.670212766,0.021276596
Argentina,2015,0.26,465808,4137,0.89,0.754055528,0.422376457,10.81388276,0.096041788
Asia,2015,79.92,39881167,793298,122.36,64.56010729,80.99356991,8.99546436,0.178933678
Australia,2015,0.18,5266,32,0.6,0.008524663,0.003267113,0.220040114,0.001337122
Bahamas,2015,2.04,2212,20,0.92,0.003580812,0.002041946,5.914438503,0.053475936
Bahrain,2015,0,1043,0,0,0.001688421,0,0.760204082,0
Bangladesh,2015,2.32,1021990,24640,2.41,1.654409563,2.515677038,6.540484845,0.157689945
Barbados,2015,4.35,872,45,5.14,0.001411604,0.004594378,3.059649123,0.157894737
Belgium,2015,0.71,2284,34,1.48,0.003697366,0.003471308,0.202338767,0.003012048
Belize,2015,3.54,6021,374,6.22,0.009746866,0.038184384,16.67867036,1.03601108
Benin,2015,0.14,133335,1639,1.23,0.215844283,0.167337446,12.60731846,0.154973525
Bosnia and Herzegovina,2015,0.95,55551,6,0.01,0.089926619,0.000612584,16.20034996,0.001749781
Brazil,2015,0.24,3296700,37799,1.15,5.336737155,3.859175176,16.12298994,0.184861497
Brunei,2015,10.22,692,134,19.36,0.001120218,0.013681036,1.66746988,0.322891566
Bulgaria,2015,0.13,3117,7,0.22,0.005045837,0.000714681,0.432916667,0.000972222
Burkina Faso,2015,0,317298,0,0,0.513645775,0,17.51962895,0
Cambodia,2015,0.63,247495,1113,0.45,0.400647849,0.113634275,15.94581535,0.071709297
Cameroon,2015,0.45,578798,10671,1.84,0.936965084,1.0894801,24.84324835,0.458022148
Canada,2015,0.55,23587,238,1.01,0.038182916,0.024299153,0.654703417,0.006606156
Cape Verde,2015,0,3568,0,0,0.005775921,0,6.796190476,0
Chile,2015,2.58,30767,322,1.05,0.049805985,0.032875325,1.712226612,0.017919751
China,2015,0.19,12272200,70707,0.58,19.86638327,7.218992545,8.72318829,0.050259161
Colombia,2015,0.62,85454,431,0.5,0.138333951,0.044003929,1.798236569,0.009069674
Comoros,2015,0,59158,0,0,0.095765674,0,76.13642214,0
Congo,2015,0.08,65291,676,1.04,0.105693847,0.069017763,13.44542834,0.139209226
Costa Rica,2015,6.25,5751,450,7.82,0.009309787,0.045943777,1.186262376,0.092821782
Cote d'Ivoire,2015,0,291614,4784,1.64,0.47206821,0.488433399,12.55549815,0.205976061
Croatia,2015,0,17544,224,1.28,0.028400436,0.022869791,4.144578313,0.052917553
Cyprus,2015,0.62,837,3,0.33,0.001354946,0.000306292,0.720930233,0.002583979
Democratic Republic of Congo,2015,0.01,1369730,420,0.03,2.217335209,0.042880859,17.96485015,0.005508558
Denmark,2015,2.33,390,9,2.42,0.000631337,0.000918876,0.068553349,0.001582
Djibouti,2015,0.22,10289,4,0.04,0.016655956,0.000408389,11.2571116,0.004376368
Dominica,2015,7.73,1082,53,4.88,0.001751554,0.005411156,15.23943662,0.746478873
Dominican Republic,2015,2.59,194018,6276,3.23,0.314078645,0.640762544,18.86967516,0.610387084
EU-27,2015,15.91,266588,2157,27.97,0.431555824,0.220223838,,
Ecuador,2015,0.57,108797,1136,1.04,0.176121877,0.115982513,6.710893166,0.070071552
Egypt,2015,0.04,1435510,2471,0.17,2.323820655,0.252282385,15.528596,0.026729985
El Salvador,2015,2.71,21693,808,3.73,0.035116886,0.082494604,3.42972332,0.127747036
Equatorial Guinea,2015,2.97,9403,405,4.31,0.015221688,0.041349399,8.043627032,0.346449957
Eritrea,2015,0.13,84088,48,0.06,0.136122654,0.00490067,25.15345498,0.014358361
Estonia,2015,0.76,600,12,1.94,0.000971287,0.001225167,0.456273764,0.009125475
Europe,2015,23.74,1180718,5832,32.94,1.911360336,0.595431351,1.588996281,0.007848636
Fiji,2015,7.54,3858,365,9.45,0.006245376,0.037265508,4.439585731,0.420023015
Finland,2015,0,2621,0,0,0.004242906,0,0.478197409,0
France,2015,0.56,27780,235,0.85,0.044970594,0.023992861,0.431011745,0.003646068
French Guiana,2015,2.18,126,7,5.56,0.00020397,0.000714681,0.482758621,0.026819923
Gabon,2015,0.7,5991,445,7.42,0.009698302,0.045433291,3.075462012,0.228439425
Gambia,2015,0.67,35095,421,1.2,0.056812203,0.042982956,16.8240652,0.201821668
Georgia,2015,1.23,307,3,0.98,0.000496975,0.000306292,0.076292247,0.000745527
Germany,2015,0.26,50676,134,0.26,0.082034911,0.013681036,0.619609473,0.001638402
Ghana,2015,0.28,520002,4185,0.8,0.84178542,0.427277127,18.67219649,0.150274696
Greece,2015,0.91,4506,216,4.8,0.007294366,0.022053013,0.422701689,0.020262664
Grenada,2015,5.99,1357,130,9.55,0.002196728,0.013272647,12.33636364,1.181818182
Guadeloupe,2015,4.35,162,4,2.51,0.000262248,0.000408389,0.405,0.01
Guatemala,2015,1.74,311003,7142,2.3,0.503455354,0.729178791,19.13629092,0.439453606
Guinea,2015,0,147997,2347,1.59,0.239579303,0.239622322,12.94585374,0.20530091
Guinea-Bissau,2015,2.36,20465,247,1.21,0.033128985,0.025218029,11.78180771,0.142199194
Guyana,2015,0.89,27565,1246,4.52,0.04462255,0.127213214,35.93872229,1.624511082
Haiti,2015,2.95,237968,6929,2.91,0.385225428,0.70743207,22.24831713,0.647812266
Honduras,2015,1.48,145995,2436,1.67,0.236338442,0.24870898,16.02052014,0.267310436
Hong Kong,2015,4.51,5781,112,1.94,0.009358352,0.011434896,0.804480935,0.015585861
Iceland,2015,0,151,0,0,0.000244441,0,0.457575758,0
India,2015,0.45,12994100,126513,0.97,21.03500357,12.91663349,9.918009998,0.09656361
Indonesia,2015,4.45,824234,56333,6.83,1.334279799,5.751446208,3.18996983,0.218021303
Iran,2015,0.07,495965,928,0.19,0.802874039,0.094746278,6.318669419,0.011822861
Iraq,2015,0.01,491771,67,0.01,0.796084742,0.006840518,13.82466547,0.001883504
Ireland,2015,2.97,2675,115,4.29,0.004330322,0.011741187,0.575021496,0.02472055
