Entity,Year,Solar Energy,Wind Energy,Biomass & Waste-to-Energy,Liquid Biofuels,Small Hydropower,Geothermal Energy,Marine Energy
World,2004,11.2,19.6,8.3,4,2.7,1.2,0
World,2005,15.9,28.5,9.8,9.9,7.4,1.2,0.1
World,2006,21.9,39.7,12.8,28.6,7.5,1.4,0.8
World,2007,38.9,61.1,23,27.4,6.4,1.7,0.8
World,2008,61.3,74.8,17.5,18.4,7.6,1.7,0.2
World,2009,64,79.7,15,10.2,6.2,2.8,0.3
World,2010,103.6,101.6,16.6,10.5,8.1,2.9,0.2
World,2011,154.9,84.2,19.9,10.6,7.5,3.9,0.2
World,2012,140.6,84.4,14.9,7.2,6.4,1.6,0.3
World,2013,119.1,89,12.4,5.2,5.6,2.9,0.2
World,2014,143.9,108.5,10.8,5.3,6.4,2.9,0.3
World,2015,171.7,124.2,6.7,3.5,3.5,2.3,0.2
World,2016,113.7,112.5,6.8,2.2,3.5,2.7,0.2
