Entity,Year,"Child labor Italy (all, historic) (Toniolo, G., & Vecchi, G. (2007))","Child labor Italy (boys, historic) (Toniolo, G., & Vecchi, G. (2007))","Child labor Italy (girls, historic) (Toniolo, G., & Vecchi, G. (2007))"
Italy,1881,64.3,81.3,46.6
Italy,1901,49.9,56.6,43.1
Italy,1911,44.8,51.1,38.3
Italy,1921,31.5,35.4,27.5
Italy,1931,27.4,28.5,26.4
Italy,1936,32.1,34.6,29.5
Italy,1951,10,11.8,8.2
Italy,1961,3.6,4.1,3.1
