Entity,Year,Health Expenditure and Financing (per capita) (OECDstat (2017))
Australia,1970,..
Australia,1971,982.3137
Australia,1972,989.9003
Australia,1973,1007.0003
Australia,1974,1138.423
Australia,1975,1299.7468
Australia,1976,1337.0718
Australia,1977,1403.1552
Australia,1978,1410.1761
Australia,1979,1410.7119
Australia,1980,1440.4453
Australia,1981,1467.8877
Australia,1982,1475.0446
Australia,1983,1508.2358
Australia,1984,1561.121
Australia,1985,1617.1644
Australia,1986,1688.0412
Australia,1987,1712.2838
Australia,1988,1736.7152
Australia,1989,1783.3481
Australia,1990,1853.1596
Australia,1991,1920.2033
Australia,1992,1994.4415
Australia,1993,2060.3732
Australia,1994,2129.3472
Australia,1995,2202.176
Australia,1996,2307.517
Australia,1997,2392.0429
Australia,1998,2543.6197
Australia,1999,2646.7086
Australia,2000,2767.6725
Australia,2001,2872.3738
Australia,2002,2999.5093
Australia,2003,3090.6573
Australia,2004,3240.3186
Australia,2005,3242.9106
Australia,2006,3323.2565
Australia,2007,3415.193
Australia,2008,3494.4375
Australia,2009,3629.7041
Australia,2010,3607.3407
Australia,2011,3738.1767
Australia,2012,3831.3635
Australia,2013,3901.7343
Australia,2014,4009.8881
Australia,2015,4164.2213
Austria,1970,849.863
Austria,1971,876.7198
Austria,1972,924.9049
Austria,1973,983.3833
Austria,1974,1068.3942
Austria,1975,1365.5542
Austria,1976,1481.9085
Austria,1977,1543.0276
Austria,1978,1602.6562
Austria,1979,1685.3273
Austria,1980,1738.9518
Austria,1981,1485.8219
Austria,1982,1508.3548
Austria,1983,1512.4136
Austria,1984,1525.3671
Austria,1985,1597.0039
Austria,1986,1661.8794
Austria,1987,1763.1259
Austria,1988,1816.3715
Austria,1989,1920.5468
Austria,1990,2347.0307
Austria,1991,2423.6339
Austria,1992,2540.0944
Austria,1993,2696.6659
Austria,1994,2875.3106
Austria,1995,2925.7651
Austria,1996,2978.1928
Austria,1997,3074.4388
Austria,1998,3240.746
Austria,1999,3404.3271
