Entity,Year,Number of people with access to electricity (World Bank and UN Population Prospects),Number of people without access to electricity (World Bank and UN Population Prospects)
World,1990,3899914459,1409753240
World,1991,3861643490,1536685263
World,1992,3975604688,1509510588
World,1993,4065554922,1504490458
World,1994,4158012928,1495302965
World,1995,4269264006,1465859078
World,1996,4373316267,1442076038
World,1997,4476653458,1417501647
World,1998,4573148802,1398734023
World,1999,4682234763,1366970440
World,2000,4755742743,1370879378
World,2001,4787740666,1416570073
World,2002,4940531015,1341770752
World,2003,5038073614,1322691070
World,2004,5124898054,1314944354
World,2005,5230472180,1289163670
World,2006,5339957326,1260262921
World,2007,5446744019,1234863301
World,2008,5549923633,1213809246
World,2009,5692763396,1153716125
World,2010,5791815386,1137909657
World,2011,5790180202,1223246850
World,2012,6029739208,1067761245
World,2013,6081915519,1099799620
World,2014,6200369020,1065416926
