Entity,Year,Number of reported yaws cases (WHO 2018)
Benin,2010,45
Benin,2012,11
Cameroon,2010,802
Cameroon,2011,133
Cameroon,2012,59
Cameroon,2013,97
Cameroon,2014,530
Cameroon,2015,463
Cameroon,2016,890
Central African Republic,2008,243
Central African Republic,2012,230
Congo,2009,646
Congo,2012,197
Cote d'Ivoire,2010,3740
Cote d'Ivoire,2011,3343
Cote d'Ivoire,2012,3092
Cote d'Ivoire,2013,2256
Cote d'Ivoire,2014,2650
Cote d'Ivoire,2015,1940
Cote d'Ivoire,2016,1581
Democratic Republic of Congo,2008,383
Ghana,2008,20525
Ghana,2009,35248
Ghana,2010,18157
Ghana,2011,9674
Ghana,2012,8980
Ghana,2013,18702
Ghana,2014,2055
Ghana,2015,1636
Ghana,2016,1481
Indonesia,2008,6083
Indonesia,2009,7751
Indonesia,2010,6178
Indonesia,2011,6631
Indonesia,2012,4360
Indonesia,2013,2043
Indonesia,2014,1521
Indonesia,2015,3379
Indonesia,2016,2762
Papua New Guinea,2008,28989
Papua New Guinea,2009,25822
Papua New Guinea,2010,29061
Papua New Guinea,2011,28989
Papua New Guinea,2012,17560
Papua New Guinea,2013,19710
Papua New Guinea,2014,29886
Papua New Guinea,2015,28584
Papua New Guinea,2016,33891
Solomon Islands,2010,20635
Solomon Islands,2012,12372
Solomon Islands,2013,14909
Solomon Islands,2014,13312
Solomon Islands,2015,9736
Solomon Islands,2016,18082
Togo,2010,15
Togo,2014,15
Togo,2015,7
Togo,2016,11
Vanuatu,2010,1593
Vanuatu,2011,2331
Vanuatu,2012,2514
Vanuatu,2013,1198
Vanuatu,2014,615
Vanuatu,2015,317
Vanuatu,2016,609
World,2008,56223
World,2009,69467
World,2010,80226
World,2011,51101
World,2012,49375
World,2013,58915
World,2014,50584
World,2015,46062
World,2016,59307
