Entity,Year,Freshwater Living Planet Index (WWF (2016)),Lower CI (WWF (2016)),Upper CI (WWF (2016))
World,1970,1,1,1
World,1971,0.965710195,0.956407662,0.974094882
World,1972,0.953383333,0.936156494,0.971496639
World,1973,0.957582477,0.935687963,0.980760879
World,1974,0.924067673,0.899841467,0.949792661
World,1975,0.896408903,0.870192889,0.924602302
World,1976,0.859867161,0.83231797,0.889677149
World,1977,0.835906533,0.805955757,0.867352449
World,1978,0.823021741,0.791630521,0.855711774
World,1979,0.808697296,0.775397329,0.844387353
World,1980,0.786117214,0.750126849,0.824541962
World,1981,0.764067074,0.725652022,0.805697816
World,1982,0.730369284,0.687975167,0.776183343
World,1983,0.704757965,0.6598755,0.753708594
World,1984,0.644131834,0.555720679,0.72976021
World,1985,0.63041229,0.522599412,0.745422966
World,1986,0.600931746,0.495346323,0.716041317
World,1987,0.545182603,0.446227944,0.656103741
World,1988,0.463994959,0.371978652,0.571119031
World,1989,0.454507632,0.359024912,0.570062949
World,1990,0.439364235,0.346410993,0.552315715
World,1991,0.409587526,0.32093272,0.518144862
World,1992,0.402884098,0.314792151,0.514152256
World,1993,0.385606153,0.299636775,0.493580207
World,1994,0.360038348,0.276706121,0.465774052
World,1995,0.360115278,0.276270557,0.470475893
World,1996,0.338986881,0.258380854,0.445352235
World,1997,0.318026669,0.241564353,0.418644324
World,1998,0.296377721,0.223488831,0.393037192
World,1999,0.277678813,0.208019915,0.369257694
World,2000,0.259640664,0.194170404,0.347429634
World,2001,0.24124852,0.179467385,0.324161399
World,2002,0.222301815,0.162031781,0.304070953
World,2003,0.217843048,0.157163487,0.300843279
World,2004,0.217945346,0.156722876,0.303510841
World,2005,0.199444443,0.138591399,0.288021284
World,2006,0.198924875,0.134693268,0.293046269
World,2007,0.181735777,0.121092767,0.272189859
World,2008,0.199714712,0.129848794,0.309377642
World,2009,0.25598859,0.165947763,0.3955658
World,2010,0.229800303,0.147724016,0.361937916
World,2011,0.202533256,0.126047511,0.326973524
World,2012,0.185490449,0.106925549,0.316588565
