Entity,Year,Food exports (% of merchandise exports) (World Bank (2016))
Afghanistan,1962,31.94702634
Afghanistan,1963,26.51911952
Afghanistan,1964,32.60326449
Afghanistan,1965,41.06746127
Afghanistan,1966,35.64949323
Afghanistan,1967,40.87586694
Afghanistan,1968,41.82833069
Afghanistan,1969,38.14843102
Afghanistan,1970,36.06464886
Afghanistan,1971,27.02127781
Afghanistan,1972,37.23807016
Afghanistan,1973,48.62098697
Afghanistan,1974,43.91323905
Afghanistan,1975,36.428579
Afghanistan,1976,35.86717967
Afghanistan,1977,36.06561131
Afghanistan,2008,52.52408118
Afghanistan,2009,54.67931958
Afghanistan,2010,40.04707097
Afghanistan,2011,39.1451752
Afghanistan,2012,17.43722277
Afghanistan,2013,13.6385048
Afghanistan,2014,14.49562375
Albania,1996,11.07672667
Albania,1997,11.08539894
Albania,1998,9.820444318
Albania,1999,5.532591892
Albania,2000,6.616207793
Albania,2001,5.750397884
Albania,2002,3.463285233
Albania,2003,5.621865369
Albania,2004,5.669594911
Albania,2005,9.338585434
Albania,2006,7.698351573
Albania,2007,5.229415559
Albania,2008,4.31107302
Albania,2009,5.624207625
Albania,2010,4.471958018
Albania,2011,4.109861138
Albania,2012,4.577602012
Albania,2013,4.513193323
Albania,2014,3.002909203
Albania,2015,5.610236234
Algeria,1966,30.96960498
Algeria,1968,16.09081253
Algeria,1969,20.54700706
Algeria,1970,19.98327498
Algeria,1971,12.35276361
Algeria,1973,12.29658517
Algeria,1974,3.882369284
Algeria,1975,4.070764137
Algeria,1976,3.053120327
Algeria,1977,2.289471632
Algeria,1978,2.409578027
Algeria,1979,1.136448246
Algeria,1980,0.770226833
Algeria,1981,0.931555184
Algeria,1982,0.623873045
Algeria,1983,0.33879592
Algeria,1984,0.405205815
Algeria,1985,0.550602798
Algeria,1986,0.335035799
Algeria,1987,0.364621786
Algeria,1988,0.381643181
Algeria,1989,0.386809318
Algeria,1990,0.449680953
Algeria,1991,0.454700297
Algeria,1992,0.727440907
Algeria,1993,0.979174708
Algeria,1994,0.400537988
Algeria,1995,1.1797134
Algeria,1996,1.223454138
Algeria,1997,0.268184668
Algeria,1998,0.341639302
Algeria,1999,0.223124461
Algeria,2000,0.163458381
Algeria,2001,0.148606444
Algeria,2002,0.231638366
Algeria,2003,0.209587695
Algeria,2004,0.193619707
Algeria,2005,0.153082861
Algeria,2006,0.160478308
Algeria,2007,0.163018507
Algeria,2008,0.160334955
Algeria,2009,0.25740348
Algeria,2010,0.560728903
Algeria,2011,0.48843896
Algeria,2012,0.44506495
Algeria,2013,0.614279708
