Entity,Year,Food Prices expressed in hourly wages (U.S. Bureau of Labor Statistics (2015))
Bacon (lb.),1901,1.4375
Bacon (lb.),1918,1
Bacon (lb.),1934,2
Bacon (lb.),1950,2.484375
Bacon (lb.),1960,3.893939394
Bacon (lb.),1970,4.126315789
Bacon (lb.),1984,3.596774194
Bacon (lb.),1996,5.174089069
Bacon (lb.),2003,4.78125
Butter (lb.),1901,0.851851852
Butter (lb.),1918,0.913793103
Butter (lb.),1934,1.8125
Butter (lb.),1950,2.178082192
Butter (lb.),1960,3.426666667
Butter (lb.),1970,4.505747126
Butter (lb.),1984,3.170616114
Butter (lb.),1996,6.234146341
Butter (lb.),2003,5.444839858
Eggs (dozen),1901,1.045454545
Eggs (dozen),1918,0.929824561
Eggs (dozen),1934,1.757575758
Eggs (dozen),1950,2.65
Eggs (dozen),1960,4.50877193
Eggs (dozen),1970,6.426229508
Eggs (dozen),1984,6.69
Eggs (dozen),1996,11.51351351
Eggs (dozen),2003,12.33870968
Flour (5 lb.),1901,1.769230769
Flour (5 lb.),1918,1.558823529
Flour (5 lb.),1934,2.32
Flour (5 lb.),1950,3.244897959
Flour (5 lb.),1960,4.672727273
Flour (5 lb.),1970,6.644067797
Flour (5 lb.),1984,6.252336449
Flour (5 lb.),1996,8.875
Flour (5 lb.),2003,9.807692308
Milk (1/2 gallon),1901,1.642857143
Milk (1/2 gallon),1918,1.892857143
Milk (1/2 gallon),1934,2.636363636
Milk (1/2 gallon),1950,3.87804878
Milk (1/2 gallon),1960,4.942307692
Milk (1/2 gallon),1970,5.939393939
Milk (1/2 gallon),1984,5.920353982
Milk (1/2 gallon),1996,8.192307692
Pork chops (lb.),1901,1.769230769
Pork chops (lb.),1918,1.358974359
Pork chops (lb.),1934,2.230769231
Pork chops (lb.),1950,2.12
Pork chops (lb.),1960,2.988372093
Pork chops (lb.),1970,3.379310345
Pork chops (lb.),1984,2.81092437
Pork chops (lb.),1996,3.747800587
Pork chops (lb.),2003,4.888178914
Round steak (lb.),1901,1.642857143
Round steak (lb.),1918,1.432432432
Round steak (lb.),1934,2.071428571
Round steak (lb.),1950,1.691489362
Round steak (lb.),1960,2.424528302
Round steak (lb.),1970,3.015384615
Round steak (lb.),1984,2.298969072
Round steak (lb.),1996,4.096153846
Round steak (lb.),2003,3.984375
