Entity,Year,Hypothetical global emissions (CDIAC (2014))
Actual,2014,36.17
Afghanistan,2014,2.13323477
Albania,2014,14.39933469
Algeria,2014,27.19874331
Andorra,2014,46.39785624
Angola,2014,10.3995195
Anguilla,2014,70.93005609
Argentina,2014,34.39841066
Armenia,2014,13.33271731
Aruba,2014,61.33049963
Australia,2014,111.1948624
Austria,2014,50.13101709
Azerbaijan,2014,28.2653607
Bahamas,2014,45.86454755
Bahrain,2014,167.4589294
Bangladesh,2014,3.466506501
Barbados,2014,32.53183024
Belarus,2014,48.53109101
Belgium,2014,60.53053659
Belize,2014,10.13286516
Benin,2014,4.266469539
Bermuda,2014,66.9302409
Bhutan,2014,9.599556463
Bolivia,2014,14.13268035
Bosnia and Herzegovina,2014,42.39804105
Botswana,2014,22.93227377
Brazil,2014,18.66580423
British Virgin Islands,2014,43.73131278
Brunei,2014,158.659336
Bulgaria,2014,42.93134974
Burkina Faso,2014,1.066617385
Burundi,2014,0.266654346
Cambodia,2014,3.199852154
Cameroon,2014,2.13323477
Canada,2014,109.8615906
Cape Verde,2014,6.933013001
Cayman Islands,2014,66.66358655
Central African Republic,2014,0.533308692
Chad,2014,0.266654346
Chile,2014,33.86510197
China,2014,54.66414097
Christmas Island,2014,0
Colombia,2014,12.79940862
Comoros,2014,1.333271731
Congo,2014,5.066432578
Cook Islands,2014,24.7988542
Costa Rica,2014,11.73279123
Cote d'Ivoire,2014,3.733160847
Croatia,2014,28.79866939
Cuba,2014,22.13231073
Curacao,2014,274.6539766
Cyprus,2014,38.13157151
Czech Republic,2014,66.66358655
Czechoslovakia,2014,0
Denmark,2014,43.19800408
Djibouti,2014,5.866395616
Dominica,2014,13.59937166
Dominican Republic,2014,14.93264339
Ecuador,2014,19.99907597
Egypt,2014,16.26591512
El Salvador,2014,7.466321694
Equatorial Guinea,2014,47.46447362
Eritrea,2014,1.066617385
Estonia,2014,107.7283559
Ethiopia,2014,0.799963039
Faeroe Islands,2014,90.39582336
Falkland Islands,2014,137.5936426
Fiji,2014,9.599556463
Finland,2014,62.66377136
France,2014,34.39841066
French Guiana,2014,20.26573031
French Polynesia,2014,20.799039
Gabon,2014,22.39896508
Gambia,2014,1.866580423
Georgia,2014,16.26591512
Germany,2014,64.79700613
Ghana,2014,3.999815193
Gibraltar,2014,119.9944558
Greece,2014,44.53127582
Greenland,2014,65.59696917
Grenada,2014,16.53256946
Guadeloupe,2014,39.99815193
Guatemala,2014,8.266284732
Guinea,2014,1.333271731
Guinea-Bissau,2014,1.066617385
