Entity,Year,Stomach,Colon,Rectum,Liver,Lung,Breast,Cervix,Ovary,Prostate,Leukaemia
Algeria,1999,5.1,10.8,7.9,,6,17.1,23.4,13.9,44,21.2
Algeria,2004,17.6,48.6,41.2,17.9,8.2,29.5,59.5,42.9,55.5,32.3
Algeria,2009,10.3,57.2,45.5,17.5,14.8,59.8,55.1,41.8,58.5,13.6
Argentina,1999,,,,,,,45.9,,,
Argentina,2004,19.2,46,44.4,,20.8,75.5,52,26.8,85,
Argentina,2009,16,40.6,31,24.2,11.9,76.6,50.6,29.7,86.6,90
Australia,1999,25.9,60.3,59.9,13.2,13.7,84.6,69.9,36.1,83.7,47.5
Australia,2004,27.8,63.1,63.8,14.3,14.8,86.4,68.4,37,86.8,51
Australia,2009,27.9,64.2,64.2,14.7,15,86.2,67.1,37.5,88.5,51.1
Austria,1999,29.5,57.1,54.8,8.7,14.1,78.7,62.3,42.2,84.7,39.8
Austria,2004,30,60.2,59.8,11,15.6,81.4,65.4,40.4,89.8,43.3
Austria,2009,33.1,63,62.1,12.9,17.9,82.9,66,41.6,90.5,45.8
Belgium,2004,27.9,64,62.3,19.9,15.3,84.8,66,42.5,92,57.5
Belgium,2009,33.4,64.6,64.7,19.6,16.6,85.4,65.2,43,92.6,59.4
Brazil,1999,33.1,55.9,54.7,15.9,18.6,78.2,60.2,35.1,83.4,34.3
Brazil,2004,28.2,58.1,52.8,17.9,13.7,86.9,67.5,41.3,93,30.1
Brazil,2009,24.9,58.2,55.9,11.6,18,87.4,61.1,31.8,96.1,20.3
Bulgaria,1999,11.2,39.5,31,4.7,5.9,68,46.7,27.7,45.2,21.2
Bulgaria,2004,11.1,43.8,36.9,3.8,5.7,71.2,49.4,32.9,49.7,24.1
Bulgaria,2009,12.9,47,40.8,5,6.3,73.9,53,35.4,53.4,25
Canada,1999,21.1,56.8,56.5,12.1,15.1,83.7,66.2,36.5,87.5,46.8
Canada,2004,23.1,60.1,60.5,15.4,15.6,85.3,67.5,35.5,91,52.4
Canada,2009,24.8,62.8,62.8,17.7,17.3,85.8,66.8,37.5,91.7,55.2
Chile,1999,13.4,39,,,,73.3,41.9,,69.7,
Chile,2004,16.4,36.4,41.7,4.5,6.2,76.8,55.5,29.6,81.2,10.3
Chile,2009,18,43.3,37.7,7.9,6.3,77.1,50.9,32.2,88.7,16.1
China,1999,15.3,33.5,28.9,2.4,7.5,53.8,40.1,41,62.9,4.7
China,2004,29,51.2,48,10.9,18.1,78,56.1,42.6,55.8,18.2
China,2009,31.1,54.6,53.2,12.5,17.5,80.9,59.9,38.9,63.8,21.2
Colombia,1999,15.4,29.2,,3.7,6.1,65.7,50.6,27.3,67.1,
Colombia,2004,17.7,42.3,,4.3,9,70.4,56.8,33,80.5,19.6
Colombia,2009,16.6,43.3,,5.3,9,76.1,59.3,31.1,78.6,20.1
Croatia,1999,24,50.1,44.6,13.2,16.5,77.5,68.1,37.5,61.4,38.6
Croatia,2004,21.6,49.8,46.5,11.6,15.2,75.1,65.6,39.1,67.7,37.2
Croatia,2009,21.3,52,48.2,12.2,13.6,77.9,65.3,36.8,75.1,37.6
Cuba,1999,26.2,45.8,,,21.8,72.8,66.4,35.4,54.5,
Cuba,2004,23.8,44.1,,,14.1,73.3,61.9,34.7,47.6,
Cuba,2009,26.2,46.4,,,18.2,77.7,64,39.8,56.1,59.6
Cyprus,2004,42.9,68.4,,,18.4,88.7,,,,
Cyprus,2009,26.3,58.1,70.2,9.8,15.4,90.6,64.5,43.2,93.1,61.3
Czech Republic,1999,16.6,45.3,38.6,4.7,8.5,72.7,61.3,32.6,64.6,42.8
Czech Republic,2004,21.8,51.4,46.9,5.5,10.9,77.8,62.2,34.5,75.6,46.8
Czech Republic,2009,23.2,54.9,50.3,7.2,12.3,80,64.5,36.6,83.1,46.1
Denmark,1999,13.8,48.2,47.6,2.6,8,75.8,63.1,31.2,46.4,45.4
Denmark,2004,15.3,52.1,53.8,4.4,9.6,80.7,63.2,33.2,64,51.2
Denmark,2009,17.9,55.9,58.4,6.1,11.3,82,64.8,37.3,77.2,56.8
Ecuador,1999,40.1,61.5,45.5,16.2,34.5,68.9,59.7,35.2,76.3,29.5
Ecuador,2004,28.5,69.9,48.3,15.3,37.8,79.6,58.5,44.7,90.9,36
Ecuador,2009,31.9,68.2,52.6,17.7,28.7,83.2,61.7,47,92.4,33.5
Estonia,1999,20,49.7,37.7,5.4,8.2,62.3,58.2,28.2,55.9,37.4
Estonia,2004,22.3,48.8,46.5,5.6,10.9,70.4,62.9,31.3,67.1,43.5
Estonia,2009,22.8,51.7,48.9,8.7,11.9,72.4,66.7,38.7,73.2,38.4
Finland,1999,27,58.7,54.6,6.9,11,82.8,66.2,39.1,79.3,45.1
Finland,2004,25.9,61.2,59.8,7.2,11.8,86.5,68.1,40.9,90,47.6
Finland,2009,25.2,62.9,62.9,7.9,12.3,86.8,65.3,44.9,93.2,50.7
France,1999,25.7,57.2,54.4,11.1,12.8,83.7,66.3,33.5,79.4,54.6
France,2004,27.3,59.7,57,13.5,13.9,86.5,60.5,39.8,89.4,58.9
France,2009,27.7,59.8,56.8,14.4,13.6,86.9,58.9,39,90.5,59.2
Germany,1999,22.8,48.7,51.9,6.5,11.6,81.2,64.7,37.7,77.1,42.9
Germany,2004,30,62.1,60.2,10.5,15.1,84.1,64.8,39.9,89.3,50.1
Germany,2009,31.6,64.6,62.1,14.4,16.2,85.3,64.9,39.7,91.2,53.6
Iceland,1999,23.9,54.1,51.7,,14.3,83,63.6,30.4,74.8,39.1
Iceland,2004,34.2,60.8,72.2,1.6,14.5,88.1,70.7,34.1,79.5,56.6
Iceland,2009,32.3,65.1,76.5,11,15,85.3,73.1,38.6,83.5,54.4
India,1999,21.2,,,,4.4,48.1,49.1,23.2,,7.3
India,2004,9.3,33.2,40.7,1.8,9.8,55.3,47.4,,35.7,
India,2009,18.7,37.3,29.4,4.3,9.6,60.4,45.8,13.9,58.1,6
Indonesia,2009,18.4,28.1,58,19.9,12.2,77.7,65.1,39.9,43.5,39.8
Ireland,1999,17.6,50.8,48.1,6.8,9.5,73.1,58.9,28.1,69.8,47.3
Ireland,2004,18.7,53.6,51.5,11.8,10.3,77.7,58.1,29.6,84.2,54.9
Ireland,2009,22.7,58.6,56.1,12.8,12.9,80,55.9,32.2,88.4,56.4
Israel,1999,26.5,60,56.8,8.2,17.3,80.9,62.5,38.9,85,43.7
Israel,2004,29.3,66.2,62.5,14.7,20.7,85.5,65.8,40.5,91.9,54.5
Israel,2009,28.6,69.4,66.6,14.2,23.8,86.7,65.9,42,94,50.4
Italy,1999,31.1,57.5,53.3,11.5,12.9,82.8,64.4,36.1,79.1,47
Italy,2004,32,60.1,56.7,15.5,14,85.5,67.1,37.9,88.6,47.3
Italy,2009,32.4,63.2,59.5,17.9,14.7,86.2,68.3,39.2,89.7,46.7
Japan,1999,51.7,61.4,56.6,21.4,22.9,81.8,65.7,26.3,65.7,12.1
Japan,2004,53.6,62.2,57.8,26.4,28.5,84.2,65.1,33.1,83.4,17.9
Japan,2009,54,69.4,60.3,27,30.1,84.7,66.3,37.3,86.8,18.9
Jordan,2004,48.2,53,26.3,22.9,7.7,57.6,17.1,17.2,35.5,6.9
Jordan,2009,28.8,48.1,21.4,17.1,4.4,43.1,10.3,8,27.4,7.1
Latvia,1999,21.3,40.9,34.1,7.2,12.1,64.1,52.9,30.6,51.9,44.6
Latvia,2004,20.7,42.4,36.4,7.2,13.8,69.8,51.7,35.7,65.3,43.1
Latvia,2009,22.8,45.3,38.6,6.4,16.2,71.1,55.4,35.6,73.9,54.5
Lithuania,1999,24.4,48,40.3,5.4,10,65.3,53.2,33.2,51.8,36.6
Lithuania,2004,25.6,51.6,44.7,9.5,8.3,70.3,57,33,81.2,39.5
Lithuania,2009,26,51.5,48.3,11.3,7.7,72.1,61.3,35.8,92.4,44.7
Malaysia,1999,34.3,52.4,48.3,10.3,15.1,64.8,54.6,44.7,62.4,16
Malaysia,2004,36.5,47.9,38.7,19.2,13.1,71.1,58.4,42.5,57.8,25.2
Malaysia,2009,24.2,53.3,42.5,13.3,10.7,67.8,55.2,42.9,66.4,12.1
Malta,1999,17.5,49.3,49.8,,10.9,71.3,58.8,34.2,68.6,38.6
Malta,2004,15.5,57.6,51.4,10.8,9.3,76.3,52.8,37.9,82.7,24.2
Malta,2009,18,56,48.1,9.5,10.8,76.3,63.1,33.1,84.8,19
Mauritius,2009,40.7,55.5,68.9,52.6,37.2,87.4,86.7,82.7,77.3,57.2
Mongolia,2009,15.1,30.6,15.9,8.5,6.6,56.5,59.5,52.1,39.6,35.6
Netherlands,1999,19,55.4,55.5,8.2,12.4,80,63.9,38.7,77.4,46.9
Netherlands,2004,19.5,57.7,57.7,9.7,12.2,83.5,65.7,37.3,82.7,48.4
Netherlands,2009,21.4,60.1,62,12.6,14.8,85,66.5,38.1,85.8,51.8
New Zealand,1999,22.2,60.8,57,11.6,12.2,79.5,64.3,35.8,80.8,47.7
New Zealand,2004,23.6,60.9,59.8,12.9,11.4,82.3,67.6,38.7,88.5,60.2
New Zealand,2009,26.7,61.6,60.8,17.4,12.4,83.7,63.9,33.8,88.7,58
Norway,1999,21.1,55.9,57.8,5.6,10.7,81.5,66.7,36.7,73.8,44.6
Norway,2004,22,58.4,61.7,7.4,11.7,84.1,70.6,40.2,82.4,48.9
Norway,2009,24.1,61.8,64.6,9.5,15,85.9,71.4,40.3,86.3,53.6
Poland,1999,14.2,40,36.7,7.9,11.4,66.9,50,30.6,54.3,44.1
Poland,2004,15.7,45.7,42.8,9.2,11.7,72.3,51.7,32.8,68.5,44.5
Poland,2009,18.6,50.1,46.9,10.4,13.4,74.1,53,34.3,74.1,49
Portugal,1999,26.6,48.8,46,7.7,10.4,74.9,54,33.9,81.3,40
Portugal,2004,29.7,56.3,54.2,13.4,10.4,81.4,60.3,39.4,87.2,41.2
Portugal,2009,32.6,60.3,58.2,15.6,12.8,83.4,61.5,40.6,89.4,43.6
