Entity,Year,Accumulated ocean plastic: Macroplastics (>0.5cm),Accumulated ocean plastic: Microplastics (<0.5cm)
Emissions growth to 2050,1950,0,0
Emissions growth to 2050,1951,400,0
Emissions growth to 2050,1952,600,0
Emissions growth to 2050,1953,1000,0
Emissions growth to 2050,1954,1300,100
Emissions growth to 2050,1955,1800,100
Emissions growth to 2050,1956,2400,200
Emissions growth to 2050,1957,3000,200
Emissions growth to 2050,1958,3800,300
Emissions growth to 2050,1959,4600,400
Emissions growth to 2050,1960,5600,600
Emissions growth to 2050,1961,6700,700
Emissions growth to 2050,1962,8100,900
Emissions growth to 2050,1963,9600,1200
Emissions growth to 2050,1964,11500,1500
Emissions growth to 2050,1965,13500,1800
Emissions growth to 2050,1966,16000,2200
Emissions growth to 2050,1967,18800,2700
Emissions growth to 2050,1968,22000,3300
Emissions growth to 2050,1969,25900,3900
Emissions growth to 2050,1970,30200,4700
Emissions growth to 2050,1971,34900,5600
Emissions growth to 2050,1972,40300,6600
Emissions growth to 2050,1973,46500,7900
Emissions growth to 2050,1974,53100,9300
Emissions growth to 2050,1975,59200,10800
Emissions growth to 2050,1976,66200,12600
Emissions growth to 2050,1977,73600,14600
Emissions growth to 2050,1978,81600,16800
Emissions growth to 2050,1979,90400,19300
Emissions growth to 2050,1980,99300,22000
Emissions growth to 2050,1981,108400,25000
Emissions growth to 2050,1982,117800,28200
Emissions growth to 2050,1983,127800,31700
Emissions growth to 2050,1984,138500,35600
Emissions growth to 2050,1985,149600,39700
Emissions growth to 2050,1986,161300,44200
Emissions growth to 2050,1987,174000,49100
Emissions growth to 2050,1988,187300,54300
Emissions growth to 2050,1989,201200,59900
Emissions growth to 2050,1990,215900,65900
Emissions growth to 2050,1991,231000,72400
Emissions growth to 2050,1992,247000,79300
Emissions growth to 2050,1993,263600,86800
Emissions growth to 2050,1994,281600,94700
Emissions growth to 2050,1995,300200,103100
Emissions growth to 2050,1996,320200,112100
Emissions growth to 2050,1997,341500,121700
Emissions growth to 2050,1998,363900,132000
Emissions growth to 2050,1999,387800,142900
Emissions growth to 2050,2000,413100,154500
Emissions growth to 2050,2001,439200,166900
Emissions growth to 2050,2002,466800,180100
Emissions growth to 2050,2003,495500,194100
Emissions growth to 2050,2004,525900,209000
Emissions growth to 2050,2005,557100,224700
Emissions growth to 2050,2006,590200,241400
Emissions growth to 2050,2007,625000,259200
Emissions growth to 2050,2008,658800,277900
