Entity,Year,Poverty Share by Region ($1.90) - World Bank (PovcalNet) (2016)
East Asia and Pacific,1990,60.2
East Asia and Pacific,1993,52.4
East Asia and Pacific,1996,39.4
East Asia and Pacific,1999,37.2
East Asia and Pacific,2002,29
East Asia and Pacific,2005,18.4
East Asia and Pacific,2008,14.9
East Asia and Pacific,2010,11.1
East Asia and Pacific,2011,8.4
East Asia and Pacific,2012,7.1
East Asia and Pacific,2013,3.5
Eastern Europe and Central Asia,1990,4
Eastern Europe and Central Asia,1993,6.9
Eastern Europe and Central Asia,1996,7.8
Eastern Europe and Central Asia,1999,8.1
Eastern Europe and Central Asia,2002,6.3
Eastern Europe and Central Asia,2005,5.1
Eastern Europe and Central Asia,2008,3.3
Eastern Europe and Central Asia,2010,3
Eastern Europe and Central Asia,2011,2.7
Eastern Europe and Central Asia,2012,2.6
Eastern Europe and Central Asia,2013,2.3
Latin America and the Caribbean,1990,15.8
Latin America and the Caribbean,1993,14.4
Latin America and the Caribbean,1996,14.2
Latin America and the Caribbean,1999,13.9
Latin America and the Caribbean,2002,13
Latin America and the Caribbean,2005,9.8
Latin America and the Caribbean,2008,7.1
Latin America and the Caribbean,2010,6.5
Latin America and the Caribbean,2011,6
Latin America and the Caribbean,2012,5.6
Latin America and the Caribbean,2013,5.4
Middle East and North Africa,1990,6
Middle East and North Africa,1993,5.6
Middle East and North Africa,1996,4.8
Middle East and North Africa,2005,3
Middle East and North Africa,2008,2.8
South Asia,1990,44.6
South Asia,1993,44.8
South Asia,1996,40.3
South Asia,2002,38.5
South Asia,2005,33.6
South Asia,2008,29.4
South Asia,2010,24.6
South Asia,2011,19.9
South Asia,2012,17.5
South Asia,2013,15.1
Sub-Saharan Africa,1990,54.3
Sub-Saharan Africa,1993,58.4
Sub-Saharan Africa,1996,57.7
Sub-Saharan Africa,1999,57.1
Sub-Saharan Africa,2002,55.6
Sub-Saharan Africa,2005,50
Sub-Saharan Africa,2008,47
Sub-Saharan Africa,2010,45.7
Sub-Saharan Africa,2011,44.1
Sub-Saharan Africa,2012,42.6
Sub-Saharan Africa,2013,41
World,1990,35
World,1993,33.5
World,1996,28.8
World,1999,28.1
World,2002,25.3
World,2005,20.4
World,2008,17.8
World,2010,15.6
World,2011,13.5
World,2012,12.4
World,2013,10.7
