Entity,Year,"Share of intended capitation grants received by schools in Uganda, 1991-1995"
Uganda - All Regions,1995,12.6
Uganda - Central Region,1995,18.3
Uganda - Eastern Region,1995,11.4
Uganda - Northeastern Region,1995,17.5
Uganda - Northern Region,1995,11.5
Uganda - Northwestern Region,1995,7.6
Uganda - Southwestern Region,1995,8.1
Uganda - Western Region,1995,11.8
