Entity,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016)),ECI+ (Observatory of Economic Complexity (2016)),Economic Complexity Index (ECI) (Atlas of Economic Complexity (2016)),OEC ECI Ranking (Observatory of Economic Complexity (2016)),Atlas of Economic Complexity ECI Ranking (Atlas of Economic Complexity (2016))
Albania,1964,-.16267499,-.37085599,,44,
Albania,1965,-.144394,-.454851,,43,
Albania,1966,.001056,-.106134,,43,
Albania,1967,.21063501,.151233,,36,
Albania,1968,.056063,.062879004,,41,
Albania,1969,.061085999,.0036859999,,43,
Albania,1970,-.024968,.017971,,44,
Albania,1971,.089795001,.062729999,,41,
Albania,1972,.094190001,-.032152001,,43,
Albania,1973,-.064341001,-.324882,,48,
Albania,1974,-.170026,-.48059499,,53,
Albania,1975,-.13874801,-.50708699,,53,
Albania,1976,-.171997,-.49132201,,55,
Albania,1977,-.26786301,-.54723698,,62,
Albania,1978,.027023001,-.53691101,,48,
Albania,1979,-.074055001,-.398193,,48,
Albania,1980,.42067599,-.029649001,,30,
Albania,1981,.242285,-.283142,,38,
Albania,1982,.34736201,-.090735003,,34,
Albania,1983,.203431,-.16198599,,39,
Albania,1984,-.040355001,-.25600401,,51,
Albania,1985,-.226584,-.28715301,,57,
Albania,1986,-.33635899,-.46505201,,64,
Albania,1987,-.229183,-.399095,,57,
Albania,1988,-.28195199,-.387012,,58,
Albania,1989,-.264478,-.374019,,59,
Albania,1990,-.19779401,-.282938,,54,
Albania,1991,-.21099401,-.212005,,55,
Albania,1992,-.242111,-.24683399,,65,
Albania,1993,-.19509301,-.238593,,67,
Albania,1994,-.179171,-.210017,,66,
Albania,1995,-.28680101,-.268105,-.50959998,69,82
Albania,1996,-.37706399,-.343265,-.22149999,70,67
Albania,1997,-.404282,-.38920999,-.36790001,72,70
Albania,1998,-.43934,-.43829501,-.3215,71,70
Albania,1999,-.42106,-.51049501,-.1831,73,63
Albania,2000,-.27605501,-.381659,-.1197,69,63
Albania,2001,-.047386002,-.336427,-.1741,59,61
Albania,2002,-.017419999,-.22281501,-.138,56,61
Albania,2003,-.023840001,-.163581,-.0184,59,54
Albania,2004,-.128714,-.202839,-.2246,65,64
Albania,2005,-.245883,-.27198499,-.28150001,69,68
Albania,2006,-.39510101,-.361417,-.51849997,75,73
Albania,2007,-.49088901,-.35252401,-.47580001,79,72
Albania,2008,.151114,.049162,.249,52,46
Albania,2009,.56327897,.483336,-.68360001,37,81
Albania,2010,.55278802,.46788901,-.74519998,38,83
Albania,2011,.27274901,.315761,-.49970001,46,73
Albania,2012,-.47258601,-.333637,-.48050001,76,78
Albania,2013,-.68493301,-.46487099,-.498,79,75
Albania,2014,-.54207897,-.40902701,-.65969998,75,84
Albania,2015,-.65088499,-.36014301,-.72689998,78,87
Albania,2016,-.99780202,,-.50959998,71,78
Algeria,1964,-.13141599,.090526998,,40,
Algeria,1965,-.248026,-.002079,,48,
Algeria,1966,-.298926,-.139213,,55,
Algeria,1967,-.326832,-.26971599,,54,
Algeria,1968,-.46939701,-.210311,,60,
Algeria,1969,-.52116102,-.178434,,59,
Algeria,1970,-.49276501,-.159878,,58,
Algeria,1971,-.38789499,-.099652998,,59,
Algeria,1972,-.58116198,-.117379,,67,
Algeria,1973,-.63415498,-.056917999,,66,
Algeria,1974,-.77250397,-.058579002,,74,
Algeria,1975,-.65800899,-.131253,,71,
Algeria,1976,-.81582999,-.26162201,,74,
Algeria,1977,-.82202297,-.35906699,,75,
Algeria,1978,-.93973303,-.208767,,79,
Algeria,1979,-.84465402,-.20607699,,78,
Algeria,1980,-.75475103,-.41145799,,77,
