Entity,Year,Number of departures (per 1000 people)
Albania,2001,312.0738599
Albania,2002,427.071691
Albania,2003,444.1350486
Albania,2004,559.6412746
Albania,2005,696.3337381
Albania,2006,874.171734
Albania,2007,1003.024562
Albania,2008,1260.808994
Albania,2009,1162.759319
Albania,2010,1181.934493
Albania,2011,1418.149212
Albania,2012,1364.983669
Albania,2013,1356.77899
Albania,2014,1435.04699
Albania,2015,1563.507241
Albania,2016,1687.006124
Albania,2017,1804.794712
Algeria,1995,37.71065466
Algeria,1996,29.71635333
Algeria,1997,27.67104276
Algeria,1998,28.97573067
Algeria,1999,29.35095101
Algeria,2000,32.26048514
Algeria,2001,37.66758157
Algeria,2002,39.28733217
Algeria,2003,38.69950648
Algeria,2004,43.16030144
Algeria,2005,45.45121779
Algeria,2006,39.93733775
Algeria,2007,43.70252707
Algeria,2008,44.14711517
Algeria,2009,47.28504338
Algeria,2010,48.64659335
Algeria,2011,46.57850591
Algeria,2012,50.87067516
Algeria,2013,55.71413972
Algeria,2014,72.58398183
Algeria,2015,91.24305444
Algeria,2016,111.5597251
Algeria,2017,122.4159596
Angola,1995,0.210246076
Angola,1996,0.204327883
Argentina,1995,109.0161531
Argentina,1996,121.2884972
Argentina,1997,126.0535778
Argentina,1998,126.7052577
Argentina,1999,130.5935145
Argentina,2000,133.6573275
Argentina,2001,127.0832194
Argentina,2002,79.38902125
Argentina,2003,80.60689264
Argentina,2004,100.8038071
Argentina,2005,99.47506594
Argentina,2006,98.3849648
Argentina,2007,104.2526056
Argentina,2008,114.2577275
Argentina,2009,122.0851078
Argentina,2010,128.7360346
Argentina,2011,160.5017025
Argentina,2012,172.6024431
Argentina,2013,158.5804394
Argentina,2014,151.6233199
Argentina,2015,179.8111902
Argentina,2016,238.2351714
Argentina,2017,276.8852894
Armenia,2000,36.1612047
Armenia,2001,36.0578302
Armenia,2002,43.17878952
Armenia,2003,56.00094903
Armenia,2004,73.65164173
Armenia,2005,90.23033557
Armenia,2006,111.2050025
Armenia,2007,159.5605403
Armenia,2008,177.4281175
Armenia,2009,182.0961412
Armenia,2010,195.6688033
Armenia,2011,248.6454042
Armenia,2012,334.8459813
Armenia,2013,374.2860313
Armenia,2014,412.2193089
Armenia,2015,406.931898
Armenia,2016,431.822036
Armenia,2017,505.7243768
Australia,1995,139.3868969
Australia,1996,149.1999345
Australia,1997,158.3949884
Australia,1998,168.9380578
Australia,1999,169.6079467
Australia,2000,182.6345742
Australia,2001,177.3553804
Australia,2002,176.1197675
Australia,2003,170.2906199
