Entity,Year,World Population,World Population fed by Haber-Bosch nitrogen,World Population (without Haber-Bosch nitrogen)
World,1900,1650000000,0,1650000000
World,1901,1659947572,0,1659947572
World,1902,1669996608,0,1669996608
World,1903,1680114897,0,1680114897
World,1904,1690269397,0,1690269397
World,1905,1700426220,0,1700426220
World,1906,1710550627,0,1710550627
World,1907,1720607035,0,1720607035
World,1908,1730559024,0,1730559024
World,1909,1740369356,,
World,1910,1750000000,8750000,1741250000
World,1911,1759443033,,
World,1912,1768814621,,
World,1913,1778264825,,
World,1914,1787947089,,
World,1915,1798018386,,
World,1916,1808639504,,
World,1917,1819975472,,
World,1918,1832196157,,
World,1919,1845477011,,
World,1920,1860000000,,
World,1921,1875909155,,
World,1922,1893171642,,
World,1923,1911708727,,
World,1924,1931439861,,
World,1925,1952282002,,
World,1926,1974148984,,
World,1927,1996950908,,
World,1928,2020593592,,
World,1929,2044978045,,
World,1930,2070000000,103500000,1966500000
World,1931,2095524322,,
World,1932,2121306518,,
World,1933,2147063356,,
World,1934,2172497229,,
World,1935,2197296392,,
World,1936,2221135654,,
World,1937,2243677560,,
World,1938,2264574084,,
World,1939,2283468864,,
World,1940,2300000000,161000000,2139000000
World,1941,2314055062,,
World,1942,2326540535,,
World,1943,2338643871,,
World,1944,2351580095,,
World,1945,2366593074,,
World,1946,2384963558,,
World,1947,2408024366,,
World,1948,2437183278,,
World,1949,2473954492,,
World,1950,2536274721,202901977.7,2333372743
World,1951,2583816786,,
World,1952,2630584384,,
World,1953,2677230358,,
World,1954,2724302468,,
World,1955,2772242535,304946678.9,2467295856
World,1956,2821383444,,
World,1957,2871952278,,
World,1958,2924081243,,
World,1959,2977824686,,
World,1960,3033212527,394317628.5,2638894898
World,1961,3090305279,,
World,1962,3149244245,,
World,1963,3210271352,,
World,1964,3273670772,,
World,1965,3339592688,,
World,1966,3408121405,,
World,1967,3479053821,,
World,1968,3551880700,,
World,1969,3625905514,,
World,1970,3700577650,888138636,2812439014
World,1971,3775790900,,
World,1972,3851545181,,
World,1973,3927538695,,
World,1974,4003448151,,
World,1975,4079087198,,
World,1976,4154287594,,
World,1977,4229201257,,
World,1978,4304377112,,
World,1979,4380585755,,
World,1980,4458411534,1337523460,3120888074
World,1981,4537845777,,
World,1982,4618776168,,
World,1983,4701530843,,
World,1984,4786483862,,
World,1985,4873781796,,
World,1986,4963633228,,
World,1987,5055636132,,
World,1988,5148556956,,
World,1989,5240735117,,
World,1990,5330943460,2132377384,3198566076
World,1991,5418758803,,
World,1992,5504401149,,
World,1993,5588094837,,
World,1994,5670319703,,
World,1995,5751474416,,
World,1996,5831565020,,
World,1997,5910566295,,
World,1998,5988846103,,
World,1999,6066867391,,
World,2000,6145006989,2703803075,3441203914
World,2001,6223412158,,
World,2002,6302149639,,
World,2003,6381408987,,
World,2004,6461370865,,
World,2005,6542159383,,
World,2006,6623847913,,
World,2007,6706418593,,
World,2008,6789771253,3259090201,3530681052
World,2009,6873741054,,
World,2010,6958169159,,
World,2011,7043008586,,
World,2012,7128176935,,
World,2013,7213426452,,
World,2014,7298453033,,
World,2015,7383008820,3543844234,3839164586
