Entity,Year,Marine Living Planet Index (WWF (2016)),Lower CI (WWF (2016)),Upper CI (WWF (2016))
World,1970,1,1,1
World,1971,0.977997165,0.946354087,1.009038414
World,1972,0.941936094,0.863820429,1.007487928
World,1973,0.953761898,0.869803663,1.027430726
World,1974,0.968222516,0.880912562,1.047017574
World,1975,0.969801284,0.879618958,1.052626397
World,1976,0.959910821,0.869726612,1.047273138
World,1977,0.950706559,0.857191209,1.043175867
World,1978,0.927656493,0.833112675,1.02245051
World,1979,0.92184881,0.825985352,1.019082874
World,1980,0.900851637,0.801537924,1.001540388
World,1981,0.870619777,0.770337132,0.975113878
World,1982,0.841884959,0.742334405,0.946681009
World,1983,0.835256512,0.734972001,0.942343046
World,1984,0.792942684,0.695750549,0.897293229
World,1985,0.74205644,0.650107198,0.8428682
World,1986,0.722081968,0.631827024,0.821471792
World,1987,0.689803897,0.60209507,0.785985004
World,1988,0.642539756,0.55891677,0.735488082
World,1989,0.656555865,0.56898724,0.753354778
World,1990,0.661841991,0.572752452,0.760988851
World,1991,0.663293731,0.573657147,0.762655941
World,1992,0.654975295,0.564931862,0.754163533
World,1993,0.646921405,0.555396831,0.749102253
World,1994,0.627514502,0.537760543,0.729649383
World,1995,0.618920667,0.52919906,0.722052897
World,1996,0.626290106,0.534464985,0.730651568
World,1997,0.627495655,0.534732986,0.732761055
World,1998,0.629513901,0.536398863,0.736341463
World,1999,0.630540922,0.536263152,0.738764657
World,2000,0.627794863,0.532237155,0.736395413
World,2001,0.627690381,0.531385436,0.737354478
World,2002,0.623086729,0.526525114,0.733188936
World,2003,0.623365807,0.5263446,0.735891635
World,2004,0.632608588,0.531690285,0.750024457
World,2005,0.634819014,0.531807116,0.754089174
World,2006,0.639783822,0.534076809,0.761108696
World,2007,0.653357895,0.542695189,0.781093999
World,2008,0.638637684,0.525678832,0.769613649
World,2009,0.626543787,0.513710684,0.758057767
World,2010,0.641947439,0.523954585,0.780216891
World,2011,0.640107014,0.517565663,0.785899058
World,2012,0.64433459,0.515032679,0.799668153
