Entity,Year,Sheltered Homeless (HUD (2016)),Unsheltered Homeless (HUD (2016))
United States,2007,391401,255857
United States,2008,386361,253423
United States,2009,403308,226919
United States,2010,403543,233534
United States,2011,392316,231472
United States,2012,390155,231398
United States,2013,394698,195666
United States,2014,401051,175399
United States,2015,391440,173268
United States,2016,373571,176357
