Entity,Year,Oil Imports (DECC (2013)),Domestic oil production (DECC (2013)),Oil Exports (DECC (2013)),Oil refinery throughput (DECC (2013)),Natural gas consumption (DECC (2013))
United Kingdom,1910,0.761019136,,0.078235612,,
United Kingdom,1911,2.381019136,,0.168235612,,
United Kingdom,1912,4.001019136,,0.258235612,,
United Kingdom,1913,5.621019136,,0.348235612,,
United Kingdom,1914,7.241019136,,0.438235612,,
United Kingdom,1915,8.861019136,,0.528235612,,
United Kingdom,1916,10.48101914,,0.618235612,,
United Kingdom,1917,12.10101914,,0.708235612,,
United Kingdom,1918,13.72101914,,0.798235612,,
United Kingdom,1919,15.34101914,,0.888235612,,
United Kingdom,1920,17.27279747,227.5945078,1.01604691,244.8673053,32908.01879
United Kingdom,1921,412.5150455,155.4551772,0,566.9541758,32023.67948
United Kingdom,1922,882.9447648,205.2414758,0,1088.186241,32516.5945
United Kingdom,1923,1360.486812,227.5945078,8.12837528,1579.952945,33778.09907
United Kingdom,1924,1887.815159,228.6105548,0,2115.409667,35912.06044
United Kingdom,1925,2312.522767,196.0970536,0,2508.619821,37151.3377
United Kingdom,1926,2184.500857,155.4551772,0,2339.956034,38662.79465
United Kingdom,1927,2701.668734,168.6637871,2.03209382,2868.300427,39170.66767
United Kingdom,1928,2023.965445,167.6477402,1.01604691,2191.613185,39481.98977
United Kingdom,1929,1980.275428,164.5995994,0,2144.875027,40903.55893
United Kingdom,1930,1873.590502,162.5675056,0,2036.158008,40539.11495
United Kingdom,1931,1400.112642,142.2465674,0,1542.359209,40722.44401
United Kingdom,1932,1497.653145,114.8133008,0,1612.466446,40203.41997
United Kingdom,1933,1596.209696,116.8453947,1.01604691,1713.05509,40001.32593
United Kingdom,1934,1934.553317,117.8614416,17.27279747,2052.414758,40548.01168
United Kingdom,1935,1985.355662,116.8453947,22.35303202,2102.201057,41185.73522
United Kingdom,1936,2079.848025,117.8614416,12.19256292,2197.709466,42963.98228
United Kingdom,1937,2142.842933,122.9416761,0,2265.784609,43860.0356
United Kingdom,1938,2308.45858,128.0219107,0,2399.902801,43940.39305
United Kingdom,1939,2200.757607,133.1021452,0,2428.352115,43904.10571
United Kingdom,1940,1589.097367,145.2947081,0,1598.241789,42252.16332
United Kingdom,1941,991.6617842,163.5835525,0,1119.683695,44643.59342
United Kingdom,1942,600.4837238,234.7068362,0,980.4852682,47932.31007
United Kingdom,1943,535.4567216,261.1240559,0,908.3459375,49558.137
United Kingdom,1944,694.9760864,232.6747424,0,1278.187013,51873.39
United Kingdom,1945,964.2285176,191.0168191,0,1377.75961,53368.047
United Kingdom,1946,2213.966217,169.679834,0,2463.913757,58672.614
United Kingdom,1947,2513.700055,147.326802,0,2509.635868,61368.858
United Kingdom,1948,4715.473709,155.4551772,0,4502.103858,63830.646
United Kingdom,1949,6150.131946,160.5354118,0,6291.362467,65676.987
United Kingdom,1950,9459.396732,159.5193649,0,9432.979512,68490.459
United Kingdom,1951,16891.77988,152.4070365,0,16718.03586,71772.843
United Kingdom,1952,23063.24881,164.5995994,0,22850.89501,71890.071
United Kingdom,1953,26066.68348,161.5514587,0,25803.52733,71391.852
United Kingdom,1954,28417.81603,161.5514587,0,28528.56514,74058.789
United Kingdom,1955,28126.21056,153.4230834,0,28040.86262,75699.981
United Kingdom,1956,28859.79643,146.310755,0,29324.12987,75934.437
United Kingdom,1957,28798.83362,155.4551772,0,28264.39294,74351.859
United Kingdom,1958,34129.01571,145.2947081,0,33461.47289,75524.139
United Kingdom,1959,39593.31599,145.2947081,0,39764.01187,73707.105
United Kingdom,1960,45438.63386,148.3428489,0,45178.52585,79452
United Kingdom,1961,49703.99879,151.3909896,0,49892.98352,78602
United Kingdom,1962,53383.10465,129.0379576,0,53136.20525,83174
United Kingdom,1963,54408.29598,124.9737699,33.52954803,54172.5731,88508
