Entity,Year,Energy intensity (kWh per passenger-km)
Amtrak,1975,0.433959383
Amtrak,1980,0.391164395
Amtrak,1985,0.380420122
Amtrak,1990,0.376231676
Amtrak,1991,0.360206319
Amtrak,1992,0.368583211
Amtrak,1993,0.367490573
Amtrak,1994,0.346029699
Amtrak,1995,0.367288883
Amtrak,1996,0.4008698
Amtrak,1997,0.416759906
Amtrak,1998,0.410697739
Amtrak,1999,0.426867988
Amtrak,2000,0.489424229
Amtrak,2001,0.489912101
Amtrak,2002,0.461934208
Amtrak,2003,0.390571875
Amtrak,2004,0.376528926
Amtrak,2005,0.368677926
Amtrak,2006,0.354675725
Amtrak,2007,0.332122901
Amtrak,2008,0.317827763
Amtrak,2009,0.322886587
Amtrak,2010,0.303805147
Amtrak,2011,0.296559201
Amtrak,2012,0.284244197
Amtrak,2013,0.292858279
Amtrak,2014,0.296636193
Amtrak,2015,0.289323148
Amtrak,2016,0.282423438
Amtrak,2017,0.292731322
Amtrak,2018,0.307314975
Bus,1985,0.199995626
Bus,1990,0.167821097
Bus,1991,0.161333188
Bus,1992,0.163157733
Bus,1993,0.162855385
Bus,1994,0.161504756
Bus,1995,0.161897269
Bus,1996,0.161957767
Bus,1997,0.161093988
Bus,1998,0.159408773
Bus,1999,0.160911364
Bus,2000,0.080642885
Bus,2001,0.084848006
Bus,2002,0.08047485
Bus,2003,0.077745694
Bus,2004,0.107989732
Bus,2005,0.091424219
Bus,2006,0.087832144
Bus,2007,0.149536891
Bus,2008,0.148984172
Bus,2009,0.148295614
Bus,2010,0.149808938
Bus,2011,0.150566452
Bus,2012,0.149865822
Bus,2013,0.149846164
Bus,2014,0.149878799
Bus,2015,0.147405148
Bus,2016,0.14617719
Bus,2017,0.146489929
Bus,2018,0.14629575
Domestic flight,1960,1.572072802
Domestic flight,1965,1.842630225
Domestic flight,1970,1.854679184
Domestic flight,1975,1.553693961
Domestic flight,1980,1.097889167
Domestic flight,1985,0.90142726
Domestic flight,1990,0.868021276
Domestic flight,1991,0.826059262
Domestic flight,1992,0.803702807
Domestic flight,1993,0.811724104
Domestic flight,1994,0.791220348
Domestic flight,1995,0.779793742
Domestic flight,1996,0.745887764
Domestic flight,1997,0.74502781
Domestic flight,1998,0.706745573
Domestic flight,1999,0.730090486
Domestic flight,2000,0.708800745
Domestic flight,2001,0.70077931
Domestic flight,2002,0.657017093
Domestic flight,2003,0.636088899
Domestic flight,2004,0.62059179
Domestic flight,2005,0.588562728
Domestic flight,2006,0.572106235
Domestic flight,2007,0.553613736
Domestic flight,2008,0.534671769
Domestic flight,2009,0.505249893
Domestic flight,2010,0.490076553
Domestic flight,2011,0.471320471
Domestic flight,2012,0.442123448
Domestic flight,2013,0.43095092
Domestic flight,2014,0.423050215
Domestic flight,2015,0.418554658
Domestic flight,2016,0.417060307
Domestic flight,2017,0.410588397
Domestic flight,2018,0.408878571
International flight,1960,1.675264221
International flight,1965,1.874320907
International flight,1970,2.00060614
International flight,1975,1.374328082
International flight,1980,0.796492441
International flight,1985,0.835153597
International flight,1990,0.766087035
International flight,1991,0.763355449
International flight,1992,0.721738023
International flight,1993,0.703126281
International flight,1994,0.71315738
International flight,1995,0.716095491
International flight,1996,0.709025981
International flight,1997,0.7202441
International flight,1998,0.70184568
International flight,1999,0.719593324
International flight,2000,0.702333062
International flight,2001,0.735505158
International flight,2002,0.725577629
International flight,2003,0.761254386
International flight,2004,0.708403678
International flight,2005,0.695040539
International flight,2006,0.667448031
International flight,2007,0.650569707
International flight,2008,0.632439729
International flight,2009,0.616213188
International flight,2010,0.607789911
International flight,2011,0.640752639
International flight,2012,0.634425741
International flight,2013,0.617802974
International flight,2014,0.593736781
International flight,2015,0.591538039
International flight,2016,0.575775976
International flight,2017,0.573665941
International flight,2018,0.566126585
Motorcycle,1970,0.455265823
Motorcycle,1975,0.42870865
Motorcycle,1980,0.38697595
Motorcycle,1985,0.345243249
Motorcycle,1990,0.362315718
Motorcycle,1991,0.349037131
Motorcycle,1992,0.362315718
Motorcycle,1993,0.375594304
Motorcycle,1994,0.388872891
Motorcycle,1995,0.414091389
Motorcycle,1996,0.413595834
Motorcycle,1997,0.413881753
Motorcycle,1998,0.413881753
Motorcycle,1999,0.413881753
Motorcycle,2000,0.413881753
Motorcycle,2001,0.373168708
Motorcycle,2002,0.358477026
Motorcycle,2003,0.358477026
Motorcycle,2004,0.358477026
Motorcycle,2005,0.324888453
Motorcycle,2006,0.328786332
Motorcycle,2007,0.397849099
Motorcycle,2008,0.421527116
Motorcycle,2009,0.454365218
Motorcycle,2010,0.452169099
Motorcycle,2011,0.451079037
Motorcycle,2012,0.450506913
Motorcycle,2013,0.450495032
Motorcycle,2014,0.45051616
Motorcycle,2015,0.448110151
Motorcycle,2016,0.446918523
Motorcycle,2017,0.446305398
Motorcycle,2018,0.44620029
Passenger car,1960,0.818504332
Passenger car,1965,0.811368549
Passenger car,1970,0.881658277
Passenger car,1975,0.863700311
Passenger car,1980,0.791759763
Passenger car,1985,0.777452272
Passenger car,1990,0.693951201
Passenger car,1991,0.665484817
Passenger car,1992,0.674609928
Passenger car,1993,0.689667034
Passenger car,1994,0.6866825
Passenger car,1995,0.677581649
Passenger car,1996,0.671518984
Passenger car,1997,0.66594265
Passenger car,1998,0.662392112
Passenger car,1999,0.667446513
Passenger car,2000,0.653657882
Passenger car,2001,0.654978463
Passenger car,2002,0.65561803
Passenger car,2003,0.650140324
Passenger car,2004,0.639056584
Passenger car,2005,0.652871459
Passenger car,2006,0.639244589
Passenger car,2007,0.613256795
Passenger car,2008,0.609009794
Passenger car,2009,0.571153826
Passenger car,2010,0.575975164
Passenger car,2011,0.580571229
Passenger car,2012,0.577816384
Passenger car,2013,0.575039187
Passenger car,2014,0.580462448
Passenger car,2015,0.564827431
Passenger car,2016,0.562886316
Passenger car,2017,0.562726734
Passenger car,2018,0.558981637
Transit motor bus,1980,0.499369804
Transit motor bus,1985,0.61715835
Transit motor bus,1990,0.677953922
Transit motor bus,1991,0.686079082
Transit motor bus,1992,0.735349193
Transit motor bus,1993,0.718236087
Transit motor bus,1994,0.757883925
Transit motor bus,1995,0.75670689
Transit motor bus,1996,0.759396507
Transit motor bus,1997,0.684840375
Transit motor bus,1998,0.675902741
Transit motor bus,1999,0.658368967
Transit motor bus,2000,0.675860747
Transit motor bus,2001,0.655177329
Transit motor bus,2002,0.630171333
Transit motor bus,2003,0.612183236
Transit motor bus,2004,0.623868271
Transit motor bus,2005,0.583974551
Transit motor bus,2006,0.578304864
Transit motor bus,2007,0.561475401
Transit motor bus,2008,0.551894485
Transit motor bus,2009,0.634448606
Transit motor bus,2010,0.617424895
Transit motor bus,2011,0.614731867
Transit motor bus,2012,0.584574214
Transit motor bus,2013,0.572974971
Transit motor bus,2014,0.501967457
Transit motor bus,2015,0.577379993
Transit motor bus,2016,0.583366106
Transit motor bus,2017,0.604376768
Transit motor bus,2018,0.600774953
Truck,1970,3.335354652
Truck,1975,3.565192108
Truck,1980,3.95826149
Truck,1985,3.706467536
Truck,1990,3.665301714
Truck,1991,3.516609614
Truck,1992,3.480365841
Truck,1993,3.403346991
Truck,1994,3.354840509
Truck,1995,3.34561026
Truck,1996,3.342758682
Truck,1997,3.258676083
Truck,1998,3.259825041
Truck,1999,3.034524081
Truck,2000,2.166343404
Truck,2001,2.126788094
Truck,2002,2.189135673
Truck,2003,1.793326286
Truck,2004,1.833260695
Truck,2005,1.970873851
Truck,2006,1.818658277
Truck,2007,3.095296969
Truck,2008,3.076291544
Truck,2009,3.077713938
Truck,2010,3.103234156
Truck,2011,3.117346253
Truck,2012,3.09886033
Truck,2013,3.097266549
Truck,2014,3.101820956
Truck,2015,3.084441091
Truck,2016,3.080647595
Truck,2017,3.058541831
Truck,2018,3.032639149
Truck (with trailer),1965,4.786293781
Truck (with trailer),1970,4.760763462
Truck (with trailer),1975,4.470908377
Truck (with trailer),1980,4.321107587
Truck (with trailer),1985,4.083879594
Truck (with trailer),1990,3.892689036
Truck (with trailer),1991,3.959109743
Truck (with trailer),1992,3.938225512
Truck (with trailer),1993,3.917945727
Truck (with trailer),1994,3.897878218
Truck (with trailer),1995,3.899399826
Truck (with trailer),1996,3.865869795
Truck (with trailer),1997,3.709411713
Truck (with trailer),1998,4.46153555
Truck (with trailer),1999,4.219166663
Truck (with trailer),2000,3.623444663
Truck (with trailer),2001,3.43691556
Truck (with trailer),2002,3.583254861
Truck (with trailer),2003,3.123897008
Truck (with trailer),2004,3.18376601
Truck (with trailer),2005,3.599043784
Truck (with trailer),2006,3.60813131
Truck (with trailer),2007,3.819161617
Truck (with trailer),2008,3.784373516
Truck (with trailer),2009,3.798393939
Truck (with trailer),2010,3.875267884
Truck (with trailer),2011,3.916528062
Truck (with trailer),2012,3.892444221
Truck (with trailer),2013,3.89150929
Truck (with trailer),2014,3.902802731
Truck (with trailer),2015,3.862278035
Truck (with trailer),2016,3.854104878
Truck (with trailer),2017,3.808330395
Truck (with trailer),2018,3.748256846
Van,1970,1.240196478
Van,1975,1.196546443
Van,1980,1.039683832
Van,1985,0.905337116
Van,1990,0.810623562
Van,1991,0.778822469
Van,1992,0.775107108
Van,1993,0.778475491
Van,1994,0.791279984
Van,1995,0.826423527
Van,1996,0.826997706
Van,1997,0.831113689
Van,1998,0.832045826
Van,1999,0.838394764
Van,2000,0.821074576
Van,2001,0.725693199
Van,2002,0.750535874
Van,2003,0.810650495
Van,2004,0.810650495
Van,2005,0.742474811
Van,2006,0.736081129
Van,2007,0.826149617
Van,2008,0.757397563
Van,2009,0.81995464
Van,2010,0.823991966
Van,2011,0.827176797
Van,2012,0.823470918
Van,2013,0.818768908
Van,2014,0.819617638
Van,2015,0.806235201
Van,2016,0.800644076
Van,2017,0.770915543
Van,2018,0.756090269
