Entity,Year,Bottle lids,Cans (drink),Cans (food),Clothing,Fishing net,Fishing related,Fishing weights,Food containers,Glass bottles,Industrial packaging,Plastic bags,Plastic bottles,Plastic lids,Rope & nets (fabric),Synthetic rope,Tyres,Wood,Wrappers
East Asia and Pacific,2021,,3.4,,2.8,2.7,7.2,,4.2,5.2,,14.0,11.1,,,2.8,,,18.2
East Europe and Central Asia,2021,3.1,9.9,3.4,,,21.1,,5.6,3.4,,5.8,7.5,7.6,,,3.2,,
High income,2021,,8.0,,,,31.7,9.6,3.9,7.2,,4.9,6.0,2.1,,2.2,,,2.6
Latin America and the Carribean,2021,,4.6,,2.5,,10.3,4.6,8.8,4.8,,20.1,10.4,4.5,,,,,4.4
North Africa and Middle East,2021,,6.8,3.1,,,14.1,3.4,17.1,3.7,,12.3,9.0,3.5,,,,,3.5
South Asia,2021,,4.1,,3.7,3.8,12.2,,,3.7,3.0,7.1,12.9,,,,,4.2,6.4
Sub-Saharan Africa,2021,2.8,7.4,,3.6,,3.7,,4.2,10.4,,9.0,19.2,5.6,4.2,,,,
