Entity,Year,"Tenth percentile (Blau, Kahn 2017)","Fiftieth percentile (Blau, Kahn 2017)","Ninetieth percentile (Blau, Kahn 2017)"
United States,1980,64.8,60.1,62.4
United States,1989,76.3,72.4,74.6
United States,1998,80.3,79.8,73.8
United States,2010,81.5,82.4,73.9
