Entity,Year,All causes - Disability Adjusted Life Years (WHO (2015))
Afghanistan,2000,86566
Afghanistan,2012,68970
Albania,2000,36919
Albania,2012,29903
Algeria,2000,38868
Algeria,2012,34790
Angola,2000,115496
Angola,2012,93709
Argentina,2000,29479
Argentina,2012,26808
Armenia,2000,35104
Armenia,2012,35083
Australia,2000,20785
Australia,2012,17696
Austria,2000,22536
Austria,2012,19763
Azerbaijan,2000,45307
Azerbaijan,2012,33879
Bahamas,2000,34269
Bahamas,2012,30459
Bahrain,2000,29903
Bahrain,2012,25533
Bangladesh,2000,52136
Bangladesh,2012,38814
Barbados,2000,30067
Barbados,2012,26768
Belarus,2000,40636
Belarus,2012,33783
Belgium,2000,22910
Belgium,2012,19878
Belize,2000,35540
Belize,2012,31420
Benin,2000,85433
Benin,2012,65706
Bhutan,2000,65068
Bhutan,2012,44059
Bolivia,2000,56175
Bolivia,2012,44087
Bosnia and Herzegovina,2000,28285
Bosnia and Herzegovina,2012,24000
Botswana,2000,114728
Botswana,2012,61513
Brazil,2000,38100
Brazil,2012,31632
Brunei,2000,24686
Brunei,2012,22941
Bulgaria,2000,33608
Bulgaria,2012,28771
Burkina Faso,2000,101477
Burkina Faso,2012,70891
Burundi,2000,107301
Burundi,2012,80027
Cambodia,2000,64725
Cambodia,2012,40007
Cameroon,2000,94590
Cameroon,2012,77369
Canada,2000,21044
Canada,2012,18838
Cape Verde,2000,41048
Cape Verde,2012,31195
Central African Republic,2000,122132
Central African Republic,2012,97115
Chad,2000,112973
Chad,2012,94563
Chile,2000,24547
Chile,2012,21333
China,2000,32966
China,2012,24811
Colombia,2000,34477
Colombia,2012,27188
Comoros,2000,69054
Comoros,2012,59673
Congo,2000,90299
Congo,2012,70611
Costa Rica,2000,25405
Costa Rica,2012,23017
Cote d'Ivoire,2000,106763
Cote d'Ivoire,2012,88856
Croatia,2000,28663
Croatia,2012,24063
Cuba,2000,26736
Cuba,2012,25180
Cyprus,2000,21523
Cyprus,2012,15789
Czech Republic,2000,26544
Czech Republic,2012,22380
Democratic Republic of Congo,2000,104899
Democratic Republic of Congo,2012,92831
Denmark,2000,23437
Denmark,2012,20451
Djibouti,2000,75169
Djibouti,2012,64677
Dominican Republic,2000,34618
Dominican Republic,2012,29597
Ecuador,2000,35058
Ecuador,2012,29357
Egypt,2000,43150
Egypt,2012,35784
El Salvador,2000,39697
El Salvador,2012,36007
Equatorial Guinea,2000,98162
Equatorial Guinea,2012,82201
Eritrea,2000,123729
Eritrea,2012,57089
Estonia,2000,36400
Estonia,2012,26242
Ethiopia,2000,94034
Ethiopia,2012,54964
Fiji,2000,44300
Fiji,2012,39681
Finland,2000,22800
Finland,2012,19843
France,2000,22097
France,2012,19104
Gabon,2000,68540
Gabon,2012,58498
Gambia,2000,77325
Gambia,2012,62697
Georgia,2000,33696
Georgia,2012,29323
Germany,2000,22368
Germany,2012,19224
Ghana,2000,71507
Ghana,2012,58375
Greece,2000,22112
Greece,2012,19627
Guatemala,2000,45470
Guatemala,2012,37079
Guinea,2000,99628
Guinea,2012,72518
Guinea-Bissau,2000,93520
Guinea-Bissau,2012,83441
Guyana,2000,51259
Guyana,2012,55470
Haiti,2000,77547
Haiti,2012,61717
Honduras,2000,39090
Honduras,2012,33106
Hungary,2000,34543
Hungary,2012,28707
Iceland,2000,19812
Iceland,2012,17257
India,2000,60447
India,2012,47950
Indonesia,2000,45080
Indonesia,2012,36015
Iran,2000,38976
Iran,2012,30911
Iraq,2000,37596
Iraq,2012,38798
Ireland,2000,24183
Ireland,2012,19319
Israel,2000,21702
Israel,2012,17719
Italy,2000,20294
Italy,2012,16957
Jamaica,2000,37292
Jamaica,2012,32646
Japan,2000,17450
Japan,2012,15700
Jordan,2000,34738
Jordan,2012,30626
Kazakhstan,2000,54320
Kazakhstan,2012,42084
Kenya,2000,90442
Kenya,2012,62578
Kuwait,2000,27964
Kuwait,2012,22687
Kyrgyzstan,2000,47692
Kyrgyzstan,2012,39969
Laos,2000,65716
Laos,2012,49556
Latvia,2000,37190
Latvia,2012,29932
Lebanon,2000,28985
Lebanon,2012,20828
Lesotho,2000,106381
Lesotho,2012,99421
Liberia,2000,100675
Liberia,2012,62373
Libya,2000,35341
Libya,2012,28906
Lithuania,2000,33906
