Entity,Year,"Coal (Vaclav Smil, 2017)","Crude oil (Vaclav Smil, 2017)","Natural gas (Vaclav Smil, 2017)","Hydropower (Vaclav Smil, 2017)","Nuclear (Vaclav Smil, 2017)","Solar (Vaclav Smil, 2017)","Other renewables (Vaclav Smil, 2017)","Traditional biofuels (Vaclav Smil, 2017)","Wind (Vaclav Smil, 2017)"
World,1999,26492.77461,42510.09274,23107.57158,2608.338262,2524.546817,0.965823997,177.1371664,12414.05573,21.21534431
World,2000,27403.94562,43038.62001,24019.89227,2654.953445,2580.976669,1.177935576,185.2722028,12500,31.41996387
World,2001,27851.05371,43421.10755,24367.11133,2586.668594,2653.821898,1.463956125,191.0179267,12500,38.39098735
World,2002,28936.6423,43796.55068,25108.12839,2633.835653,2696.204132,1.831247734,205.6996386,12470,52.33180737
World,2003,31475.58334,44803.21017,25769.17552,2629.430399,2641.599256,2.3293707,217.2027959,12328.70237,62.91691456
World,2004,33656.31109,46503.96733,26752.16794,2808.226932,2757.124087,3.054656084,234.3682046,12159.75217,85.11605376
World,2005,36118.94545,47115.72728,27537.09099,2918.064831,2769.046942,4.249617769,254.3922875,12076.14729,104.0868359
World,2006,37979.81684,47732.19992,28347.57835,3030.307944,2803.605088,5.818328387,271.7633551,11993.11724,132.8592792
World,2007,40143.91171,48471.73162,29580.25097,3079.79887,2746.479825,7.864870878,294.2977297,11910.65806,170.6860872
World,2008,40712.5427,48250.64229,30321.37836,3263.589026,2737.860822,12.72162081,314.3656167,11828.76583,220.5696719
World,2009,40088.33994,47422.36853,29477.9263,3253.601171,2699.245242,21.09259048,338.2157334,11747.43666,275.9292658
World,2010,41932.74507,48949.72046,31759.12422,3435.905581,2767.507814,33.82948514,378.0383427,11666.66667,341.5652412
World,2011,43948.96889,49455.27172,32410.44868,3503.227091,2651.771616,65.21188479,397.4546676,11553.3766,436.8034429
World,2012,44129.62497,50065.86499,33270.53388,3671.297583,2472.44864,100.9252749,430.3624386,11441.18663,523.8148612
World,2013,44953.01385,50698.38455,33714.94785,3797.954118,2491.705601,139.0442186,463.9825019,11330.0861,645.7219776
World,2014,44916.83781,51109.97172,33986.84723,3887.930335,2541.027341,197.6716635,504.3899227,11220.06442,712.4070431
World,2015,43786.8458,52053.27008,34741.88349,3891.408797,2575.664304,260.0058008,538.2067786,11111.11111,831.8262454
World,2016,43101.23216,53001.86598,35741.82987,4036.073668,2612.83283,328.1826964,556.9861292,11003.2158,959.4687163
World,2017,43397.13549,53752.27638,36703.96587,4059.868393,2635.561104,442.6183606,586.1710901,10895.32049,1122.74585
