Entity,Year,Number of peacekeeping missions (United Nations Peacekeeping),Size of total peacekeeping force (United Nations Peacekeeping),Civilian police (peacekeepers) (United Nations Peacekeeping),Military Observers and staff officers (peacekeepers) (United Nations Peacekeeping),Troops (peacekeepers) (United Nations Peacekeeping)
World,1947,0,30,0,0,0
World,1948,1,600,0,0,0
World,1949,2,700,0,0,0
World,1950,2,700,0,0,0
World,1951,2,700,0,0,0
World,1952,2,700,0,0,0
World,1953,2,700,0,0,0
World,1954,2,700,0,0,0
World,1955,2,700,0,0,0
World,1956,3,700,0,0,0
World,1957,3,6800,0,0,0
World,1958,4,7200,0,0,0
World,1959,3,6800,0,0,0
World,1960,4,26200,0,0,0
World,1961,4,22500,0,0,0
World,1962,5,26500,0,0,0
World,1963,6,12600,0,0,0
World,1964,6,13000,0,0,0
World,1965,6,13000,0,0,0
World,1966,6,13000,0,0,0
World,1967,4,13000,0,0,0
World,1968,3,6900,0,0,0
World,1969,3,7200,0,0,0
World,1970,3,7200,0,0,0
World,1971,3,7200,0,0,0
World,1972,3,7200,0,0,0
World,1973,4,9800,0,0,0
World,1974,5,11100,0,0,0
World,1975,5,11300,0,0,0
World,1976,5,11500,0,0,0
World,1977,5,11500,0,0,0
World,1978,6,16700,0,0,0
World,1979,6,13300,0,0,0
World,1980,5,13000,0,0,0
World,1981,5,12500,0,0,0
World,1982,5,12500,0,0,0
World,1983,5,12500,0,0,0
World,1984,5,12500,0,0,0
World,1985,5,12500,0,0,0
World,1986,5,12500,0,0,0
World,1987,5,12500,0,0,0
World,1988,7,13000,0,0,0
World,1989,10,17900,0,0,0
World,1990,10,13700,0,0,0
World,1991,14,15300,0,0,0
World,1992,16,52154,4413,2066,45675
World,1993,19,69961,1032,2250,66679
World,1994,19,69356,1982,2263,65111
World,1995,20,31031,1088,2004,27939
World,1996,19,24919,2739,1347,20833
World,1997,20,14879,3132,1075,10672
World,1998,18,14347,2718,921,10708
World,1999,20,18460,4435,1257,12768
World,2000,18,37733,7725,1470,28538
World,2001,15,47108,7642,1801,37665
World,2002,16,39652,5333,1799,32520
World,2003,14,45815,4635,1851,39329
World,2004,16,64720,6765,2046,55909
World,2005,17,69838,7241,2527,60070
World,2006,16,80368,8695,2527,69146
World,2007,17,84309,11077,2724,70508
World,2008,17,91712,11511,2630,77571
World,2009,16,98197,12794,2314,83089
World,2010,19,98638,14322,2302,82014
World,2011,18,99016,14302,1984,82730
World,2012,17,94090,12369,1971,79750
World,2013,17,98200,13057,1864,83279
World,2014,18,104062,12442,1772,89848
World,2015,18,107088,13858,1847,91383
World,2016,21,100376,12772,2153,85451
World,2017,23,92682,11083,3464,78135
World,2018,22,89846,10447,3324,76075
World,2019,23,83331,9124,3320,70887
World,2020,22,81832,9223,3155,69454
World,2021,23,75085,7676,3097,64312
