Entity,Year,Accidents reported to police,Accidents reported with injury,Accidents reported with material damage,Road casualties,Road deaths,Road injuries
Germany,1950,260761,,,163754,6428,157326
Germany,1951,338080,,,219424,7760,211664
Germany,1952,393520,,,250494,7775,242719
Germany,1953,473027,251618,221409,326606,11449,315157
Germany,1954,523765,267925,255840,347032,12071,334961
Germany,1955,603351,296071,307280,383951,12791,371160
Germany,1956,663741,307012,356729,396572,13427,383145
Germany,1957,678889,299866,379023,389145,13004,376141
Germany,1958,751784,296697,455087,384693,12169,372524
Germany,1959,843412,327595,515817,433649,13822,419827
Germany,1960,990127,349315,640812,469366,14406,454960
Germany,1961,1029381,339547,689834,462470,14543,447927
Germany,1962,1079101,321257,757844,442933,14445,428488
Germany,1963,1096539,314642,781897,438811,14513,424298
Germany,1964,1089086,328668,760418,462666,16494,446172
Germany,1965,1099346,316361,782985,449243,15753,433490
Germany,1966,1167823,332622,835201,473700,16868,456832
Germany,1967,1144210,335552,808658,479132,17084,462048
Germany,1968,1181156,339704,841452,485354,16636,468718
Germany,1969,1213587,338921,874666,489033,16646,472387
Germany,1970,1392007,377610,1014397,550988,19193,531795
Germany,1971,1338059,369177,968882,536812,18753,518059
Germany,1972,1381526,378775,1002751,547338,18811,528527
Germany,1973,1324738,353725,971013,504548,16302,488246
Germany,1974,1228997,331000,897997,461756,14614,447142
Germany,1975,1264567,337732,926835,472667,14870,457797
Germany,1976,1418523,359694,1058829,495401,14820,480581
Germany,1977,1523392,379046,1144346,523120,14978,508142
Germany,1978,1619187,380352,1238835,523306,14662,508644
Germany,1979,1660680,367500,1293180,499663,13222,486441
Germany,1980,1684604,379235,1305369,513504,13041,500463
Germany,1981,1678497,362617,1315880,487618,11674,475944
Germany,1982,1629089,358693,1270396,478796,11608,467188
Germany,1983,1692934,374107,1318827,500942,11732,489210
Germany,1984,1780818,359485,1421333,476232,10199,466033
Germany,1985,1840295,327745,1512550,430495,8400,422095
Germany,1986,1935595,341921,1593674,452165,8948,443217
Germany,1987,1977501,325519,1651982,432589,7967,424622
Germany,1988,2022648,342299,1680349,456436,8213,448223
Germany,1989,1997787,343604,1654183,457392,7995,449397
Germany,1990,2010575,340043,1670532,456064,7906,448158
Germany,1991,2311466,385147,1926319,516835,11300,505535
Germany,1992,2384579,395462,1989117,527428,10631,516797
Germany,1993,2345396,385384,1960012,515540,9949,505591
Germany,1994,2270818,392754,1878064,526229,9814,516415
Germany,1995,2238301,388003,1850298,521595,9454,512141
Germany,1996,2269570,373082,1896488,501916,8758,493158
Germany,1997,2232379,380835,1851544,509643,8549,501094
Germany,1998,2257649,377257,1880392,505111,7792,497319
Germany,1999,2413473,395689,2017784,528899,7772,521127
Germany,2000,2350227,382949,1967278,511577,7503,504074
Germany,2001,2373556,375345,1998211,501752,6977,494775
Germany,2002,2289474,362054,1927420,483255,6842,476413
Germany,2003,2259567,354534,1905033,468783,6613,462170
Germany,2004,2261689,339310,1922379,445968,5842,440126
Germany,2005,2253992,336619,1917373,438804,5361,433443
Germany,2006,2235318,327984,1907334,427428,5091,422337
Germany,2007,2335005,335845,1999160,436368,4949,431419
Germany,2008,2293663,320614,1973049,413524,4477,409047
Germany,2009,2313453,310806,2002647,401823,4152,397671
Germany,2010,2411271,288297,2122974,374818,3648,371170
Germany,2011,2361457,306266,2055191,396374,4009,392365
Germany,2012,2401843,299637,2102206,387978,3600,384378
Germany,2013,2414011,291105,2122906,377481,3339,374142
Germany,2014,2406685,302435,2104250,392912,3377,389535
Germany,2015,2516831,305659,2211172,396891,3459,393432
Germany,2016,2585327,308145,2277182,399872,3206,396666
