Entity,Year,Adjusted net savings per capita (World Bank (2017))
Afghanistan,2008,-62.679813
Afghanistan,2009,-39.233284
Afghanistan,2010,-85.959099
Afghanistan,2011,-129.75623
Afghanistan,2012,-107.74364
Afghanistan,2013,-152.88329
Afghanistan,2014,-134.41837
Afghanistan,2015,-165.81519
Albania,1984,56.979237
Albania,1985,63.774315
Albania,1986,127.5661
Albania,1987,96.134903
Albania,1988,75.932205
Albania,1989,94.06385
Albania,1990,40.555855
Albania,1991,-79.858109
Albania,1992,-40.833775
Albania,1993,7.9158244
Albania,1994,9.2894773
Albania,1995,112.98251
Albania,1996,156.19585
Albania,1997,25.131927
Albania,1998,109.69491
Albania,1999,140.15538
Albania,2000,273.51187
Albania,2001,384.53397
Albania,2002,336.4166
Albania,2003,502.42709
Albania,2004,632.27686
Albania,2005,646.83636
Albania,2006,788.8244
Albania,2007,739.19891
Albania,2008,551.92554
Albania,2009,474.90112
Albania,2010,343.44138
Albania,2011,315.28162
Albania,2012,287.83542
Albania,2013,317.19406
Albania,2014,45.670383
Albania,2015,258.02667
Algeria,1977,237.98186
Algeria,1978,337.12036
Algeria,1979,233.11568
Algeria,1980,394.36227
Algeria,1981,542.19397
Algeria,1982,550.82837
Algeria,1983,593.69104
Algeria,1984,482.41562
Algeria,1985,453.33194
Algeria,1986,367.74673
Algeria,1987,334.31311
Algeria,1988,218.29219
Algeria,1989,187.54163
Algeria,1990,326.45398
Algeria,1991,398.9588
Algeria,2005,1020.8806
Algeria,2006,1203.7147
Algeria,2007,1486.2177
Algeria,2008,1861.8921
Algeria,2009,1206.9463
Algeria,2010,1536.1101
Algeria,2011,1729.215
Algeria,2012,1736.6854
Algeria,2013,1625.2058
Algeria,2014,1503.1078
Algeria,2015,997.4812
Angola,1985,-209.54533
Angola,1986,-153.93407
Angola,1987,-210.24417
Angola,1988,-214.50443
Angola,1989,-608.31293
Angola,1990,-665.09918
Angola,1991,-346.60678
Angola,1992,-420.25009
Angola,1993,-329.90613
Angola,1994,-248.43939
Angola,1996,67.698189
Angola,1997,-274.50897
Angola,1998,-197.86613
Angola,1999,-283.56516
Angola,2000,-346.79318
Angola,2001,-360.01758
Angola,2002,-311.1525
Angola,2003,-345.47467
Angola,2004,-488.96231
Angola,2005,-607.68304
Angola,2006,-436.23853
Angola,2007,-950.18042
Angola,2008,-1956.3068
Angola,2009,-1894.6482
Angola,2010,-1173.3654
Angola,2011,-1478.0507
Angola,2012,-1432.0753
Angola,2013,-1520.0846
Angola,2014,-1732.1288
Angola,2015,-1561.4583
Argentina,1976,523.11536
Argentina,1977,552.89917
Argentina,1978,498.63998
Argentina,1979,417.74429
Argentina,1980,373.33136
Argentina,1981,295.77692
Argentina,1982,298.59656
Argentina,1983,368.14777
Argentina,1984,255.32587
Argentina,1986,279.34427
Argentina,1987,263.66089
Argentina,1989,71.009201
Argentina,1990,292.61768
Argentina,1991,402.44077
Argentina,1992,586.9632
Argentina,1993,771.39557
Argentina,1994,848.57196
Argentina,1995,761.13452
Argentina,1996,739.73425
Argentina,1997,562.48285
Argentina,1998,648.80981
Argentina,1999,459.43137
Argentina,2000,342.14929
Argentina,2001,313.09158
Argentina,2002,111.5734
Argentina,2003,241.96596
Argentina,2004,279.67282
Argentina,2005,458.53342
Argentina,2006,584.12823
Argentina,2007,866.49005
Argentina,2008,983.21954
Argentina,2009,794.65967
Argentina,2010,936.79346
Argentina,2011,1242.5372
Argentina,2012,1121.3914
Argentina,2013,998.68555
Argentina,2014,952.57001
Argentina,2015,986.83105
Armenia,1997,-87.875313
Armenia,2000,-81.856827
Armenia,2001,-18.011511
Armenia,2002,13.648072
Armenia,2003,43.154636
Armenia,2004,115.8208
Armenia,2005,264.27097
Armenia,2006,459.7417
Armenia,2007,609.1391
Armenia,2008,685.14557
Armenia,2009,197.38664
Armenia,2010,241.51093
Armenia,2011,72.051659
Armenia,2012,75.638367
Armenia,2013,99.438957
Armenia,2014,-22.703543
Armenia,2015,138.5744
Australia,1989,1894.142
Australia,1990,1506.1753
Australia,1991,1072.9563
Australia,1992,927.41907
Australia,1993,1195.5736
Australia,1994,1386.1063
Australia,1995,1556.8903
Australia,1996,1882.6016
Australia,1997,2125.2607
Australia,1998,1824.9009
Australia,1999,1596.3555
Australia,2000,1645.0919
Australia,2001,1394.9626
Australia,2002,1617.4431
Australia,2003,1798.405
Australia,2004,2419.2075
Australia,2005,2271.4448
Australia,2006,2501.1782
Australia,2007,2412.9617
Australia,2008,3179.8931
Australia,2009,4129.4399
Australia,2010,4187.5503
Australia,2011,5612.0352
Australia,2012,7155.939
Australia,2013,6606.6821
Australia,2014,5313.6963
Australia,2015,4453.8862
Austria,2005,5282.022
Austria,2006,5777.9502
Austria,2007,7336.1904
Austria,2008,8369.0439
Austria,2009,5877.7529
Austria,2010,6172.9448
Austria,2011,6976.9531
Austria,2012,6190.4092
Austria,2013,6246.4868
Austria,2014,6634.6523
Austria,2015,5517.4683
Azerbaijan,1998,-127.81118
Azerbaijan,1999,-107.45377
Azerbaijan,2000,-175.21304
Azerbaijan,2001,-117.18027
Azerbaijan,2002,-29.184227
Azerbaijan,2003,5.0114374
Azerbaijan,2004,38.86042
Azerbaijan,2005,206.04597
Azerbaijan,2006,310.43396
Azerbaijan,2007,690.89221
Azerbaijan,2008,1271.1407
Azerbaijan,2009,930.8822
Azerbaijan,2010,1201.7555
Azerbaijan,2011,1356.4469
Azerbaijan,2012,1240.9177
Azerbaijan,2013,1576.5962
Azerbaijan,2014,1640.0919
Azerbaijan,2015,843.47571
Bahamas,1980,831.53772
