Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Anguilla,1990,,,,,,5.5,,,,,,0.00012982618761420302,,,,,,,
Anguilla,2000,,,,,,5.5,,,,,,0.0001322735569536939,,,,,,,
Anguilla,2010,,,,,,5.5,,,,,,0.00013393997785275669,,,,,,,
Anguilla,2015,,,,,,5.5,,,,,,0.00013467626035700838,,,,,,,
Antigua and Barbuda,1990,,,,,,10.11,,,,,,0.00023864413759628955,,,,,,,
Antigua and Barbuda,2000,,,,,,9.45,,,,,,0.0002272700205840741,,,,,,,
Antigua and Barbuda,2010,,,,,,8.78,,,,,,0.0002138169100994916,,,,,,,
Antigua and Barbuda,2015,,,,,,8.45,,,,,,0.00020691170909394922,,,,,,,
Argentina,1990,23.0,-0.518691057834337,213.6,0.6067492330416998,0.0880581752073628,35204.0,31.0,,-182.6,1.011424701629713,1.5465764979744623,0.830982019776437,0.42865222062591524,2.7681849741828106,,,,,
Argentina,2000,7.0,-0.9479297741027024,327.4,0.9808856132782071,0.03295583917550483,33378.0,11.0,,-316.4,0.25267656677519723,2.552721018156755,0.8027321425455264,0.11611251091193711,9.276388892960908,,,,,
Argentina,2010,13.0,-0.7393923346792878,242.4,0.8022770900906865,0.0628847554113987,30214.0,19.0,,-223.4,0.5812030007958011,2.9738828309794183,0.7357931801533074,0.2736975239017167,18.478233897716276,,,,,
Argentina,2015,21.0,-0.36017458844554423,134.8,0.46327800116850537,0.10310341272296113,29097.0,30.0,,-104.80000000000001,1.3690235602435568,1.7938842918016296,0.7124863904741587,0.639532033093651,3.7116527479688624,,,,,
Armenia,1990,,,,,,334.73,,,,,,0.007901221778200396,,,,,,,
Armenia,2000,,,,,,332.64,,,,,,0.007999904724559408,,,,,,,
Armenia,2010,,,,,,330.56,,,,,,0.008050036196183136,,,,,,,
Armenia,2015,,,,,,329.52,,,,,,0.008068822056880254,,,,,,,
Aruba,1990,,0.0,0.0,0.0,0.0,0.42,0.0,,0.0,,0.0,9.91399978144823e-06,0.0,-0.0,,,,,
Aruba,2000,,0.0,0.0,0.0,0.0,0.42,0.0,,0.0,,0.0,1.0100889803736624e-05,0.0,-0.0,,,,,
Aruba,2010,,0.0,0.0,0.0,0.0,0.42,0.0,,0.0,,0.0,1.022814376330142e-05,0.0,-0.0,,,,,
Aruba,2015,,0.0,0.0,0.0,0.0,0.42,0.0,,0.0,,0.0,1.0284368972717004e-05,0.0,-0.0,,,,,
Australia,1990,45.34,-0.1544716175862064,626.2,0.4677246116361996,0.3132529940499932,133882.2,419.39,374.05,-206.81000000000006,1.993825911821356,4.534017804455096,3.1602573846185913,5.799111445429115,3.135204460628408,,,,,
Australia,2000,73.12,-0.1720605003561834,632.3,0.47969071594010043,0.30763021558391707,131814.1,405.5,332.39,-226.79999999999995,2.6393872232289173,4.930010689616726,3.1700945206636186,4.280329379526409,6.649446905573747,,,,,
Australia,2010,8.25,0.5478204284034796,416.84,0.32176962486713223,0.8695900532706117,129546.1,1126.52,1118.26,709.6800000000001,0.368840365889643,5.11399884185421,3.1548003208929103,16.227670243461155,-58.700237388233155,,,,,
Australia,2015,,,,,,133094.5,,,,,,3.259030824379246,,,,,,,
Austria,1990,1.7,0.16553353444554209,3.45,0.09137451101393924,0.2569080454594813,3775.67,9.7,8.0,6.249999999999999,0.07475747794654401,0.0249798170318909,0.08912378941623962,0.13412666258294764,-0.09474893805390233,,,,,
Austria,2000,0.7,0.06539625964659967,7.79,0.20296289348486507,0.26835915313146474,3838.14,10.3,9.6,2.5100000000000007,0.02526765667751972,0.06073823070079755,0.09230625997931831,0.10872353294481385,-0.07358955790560015,,,,,
Austria,2010,0.3,0.09318699523710915,5.8,0.1501346034375647,0.2433215986746739,3863.2,9.4,9.1,3.6000000000000005,0.013412376941441564,0.07115726245742832,0.09407944044377631,0.13540824866716514,-0.29776921231771974,,,,,
Austria,2015,0.3,0.09249740414666638,5.81,0.1496963560145213,0.24219376016118768,3881.19,9.4,9.1,3.5900000000000007,0.01955747943205081,0.07731800990628684,0.09503711907909408,0.20038670370267736,-0.12714535653824632,,,,,
Azerbaijan,1990,4.8,,,,0.5504159874674514,944.74,5.2,0.4,,0.2110799377314184,,0.022300362270298576,0.07190295313725029,,,,,,
Azerbaijan,2000,40.0,,,,4.380989039930309,987.22,43.25,3.25,,1.4438660958582699,,0.02374238198105922,0.45653328154011635,,,,,,
Azerbaijan,2010,86.0,0.879427403655241,81.64,7.9070983738341285,8.78652577748937,1032.49,90.72,4.72,9.079999999999998,3.844881389879915,1.0015998115559395,0.025143943224216866,1.3068336509665126,-0.7510401244013597,,,,,
Azerbaijan,2015,95.52,1.313677647997476,86.36,8.011949271261445,9.325626919258921,1077.89,100.52,5.0,14.159999999999997,6.227101451164978,1.149257028486563,0.026393853504766505,2.1428586655524597,-0.5014981193820522,,,,,
Bahamas,1990,,,,,,509.86,,,,,,0.012035123639450465,,,,,,,
Bahamas,2000,,,,,,509.86,,,,,,0.012261999226983704,,,,,,,
Bahamas,2010,,,,,,509.86,,,,,,0.012416479474183006,,,,,,,
Bahamas,2015,,,,,,509.86,,,,,,0.0124847342010226,,,,,,,
Bahrain,1990,0.02,4.545454545454546,0.01,4.545454545454546,9.090909090909092,0.22,0.02,0.0,0.01,0.0008794997405475766,7.240526675910406e-05,5.1930475045681215e-06,0.00027654981975865496,-0.00015159830088624376,,,,,
Bahrain,2000,0.02,2.7027027027027026,0.01,2.7027027027027026,5.405405405405405,0.37,0.02,0.0,0.01,0.000721933047929135,7.796948742079276e-05,8.898402922339409e-06,0.00021111365620352204,-0.00029318548966374554,,,,,
Bahrain,2010,0.02,3.8461538461538463,0.0,0.0,3.8461538461538463,0.52,0.02,0.0,0.02,0.000894158462762771,0.0,1.2663416087896997e-05,0.0002881026567386492,-0.0016542734017651098,,,,,
Bahrain,2015,0.02,3.3333333333333335,0.0,0.0,3.3333333333333335,0.6,0.02,0.0,0.02,0.0013038319621367206,0.0,1.4691955675310007e-05,0.0004263546887291007,-0.0007083306770932943,,,,,
Bangladesh,1990,7.5,0.0,7.5,0.39055787286560123,0.39055787286560123,1920.33,7.5,0.0,0.0,0.3298124027053412,0.05430395006932804,0.045328931429305906,0.10370618240949561,-0.0,,,,,
Bangladesh,2000,0.0,-0.16663802575598985,3.2,0.16663802575598985,0.0,1920.33,0.0,0.0,-3.2,0.0,0.024950235974653685,0.046183432659070364,0.0,0.09381935669239858,,,,,
Bangladesh,2010,0.0,-0.05242699937511264,18.19,0.9632799178114111,0.9108529184362986,1888.34,17.2,0.0,-0.990000000000002,0.0,0.2231638972587278,0.0459862214142681,0.2477682847952383,0.08188653338737309,,,,,
Bangladesh,2015,0.0,0.0,0.0,0.0,0.0,1883.4,0.0,0.0,0.0,0.0,0.0,0.04611804886479811,0.0,-0.0,,,,,
