Entity,Year,Share of population covered by the internet (in %)
Algeria,2019,49.2
Angola,2019,22.27
Benin,2019,32.21
Botswana,2019,38.89
Burkina Faso,2019,18.23
Burundi,2019,5.33
Cameroon,2019,24.21
Cape Verde,2019,47.47
Central African Republic,2019,5.31
Chad,2019,4.86
Comoros,2019,15.35
Congo,2019,11.73
Cote d'Ivoire,2019,24.75
Democratic Republic of Congo,2019,5.92
Djibouti,2019,18.26
Egypt,2019,48.66
Equatorial Guinea,2019,22.99
Eritrea,2019,1.34
Ethiopia,2019,14.93
Gabon,2019,46.73
Gambia,2019,17.61
Ghana,2019,33.59
Guinea,2019,11.96
Guinea-Bissau,2019,6.14
Kenya,2019,82.98
Lesotho,2019,27.39
Liberia,2019,80.93
Libya,2019,57.84
Madagascar,2019,7.04
Malawi,2019,9.27
Mali,2019,63.39
Mauritania,2019,17.38
Mauritius,2019,63.23
Mayotte,2019,40.52
Morocco,2019,61.6
Mozambique,2019,16.81
Namibia,2019,30.17
Niger,2019,4.11
Nigeria,2019,55.55
Reunion,2019,53.94
Rwanda,2019,29.11
Saint Helena,2019,53.71
Sao Tome and Principe,2019,27.12
Senegal,2019,58.23
Seychelles,2019,70.13
Sierra Leone,2019,11.45
Somalia,2019,7.67
South Africa,2019,53.71
South Sudan,2019,16.81
Sudan,2019,27.79
Swaziland,2019,31.51
Tanzania,2019,37.76
Togo,2019,10.99
Tunisia,2019,67.03
Uganda,2019,41.56
Western Sahara,2019,4.81
Zambia,2019,39.97
Zimbabwe,2019,39.29
