Entity,Year,Minutes spent on paid work or study - men (OECD Gender data (2018)),Minutes spent on unpaid work - men (OECD Gender data (2018)),Minutes spent on personal care - men (OECD Gender data (2018)),Minutes spent on leisure - men (OECD Gender data (2018)),Minutes spent on other activities - men (OECD Gender data (2018)),Minutes spent on paid work or study - women (OECD Gender data (2018)),Minutes spent on unpaid work - women (OECD Gender data (2018)),Minutes spent on personal care - women (OECD Gender data (2018)),Minutes spent on leisure - women (OECD Gender data (2018)),Minutes spent on other activities - women (OECD Gender data (2018)),Minutes spent on paid work or study - total (OECD Gender data (2018)),Minutes spent on unpaid work - total (OECD Gender data (2018)),Minutes spent on personal care - total (OECD Gender data (2018)),Minutes spent on leisure - total (OECD Gender data (2018)),Minutes spent on other activities - total (OECD Gender data (2018))
Australia,2018,304.0557491,171.5958188,649.2543554,297.0313589,18.06271777,172,311,666,269,22,238.1653926,243.1688673,657.4565671,281.1952745,20.01389854
Austria,2018,364.7833943,135.282976,623.6231191,308.0904955,8.00147294,248.7550715,269.171988,640.78496,274.275136,7.227558,306.4302176,202,632,291.2093087,8.407138743
Belgium,2018,221.7700348,167.5818815,651.261324,394.369338,5.017421603,158.88966,250.8258154,679.5281055,345.759889,4.996530187,190.8674532,210.8535739,664.5385149,368.7439278,4.996530187
Canada,2018,340.5125317,148.1378975,621.7766409,297.8048703,31.76805954,268.2839039,223.6564095,652.7610967,259.6645286,35.63406143,304.6412465,186,636.5773918,278.9334463,33.91395962
China,2018,390,91,696,248,15,291,234,692,211,12,339.7640527,163.8861901,693.51839,227.8417765,14.98959056
Denmark,2018,260.0677509,186.1360819,643.0395039,339.5426057,11.21405762,194.5859856,242.8087209,673.3785441,319.6125445,9.614204944,224.8165936,216.6273414,659.359295,328.8448131,10.35195694
Estonia,2018,264.0723577,160.1635901,663.6115365,345.3140619,6.466683674,244.8532517,249.2123923,663.3455881,277.8094944,4.46684032,255.5773662,207.6823107,662.6731449,309.4070796,5
Finland,2018,248.559744,157.4649153,630.11624,358.739503,45.1196,209.891001,235.769468,650.7268,303.604136,40.008616,229.096999,196.8771559,640.48989,330.988722,42.547142
France,2018,235.1320652,134.9394533,742.9553992,319.1308068,7.842275414,175.3629891,224.0308476,760.8880667,269.7433797,9.974716875,204.1651445,181.0985497,752.2465441,293.5426472,8.947114524
Germany,2018,289.5318868,150.4320062,637.5775167,346.2537733,16.20474,205.4538647,242.2783748,658.66205,315.7683317,17.837325,247.881149,195.931027,648.0225333,331.151835,17.01349333
Greece,2018,226,109,707,393,5,144.598338,266,702.0498615,318.1163435,9,181.8736988,193,705.5100625,352.7550312,7
Hungary,2018,327.2272411,127.0882557,681.4732453,303.2105629,1.000694927,231.9832985,268.0584551,683.4237996,254.5302714,2.004175365,277.1924948,200.1389854,682.4739402,278.1931897,2.001389854
India,2018,390.5710873,51.76724233,702.7719274,282.6432935,12.24644946,184.7036752,351.9353064,669.8603669,220.9484937,12.55215782,294.9794155,191.1461441,687.4899148,253.9961227,12.38840287
Ireland,2018,343.9012188,129.2180424,602.4523036,341.0424102,23.38602492,197.1203888,296.1057839,628.9949624,289.7233282,28.05553667,270.6018397,212.5575122,615.7071222,315.4156622,25.71786361
Italy,2018,220.8139668,130.7090435,710.3184184,366.0957532,12.06281809,133.1197129,306.3359412,705.3273151,280.9222537,14.29477719,176.7090582,219.0387454,707.808218,323.2586169,13.18536146
Japan,2018,451.7838504,40.76706029,613.2328065,291.8228846,42.55952029,271.5242611,224.3018397,626.4270328,266.195374,51.40317928,362.6545935,132.0169775,620.0381163,278.3125727,47.087
Korea,2018,421.8905473,44.97512438,650.7462687,314.4278607,7.960199005,273.2905387,227.2732347,654.0887524,268.2668155,17.08065867,348.2341852,135.8054126,651.7446497,291.4071263,12.80862621
Latvia,2018,376.9310691,129.7268972,639.6029005,290.4787535,3.260379738,288.4683089,253.2541126,643.6935653,249.2481798,5.33583332,329.9384269,196.0745439,641.2962077,268.8413141,3.849507407
Mexico,2018,485.9311793,136.6981336,604.7502195,193.0398544,19.58061313,250.0822733,383.3261691,618.9353008,164.6418087,23.01444809,358.6300198,269.8174004,612.4067417,177.711795,21.43404312
Netherlands,2018,353.9741821,132.8692322,618.9908447,300.6930237,33.47270203,205.4519043,254.252243,656.6882935,290.2996521,33.30793381,280.6947632,192.7583923,637.5903931,295.5650635,33.39140701
New Zealand,2018,338,141,639,306,16,205,264,656,295,19,270,204,648,301,17
Norway,2018,277.382899,168.486943,614.54815,370.338889,9.243058,199.987452,227.409917,641.81552,365.848199,4.93899,241.265064,195.984248,627.27293,368.243297,7.234495
OECD 28,2018,313.8008136,135.7026297,647.8448717,321.2016527,21.42950107,211.3877233,264.861784,662.9947381,278.3333745,22.35553355,260.8892677,202.6588394,655.8439812,299.5938242,21.03911476
Poland,2018,276.1917999,159.1104934,657.4565671,301.209173,46.03196664,161.1049724,286.4088398,678.2320442,258.5635359,55.69060773,218.0912863,226.0580913,667.219917,277.8423237,50.78838174
Portugal,2018,372.327044,96.26834382,677.2327044,289.1404612,5.031446541,231.2849162,328.1564246,673.7430168,199.7765363,7.039106145,295.048951,222.5454545,675.6923077,240.6713287,6.041958042
Slovenia,2018,299.8328691,166.4623955,631.7548747,336.9359331,5.013927577,234.1626129,286.1987491,630.437804,283.1966644,6.004169562,264.6324549,230.6796117,628.1276006,310.5686546,5.991678225
