Entity,Year,"Share of workers in financial sector (GGDC, 2017)","Share of population in financial sector (GGDC, 2017)",Share of workers in financial sector
Argentina,1960,0.011588779,0.011588779,0.006954263
Argentina,1961,0.011475219,0.011475219,0.007545287
Argentina,1962,0.012152972,0.012152972,0.00860987
Argentina,1963,0.012946222,0.012946222,0.009811363
Argentina,1964,0.012426776,0.012426776,0.010264136
Argentina,1965,0.01220937,0.01220937,0.010415092
Argentina,1966,0.012761151,0.012761151,0.011156215
Argentina,1967,0.013006526,0.013006526,0.004419955
Argentina,1968,0.013244378,0.013244378,0.015993895
Argentina,1969,0.012510633,0.012510633,0.017780258
Argentina,1970,0.011941013,0.011941013,0.017497534
Argentina,1971,0.011571686,0.011571686,0.017452436
Argentina,1972,0.011949345,0.011949345,0.009592323
Argentina,1973,0.012125891,0.012125891,0.011208061
Argentina,1974,0.012786921,0.012786921,0.012147819
Argentina,1975,0.016676568,0.016676568,0.012793753
Argentina,1976,0.014045641,0.014045641,0.01233467
Argentina,1977,0.009846327,0.009846327,0.013376317
Argentina,1978,0.014864441,0.014864441,0.014119256
Argentina,1979,0.01382482,0.01382482,0.010707274
Argentina,1980,0.014736327,0.014736327,0.014910812
Argentina,1981,0.017310178,0.017310178,0.015605423
Argentina,1982,0.01713083,0.01713083,0.017310159
Argentina,1983,0.018581141,0.018581141,0.011432706
Argentina,1984,0.017269239,0.017269239,0.019697828
Argentina,1985,0.020360215,0.020360215,0.020036737
Argentina,1986,0.020314904,0.020314904,0.013616157
Argentina,1987,0.018146548,0.018146548,0.021473192
Argentina,1988,0.018419709,0.018419709,0.022904931
Argentina,1989,0.018470546,0.018470546,0.02413315
Argentina,1990,0.018901505,0.018901505,0.016724503
Argentina,1991,0.01944138,0.01944138,0.025528006
Argentina,1992,0.01925187,0.01925187,0.026996429
Argentina,1993,0.021592983,0.021592983,0.026832991
Argentina,1994,0.024347893,0.024347893,0.025378992
Argentina,1995,0.023967338,0.023967338,0.02766499
Argentina,1996,0.025353394,0.025353394,0.01746891
Argentina,1997,0.027008928,0.027008928,0.026836313
Argentina,1998,0.028665064,0.028665064,0.029541167
