Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,‘cost of basic needs’ approach - number below poverty line,$1.90 - number below poverty line,$5 - number below poverty line,$10 - number below poverty line,$30 - number below poverty line,‘cost of basic needs’ approach - number above poverty line,$1.90 - number above poverty line,$5 - number above poverty line,$10 - number above poverty line,$30 - number above poverty line,$1.90-$5 - number between poverty lines,$5-$10 - number between poverty lines,$10-$30 - number between poverty lines
Argentina,1820,63.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,
Argentina,1830,56.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,
Argentina,1840,48.0,,,,,52.0,,,,,,,,,,,,,,,,,,,,
Argentina,1850,41.0,,,,,59.0,,,,,,,,,,,,,,,,,,,,
Argentina,1860,45.0,,,,,55.0,,,,,,,,,,,,,,,,,,,,
Argentina,1870,51.0,,,,,49.0,,,,,,,,,,,,,,,,,,,,
Argentina,1880,43.0,,,,,57.0,,,,,,,,,,,,,,,,,,,,
Argentina,1890,23.0,,,,,77.0,,,,,,,,,,,,,,,,,,,,
Argentina,1900,21.0,,,,,79.0,,,,,,,,,,,,,,,,,,,,
Argentina,1910,17.0,,,,,83.0,,,,,,,,,,,,,,,,,,,,
Argentina,1920,18.0,,,,,82.0,,,,,,,,,,,,,,,,,,,,
Argentina,1930,12.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,
Argentina,1940,6.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,
Argentina,1950,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Argentina,1960,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Argentina,1970,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Argentina,1980,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Argentina,1990,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Argentina,2000,9.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,
Argentina,2010,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Argentina,2018,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1820,87.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,
Australia,1830,69.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,
Australia,1840,45.0,,,,,55.0,,,,,,,,,,,,,,,,,,,,
Australia,1850,28.0,,,,,72.0,,,,,,,,,,,,,,,,,,,,
Australia,1860,15.0,,,,,85.0,,,,,,,,,,,,,,,,,,,,
