Entity,Year,below 1.25$ a day (World Bank (2017)),1.25 - 1.9$ a day (World Bank (2017)),1.9 - 3.10$ a day (World Bank (2017)),3.10 - 10$ a day (World Bank (2017)),above 10$ a day (World Bank (2017))
Albania,1981,0.0016380,0.0128310,0.1962870,2.0767109,0.4425330
Albania,1984,0.0017400,0.0226200,0.2441800,2.2042902,0.4271700
Albania,1987,0.0018480,0.0234080,0.2476320,2.3485003,0.4586118
Albania,1990,0.0036190,0.0325710,0.3576230,2.5119150,0.3842721
Albania,1993,0.0222870,0.1653760,0.7923190,2.1569939,0.0930240
Albania,1996,0.0034870,0.0313830,0.3569420,2.4133208,0.3648671
Albania,1999,0.0205260,0.1396390,0.6686500,2.1008050,0.1803800
Albania,2002,0.0067100,0.0649650,0.4349300,2.1737349,0.3696602
Albania,2005,0.0048160,0.0288960,0.2609670,2.1942902,0.5210309
Albania,2008,0.0005900,0.0103250,0.1693300,2.1620553,0.6076998
Albania,2010,0.0034920,0.0177510,0.1617960,2.1327391,0.5942220
Albania,2011,0.0040740,0.0215340,0.1585950,2.1286650,0.5971322
Albania,2012,0.0052200,0.0255200,0.1661700,2.1378801,0.5652100
Albania,2013,0.0052200,0.0243600,0.1542800,2.1233799,0.5927600
Algeria,1981,0.0000000,0.5423680,2.6639841,12.9550190,3.7786288
Algeria,1984,0.0000000,0.4378000,2.7712739,14.1693970,4.5115285
Algeria,1987,0.0000000,0.9185280,3.4516559,15.5456090,4.0042076
Algeria,1990,0.0388650,1.3291830,4.0238228,16.5953540,3.9227755
Algeria,1993,0.1861930,1.5367870,4.6909518,17.5910680,3.7849989
Algeria,1996,0.3323330,1.5793170,5.1643963,18.6665270,3.6674273
Algeria,1999,0.3292390,1.5108069,5.3939810,20.1605030,3.3754706
Algeria,2002,0.2080000,0.9824000,4.2592001,22.4128000,4.1375999
Algeria,2005,0.1298310,0.5725880,3.1758659,24.3383200,5.0733957
Algeria,2008,0.0871500,0.2963100,2.1299460,26.0369340,6.3096595
Algeria,2010,0.0650160,0.1661520,1.4339640,26.8913400,7.5635271
Algeria,2011,0.0589120,0.1178240,1.1156461,27.2099800,8.3176384
Algeria,2012,0.0563550,0.1051960,0.9655490,27.2983630,9.1445370
Algeria,2013,0.0536760,0.0958500,0.8588160,27.2712420,10.0604150
Angola,1981,2.2905960,1.9200721,2.2545600,2.5631762,0.2115958
Angola,1984,2.5638320,2.1351559,2.5206561,2.8249440,0.2354119
Angola,1987,2.5906980,2.2361462,2.8184638,3.2728744,0.3018176
Angola,1990,2.9354041,2.5082366,2.9889526,3.4416761,0.2957305
Angola,1993,6.2618198,2.8689404,2.4253998,1.7366400,0.1072001
Angola,1996,5.8250241,3.1136279,3.0358238,2.5176201,0.1879041
Angola,1999,5.5825000,3.3734250,3.4467945,3.2936754,0.2536051
Angola,2002,7.0034022,3.7564654,3.6194210,2.9693289,0.2213824
Angola,2005,5.7828898,3.9764695,4.6098909,4.8132086,0.3675411
Angola,2008,2.8462079,3.6426246,5.3224955,8.7105284,1.2381437
Angola,2010,3.1549501,3.9822483,5.6625500,9.3059359,1.2643157
Angola,2011,3.2333698,4.1101341,5.8854599,9.6613579,1.3296783
Angola,2012,3.2579801,4.1741295,6.1595392,10.0625910,1.4457604
Angola,2013,3.0914001,4.3081994,6.2347999,10.7224010,1.6431999
Argentina,1981,0.0546940,0.0713400,0.3352980,6.0615225,17.2571450
Argentina,1984,0.0253200,0.0329160,0.1595160,5.9451361,19.1571120
Argentina,1987,0.0000000,0.0000000,0.5969580,7.2764339,19.0166070
Argentina,1990,0.1622790,0.0882570,0.7459140,9.7367401,17.7368090
Argentina,1993,0.3831040,0.3412020,0.8200821,9.3920336,18.9935780
Argentina,1996,0.9922100,0.4569800,1.3615500,11.2742600,17.2150000
Argentina,1999,0.9519200,0.6063600,1.7506199,11.8338000,17.4573000
Argentina,2002,2.4252801,2.3201280,3.8702726,14.6568320,10.6474880
Argentina,2005,0.9908060,0.9026559,2.1120741,12.7359110,18.5185530
Argentina,2008,0.6258600,0.4611600,1.3981200,11.0824800,23.0323790
Argentina,2010,0.4162500,0.3525000,1.1025000,10.5487500,25.0800000
Argentina,2011,0.3682120,0.2125760,0.7857720,9.6760035,26.9174370
Argentina,2012,0.3228120,0.3035970,0.7916580,9.6075001,27.4044320
Argentina,2013,0.4045600,0.2761900,0.7313200,9.6394196,27.8485110
Armenia,1981,0.0258300,0.1074150,0.4025700,1.8052649,0.8089200
Armenia,1984,0.0401380,0.1566040,0.4911970,1.8894470,0.7126141
Armenia,1987,0.0631350,0.2194200,0.5864999,1.9564950,0.6244499
Armenia,1990,0.0966420,0.2878020,0.6708300,1.9530180,0.5317081
Armenia,1993,0.3961440,0.5436480,0.8615038,1.3524002,0.2063039
Armenia,1996,0.1860790,0.3813510,0.7138840,1.5729538,0.3157322
Armenia,1999,0.1449210,0.3766710,1.0240259,1.4118210,0.1325611
Armenia,2002,0.0990810,0.3572370,1.0420170,1.4044050,0.1272600
Armenia,2005,0.0309920,0.1016180,0.6034499,1.9930241,0.2509160
Armenia,2008,0.0087300,0.0346290,0.3326130,2.2063618,0.3276662
Armenia,2010,0.0106560,0.0624960,0.5503680,2.0462399,0.2102400
Armenia,2011,0.0063360,0.0714240,0.4703040,2.1101758,0.2217602
Armenia,2012,0.0074880,0.0426240,0.4510080,2.1153603,0.2635199
Armenia,2013,0.0167620,0.0537540,0.4199170,2.1021860,0.2973810
Australia,1981,0.1000310,0.0492690,0.0507620,0.4479001,14.2820380
Australia,1984,0.1041180,0.0512820,0.0528360,0.4009320,14.9308320
Australia,1987,0.1089420,0.0276420,0.0260160,0.5430840,15.5543160
Australia,1990,0.1143690,0.0102420,0.0460890,0.5803800,16.3189200
Australia,1993,0.1183890,0.0388740,0.0194370,0.5707410,16.9225600
Australia,1996,0.1226770,0.0512680,0.0091550,0.5145111,17.6123890
Australia,1999,0.1287240,0.0000000,0.0605760,0.4486410,18.2920590
Australia,2002,0.1336200,0.0334050,0.0314400,0.3949651,19.0565700
Australia,2005,0.1121450,0.0428190,0.0244680,0.2711870,19.9393810
Australia,2008,0.0765000,0.0000000,0.0658750,0.1402500,20.9673750
Australia,2010,0.0771050,0.0000000,0.0726990,0.2180970,21.6621000
Australia,2011,0.0781900,0.0000000,0.0737220,0.2211660,21.9669230
Australia,2012,0.0795550,0.0000000,0.0750090,0.2250270,22.3504090
Australia,2013,0.0809200,0.0000000,0.0762960,0.2288880,22.7338960
Austria,1981,0.0060560,0.0007570,0.0090840,0.1597270,7.3943758
Austria,1984,0.0060480,0.0007560,0.0090720,0.1421280,7.4019961
Austria,1987,0.0052990,0.0015140,0.0068130,0.1226340,7.4337401
Austria,1990,0.0053760,0.0015360,0.0069120,0.1044480,7.5617280
Austria,1993,0.0055370,0.0015820,0.0055370,0.1004570,7.7968869
Austria,1996,0.0055720,0.0007960,0.0047760,0.0875600,7.8612962
Austria,1999,0.0055930,0.0007990,0.0047940,0.0751060,7.9037080
Austria,2002,0.0056560,0.0008080,0.0048480,0.0702960,7.9983921
Austria,2005,0.0106990,0.0016460,0.0041150,0.0798310,8.1337090
Austria,2008,0.0241280,0.0149760,0.0074880,0.0798720,8.1935358
Austria,2010,0.0367840,0.0041800,0.0075240,0.0635360,8.2479763
Austria,2011,0.0293650,0.0058730,0.0100680,0.1023580,8.2423363
