Entity,Year,Share of people who disagree vaccines are important for children to have,Share of people who agree vaccines are safe,Share of people who disagree vaccines are safe,Share of people who agree vaccines are effective,Share of people who disagree vaccines are effective,Share of people who agree vaccines are important for children to have
Afghanistan,2018,2.09669366,94.23702014,4.470985575,95.97216632,1.831128534,97.55130501
Albania,2018,1.670224002,63.8383973,15.84816122,73.89177299,8.965412329,96.60526854
Algeria,2018,3.702127351,63.02047699,11.27569803,64.46481095,7.702427731,83.81193234
Argentina,2018,1.212598334,87.67938959,4.845372479,89.458929,2.94700941,97.70317207
Armenia,2018,12.17313418,42.01642181,20.57026165,55.14177206,12.46881996,73.0720456
Australia,2018,3.276187107,83.3296256,6.906214946,90.24709053,4.085789756,91.96825373
Austria,2018,11.78723186,54.85924061,21.05363097,68.44639721,11.29640511,74.59779065
Azerbaijan,2018,8.316148363,63.39330829,11.22187567,69.48001549,8.419121388,77.36031886
Bangladesh,2018,0.396651362,97.90823204,0.908196083,97.81296397,0.44854416,98.81794736
Belarus,2018,7.597193224,36.31982502,14.77494701,45.85111337,9.833909612,61.43409509
Belgium,2018,4.700652608,62.71028788,20.63709549,82.61066723,5.335010636,88.75936965
Benin,2018,1.794186452,81.80269816,14.01966423,88.56086681,6.608683731,97.636836
Bolivia,2018,1.777991454,74.19606176,13.10435207,79.09922514,8.654473793,96.10942464
Bosnia and Herzegovina,2018,5.866728907,70.28352917,8.300703246,76.4682,6.200150659,84.86382014
Botswana,2018,3.825546888,79.41785942,9.001017043,85.24354003,4.075795082,94.1695158
Brazil,2018,0.504578666,79.9810372,9.042356185,80.66170174,6.681065927,97.41521343
Bulgaria,2018,6.922498454,39.54659857,15.61304414,56.86154774,6.439258374,71.44014745
Burkina Faso,2018,2.869976837,68.02213453,20.75256443,83.90067419,8.622097794,94.20956408
Burundi,2018,0.661125647,87.51567521,6.529531228,91.08010345,3.48685783,98.39638064
Cambodia,2018,0.472894487,87.60302809,7.541631375,94.29418476,2.041912161,98.9268855
Cameroon,2018,1.821170138,77.10495707,13.10581138,82.47290506,9.54639879,97.39968236
Canada,2018,5.370012878,76.43792009,8.322632874,82.25039568,5.802206573,87.49825141
Chad,2018,4.344118015,81.13775922,10.0500689,84.99356568,7.10284335,93.12590799
