Entity,Year,"Air pollution death rates (per 100,000)- IHME"
Afghanistan,1990,243.2323527
Afghanistan,1995,242.9108834
Afghanistan,2000,239.32443
Afghanistan,2005,217.336393
Afghanistan,2010,187.0283624
Afghanistan,2015,164.9954356
Albania,1990,95.83854699
Albania,1995,91.39403119
Albania,2000,84.04767141
Albania,2005,75.97488584
Albania,2010,72.0539887
Albania,2015,74.65232629
Algeria,1990,30.87420482
Algeria,1995,27.29483531
Algeria,2000,26.29345981
Algeria,2005,24.98091781
Algeria,2010,24.96513771
Algeria,2015,31.05573123
American Samoa,1990,16.95519168
American Samoa,1995,13.63515912
American Samoa,2000,11.59718158
American Samoa,2005,9.843656881
American Samoa,2010,5.891712499
American Samoa,2015,5.702630006
Andorra,1990,29.06850132
Andorra,1995,27.984599
Andorra,2000,25.85207985
Andorra,2005,25.80191067
Andorra,2010,26.71338443
Andorra,2015,30.0333224
Angola,1990,198.3481459
Angola,1995,174.462935
Angola,2000,156.2802703
Angola,2005,121.7013109
Angola,2010,106.9760649
Angola,2015,92.84678381
Antigua and Barbuda,1990,38.47685875
Antigua and Barbuda,1995,37.38300875
Antigua and Barbuda,2000,31.55900922
Antigua and Barbuda,2005,29.47163885
Antigua and Barbuda,2010,24.24561826
Antigua and Barbuda,2015,24.58792005
Argentina,1990,48.41139016
Argentina,1995,45.40350346
Argentina,2000,45.26552511
Argentina,2005,42.95887484
Argentina,2010,41.90971667
Argentina,2015,40.14136212
Armenia,1990,113.9262575
Armenia,1995,135.3218919
Armenia,2000,105.937873
Armenia,2005,88.10762665
Armenia,2010,82.88393146
Armenia,2015,82.6833304
Australia,1990,23.87927525
Australia,1995,22.15383138
Australia,2000,20.02912515
Australia,2005,17.18988933
Australia,2010,13.56931462
Australia,2015,13.89882091
Austria,1990,65.59047033
Austria,1995,59.17001981
Austria,2000,54.15997584
Austria,2005,46.82237923
Austria,2010,44.18325843
Austria,2015,47.71394888
Azerbaijan,1990,146.0438361
Azerbaijan,1995,131.4864494
Azerbaijan,2000,102.4632365
Azerbaijan,2005,80.46104922
Azerbaijan,2010,79.33895686
Azerbaijan,2015,73.67751678
Bahamas,1990,31.51916899
Bahamas,1995,28.17174827
Bahamas,2000,28.54760387
Bahamas,2005,27.21942146
Bahamas,2010,22.12195686
Bahamas,2015,26.79823083
Bahrain,1990,37.18724765
Bahrain,1995,32.99566743
Bahrain,2000,29.75157113
Bahrain,2005,21.28003398
Bahrain,2010,16.82168659
Bahrain,2015,16.7908991
Bangladesh,1990,143.8312116
Bangladesh,1995,126.6716514
Bangladesh,2000,122.049998
Bangladesh,2005,126.1329511
Bangladesh,2010,128.9053704
Bangladesh,2015,129.8831194
Barbados,1990,42.66088654
Barbados,1995,45.23722746
Barbados,2000,42.00282565
Barbados,2005,36.34838795
Barbados,2010,34.82035245
Barbados,2015,37.99645347
Belarus,1990,155.5233262
Belarus,1995,157.0868306
Belarus,2000,144.2303881
Belarus,2005,132.9822117
Belarus,2010,125.6021205
Belarus,2015,130.0526084
Belgium,1990,69.89390822
Belgium,1995,63.99981794
Belgium,2000,60.79714513
Belgium,2005,54.20983071
Belgium,2010,50.77860551
Belgium,2015,51.51045625
Belize,1990,54.09511505
Belize,1995,55.36339013
Belize,2000,46.65409215
Belize,2005,33.43533317
Belize,2010,31.16949811
Belize,2015,31.60189372
Benin,1990,173.9674364
Benin,1995,160.4982652
Benin,2000,144.5117756
Benin,2005,118.1103988
Benin,2010,107.8697154
Benin,2015,101.0746229
Bermuda,1990,42.81352449
Bermuda,1995,36.97634966
Bermuda,2000,31.43333597
Bermuda,2005,26.92060953
Bermuda,2010,22.11532847
Bermuda,2015,21.51072986
Bhutan,1990,100.2966426
Bhutan,1995,92.07720868
Bhutan,2000,80.13999905
Bhutan,2005,68.59179703
Bhutan,2010,64.04062151
Bhutan,2015,70.1422221
Bolivia,1990,102.5683247
Bolivia,1995,84.61665711
Bolivia,2000,71.86222938
Bolivia,2005,68.94500111
Bolivia,2010,58.84048296
Bolivia,2015,54.97297388
Bosnia and Herzegovina,1990,121.0547518
Bosnia and Herzegovina,1995,131.9128787
Bosnia and Herzegovina,2000,118.0284773
Bosnia and Herzegovina,2005,108.2991716
Bosnia and Herzegovina,2010,119.5367659
Bosnia and Herzegovina,2015,126.2552803
Botswana,1990,83.91784504
Botswana,1995,81.30696369
Botswana,2000,95.01619497
Botswana,2005,92.34354948
Botswana,2010,75.40681399
Botswana,2015,66.17708132
Brazil,1990,52.76973825
Brazil,1995,48.45264193
Brazil,2000,43.78010344
Brazil,2005,37.2100214
Brazil,2010,31.64755472
Brazil,2015,34.00840797
Brunei,1990,6.863995077
Brunei,1995,6.469294021
Brunei,2000,5.173987302
Brunei,2005,7.95777014
Brunei,2010,7.186237053
Brunei,2015,5.981195864
Bulgaria,1990,186.4730264
Bulgaria,1995,183.9730889
Bulgaria,2000,168.6177216
Bulgaria,2005,152.4265623
Bulgaria,2010,149.6494631
Bulgaria,2015,149.5473087
Burkina Faso,1990,178.3679356
Burkina Faso,1995,159.8814153
Burkina Faso,2000,143.816066
Burkina Faso,2005,117.4634555
Burkina Faso,2010,98.10993215
Burkina Faso,2015,89.98633712
Burundi,1990,209.4677882
Burundi,1995,195.4174368
Burundi,2000,162.5708421
Burundi,2005,120.6632587
Burundi,2010,96.30383574
Burundi,2015,97.08377765
Cambodia,1990,148.8469308
Cambodia,1995,134.9515165
Cambodia,2000,114.0264445
Cambodia,2005,98.91173104
Cambodia,2010,86.92427655
Cambodia,2015,81.66858461
Cameroon,1990,145.3298726
Cameroon,1995,146.9137147
Cameroon,2000,149.5551667
Cameroon,2005,130.6959079
Cameroon,2010,116.9561991
Cameroon,2015,103.1979453
Canada,1990,26.9761018
Canada,1995,26.30183299
Canada,2000,24.82720884
Canada,2005,23.90933514
Canada,2010,20.47074231
Canada,2015,21.34988754
Cape Verde,1990,93.45067083
Cape Verde,1995,92.07029943
Cape Verde,2000,85.9223248
Cape Verde,2005,77.49280194
Cape Verde,2010,73.49774824
Cape Verde,2015,63.99995764
Central African Republic,1990,238.5650761
Central African Republic,1995,227.4514176
Central African Republic,2000,217.9365838
Central African Republic,2005,205.8641985
Central African Republic,2010,202.6085509
Central African Republic,2015,198.840932
Chad,1990,174.3611298
Chad,1995,170.9503587
Chad,2000,178.2336622
Chad,2005,155.6627918
Chad,2010,150.3977459
Chad,2015,130.9725572
Chile,1990,49.4774431
Chile,1995,41.86455626
Chile,2000,34.86220958
Chile,2005,32.96462819
Chile,2010,33.76262321
Chile,2015,35.1985771
China,1990,151.3830503
China,1995,143.1319397
China,2000,140.6904659
China,2005,141.7197404
China,2010,124.2613886
China,2015,114.7721661
Colombia,1990,38.28490444
Colombia,1995,36.40874347
Colombia,2000,33.77141256
Colombia,2005,34.57206476
Colombia,2010,33.12411427
Colombia,2015,31.01798356
Comoros,1990,142.1646914
Comoros,1995,124.0250538
Comoros,2000,98.20619598
Comoros,2005,72.56466779
Comoros,2010,63.3143296
Comoros,2015,60.31088415
Congo,1990,172.847847
Congo,1995,175.8881728
Congo,2000,164.3499592
Congo,2005,131.167681
Congo,2010,116.0763786
Congo,2015,107.0984174
Costa Rica,1990,32.13634773
Costa Rica,1995,29.47168541
Costa Rica,2000,26.48241061
Costa Rica,2005,23.08245894
Costa Rica,2010,19.23335221
Costa Rica,2015,23.56570039
Cote d'Ivoire,1990,131.9442177
Cote d'Ivoire,1995,144.8415453
Cote d'Ivoire,2000,136.2505252
Cote d'Ivoire,2005,115.934643
Cote d'Ivoire,2010,104.1807467
Cote d'Ivoire,2015,96.98027861
Croatia,1990,130.6851511
Croatia,1995,121.2265342
Croatia,2000,111.614028
Croatia,2005,98.02910499
Croatia,2010,94.87609495
Croatia,2015,100.2820092
Cuba,1990,67.84152356
Cuba,1995,82.92277926
Cuba,2000,83.27613468
Cuba,2005,66.40406791
Cuba,2010,54.60641696
Cuba,2015,63.68356408
Cyprus,1990,50.62880809
Cyprus,1995,51.44603783
Cyprus,2000,46.85905005
Cyprus,2005,36.43883101
Cyprus,2010,33.53458305
Cyprus,2015,32.17652848
Czech Republic,1990,134.3872747
Czech Republic,1995,104.458374
Czech Republic,2000,84.81249097
Czech Republic,2005,76.73486834
Czech Republic,2010,75.87132277
Czech Republic,2015,76.42598357
Democratic Republic of Congo,1990,140.6914671
Democratic Republic of Congo,1995,137.8875691
Democratic Republic of Congo,2000,137.7818757
Democratic Republic of Congo,2005,123.2039998
Democratic Republic of Congo,2010,113.0545395
Democratic Republic of Congo,2015,110.084936
Denmark,1990,67.47936131
Denmark,1995,61.97931361
Denmark,2000,50.51366752
Denmark,2005,42.79263376
Denmark,2010,40.14725855
Denmark,2015,39.49491947
Djibouti,1990,75.16538026
Djibouti,1995,66.70352886
Djibouti,2000,68.29607301
Djibouti,2005,67.65033468
Djibouti,2010,66.82144012
Djibouti,2015,69.60080937
Dominica,1990,51.97498831
Dominica,1995,45.59188092
