Entity,Year,Labor productivity per hour worked (The Conference Board Total Economy Database (2016))
Argentina,1950,6.42543
Argentina,1951,6.5602
Argentina,1952,6.1171
Argentina,1953,6.3336
Argentina,1954,6.47971
Argentina,1955,6.82076
Argentina,1956,6.90226
Argentina,1957,7.14656
Argentina,1958,7.46973
Argentina,1959,6.88046
Argentina,1960,7.30575
Argentina,1961,7.75545
Argentina,1962,7.55983
Argentina,1963,7.30953
Argentina,1964,7.98761
Argentina,1965,8.63658
Argentina,1966,8.61787
Argentina,1967,8.77074
Argentina,1968,9.06305
Argentina,1969,9.75054
Argentina,1970,10.18154
Argentina,1971,10.59182
Argentina,1972,10.83689
Argentina,1973,11.40781
Argentina,1974,11.7398
Argentina,1975,11.58002
Argentina,1976,11.56111
Argentina,1977,11.95455
Argentina,1978,11.34357
Argentina,1979,11.96509
Argentina,1980,12.11823
Argentina,1981,11.4702
Argentina,1982,11.00691
Argentina,1983,11.12577
Argentina,1984,11.16552
Argentina,1985,10.41941
Argentina,1986,10.93187
Argentina,1987,11.05692
Argentina,1988,10.7074
Argentina,1989,10.01965
Argentina,1990,9.82222
Argentina,1991,10.50842
Argentina,1992,11.20352
Argentina,1993,11.83445
Argentina,1994,12.40325
Argentina,1995,12.48886
Argentina,1996,13.20871
Argentina,1997,13.11505
Argentina,1998,13.14787
Argentina,1999,12.73473
Argentina,2000,12.76809
Argentina,2001,12.66332
Argentina,2002,12.69991
Argentina,2003,12.15987
Argentina,2004,12.0567
Argentina,2005,12.41026
Argentina,2006,12.64772
Argentina,2007,13.11355
Argentina,2008,13.11703
Argentina,2009,13.03267
Argentina,2010,13.85886
Argentina,2011,14.12317
Argentina,2012,13.87047
Argentina,2013,14.15322
Argentina,2014,14.17319
Argentina,2015,14.1499
Argentina,2016,13.99744
Armenia,2009,13.91753
Armenia,2010,13.68159
Armenia,2011,14.68277
Armenia,2012,15.76164
Armenia,2013,16.4343
Armenia,2014,17.44882
Armenia,2015,17.8671
