Entity,Year,Labor productivity per hour worked (The Conference Board Total Economy Database (2016))
Armenia,2016,18.24762
Australia,1950,7.917
Australia,1951,8.19893
Australia,1952,8.21664
Australia,1953,8.41512
Australia,1954,8.87727
Australia,1955,9.29827
Australia,1956,9.55264
Australia,1957,9.70786
Australia,1958,10.17882
Australia,1959,10.77378
Australia,1960,10.98933
Australia,1961,11.0653
Australia,1962,11.51464
Australia,1963,11.91489
Australia,1964,12.32485
Australia,1965,12.60999
Australia,1966,12.5463
Australia,1967,13.02484
Australia,1968,13.50098
Australia,1969,13.97302
Australia,1970,14.36037
Australia,1971,14.68438
Australia,1972,14.9059
Australia,1973,15.32848
Australia,1974,15.42303
Australia,1975,15.93277
Australia,1976,16.38802
Australia,1977,16.44455
Australia,1978,16.88368
Australia,1979,17.33277
Australia,1980,17.31294
Australia,1981,17.82632
Australia,1982,18.16232
Australia,1983,18.28345
Australia,1984,18.91647
Australia,1985,19.11928
Australia,1986,18.98014
Australia,1987,19.30152
Australia,1988,19.39202
Australia,1989,19.54069
Australia,1990,19.74586
Australia,1991,19.78784
Australia,1992,20.50498
Australia,1993,21.11354
Australia,1994,21.33843
Australia,1995,21.39672
Australia,1996,21.95586
Australia,1997,22.5982
Australia,1998,23.40701
Australia,1999,23.81344
Australia,2000,24.24381
Australia,2001,24.86923
Australia,2002,25.55029
Australia,2003,25.74164
Australia,2004,26.18903
Australia,2005,26.49266
Australia,2006,26.64175
Australia,2007,27.13919
Australia,2008,27.42781
Australia,2009,27.84355
Australia,2010,28.11916
Australia,2011,28.29799
Australia,2012,28.9992
Australia,2013,29.42188
Australia,2014,29.97098
Australia,2015,30.19745
Australia,2016,30.76767
Austria,1950,3.65537
Austria,1951,3.91286
Austria,1952,3.92376
Austria,1953,4.10234
Austria,1954,4.53022
Austria,1955,5.04057
Austria,1956,5.39763
Austria,1957,5.68081
Austria,1958,5.87893
Austria,1959,6.02696
Austria,1960,6.47621
Austria,1961,6.82477
Austria,1962,7.06641
Austria,1963,7.45052
Austria,1964,7.95974
Austria,1965,8.29504
Austria,1966,8.88988
Austria,1967,9.36954
Austria,1968,9.9774
Austria,1969,10.69014
Austria,1970,11.77951
Austria,1971,12.27866
Austria,1972,12.80644
Austria,1973,13.28216
Austria,1974,13.09193
Austria,1975,13.65706
Austria,1976,14.27878
Austria,1977,14.72723
Austria,1978,15.09388
Austria,1979,15.56425
Austria,1980,15.76171
Austria,1981,16.38665
Austria,1982,16.7413
Austria,1983,17.30834
Austria,1984,17.4272
Austria,1985,17.82473
Austria,1986,18.23515
Austria,1987,18.59279
Austria,1988,19.07684
Austria,1989,19.48927
Austria,1990,19.96285
Austria,1991,20.2822
Austria,1992,20.97409
Austria,1993,21.23029
Austria,1994,21.76575
Austria,1995,22.75478
Austria,1996,22.7905
Austria,1997,23.01355
Austria,1998,23.87791
Austria,1999,24.31539
Austria,2000,24.89369
Austria,2001,25.22747
Austria,2002,25.70415
Austria,2003,25.8526
Austria,2004,26.34218
Austria,2005,26.93399
Austria,2006,27.63809
Austria,2007,28.28773
Austria,2008,28.31061
Austria,2009,28.26003
Austria,2010,28.67265
Austria,2011,28.90076
Austria,2012,29.20948
Austria,2013,29.45598
Austria,2014,29.42943
Austria,2015,29.57773
Austria,2016,29.78518
Bangladesh,1970,0.92612
Bangladesh,1971,0.91005
Bangladesh,1972,0.90607
Bangladesh,1973,0.80968
Bangladesh,1974,0.87843
Bangladesh,1975,0.91479
Bangladesh,1976,0.93024
Bangladesh,1977,0.9705
Bangladesh,1978,1.02344
Bangladesh,1979,1.00353
Bangladesh,1980,1.00993
Bangladesh,1981,1.04634
Bangladesh,1982,1.02925
Bangladesh,1983,1.03264
Bangladesh,1984,1.03672
Bangladesh,1985,1.04195
Bangladesh,1986,1.05775
Bangladesh,1987,1.08636
Bangladesh,1988,1.11832
Bangladesh,1989,1.12569
Bangladesh,1990,1.1447
Bangladesh,1991,1.15185
Bangladesh,1992,1.15852
Bangladesh,1993,1.181
Bangladesh,1994,1.21889
Bangladesh,1995,1.25178
Bangladesh,1996,1.2825
Bangladesh,1997,1.31866
Bangladesh,1998,1.34489
Bangladesh,1999,1.38208
Bangladesh,2000,1.41429
Bangladesh,2001,1.40486
Bangladesh,2002,1.40868
Bangladesh,2003,1.39862
Bangladesh,2004,1.40855
Bangladesh,2005,1.39274
Bangladesh,2006,1.40407
Bangladesh,2007,1.41126
Bangladesh,2008,1.43893
Bangladesh,2009,1.47873
Bangladesh,2010,1.52327
Bangladesh,2011,1.56942
Bangladesh,2012,1.61342
Bangladesh,2013,1.65487
Bangladesh,2014,1.71833
Bangladesh,2015,1.78445
Bangladesh,2016,1.85435
Barbados,1991,12.2186
Barbados,1992,12.13755
Barbados,1993,12.21115
Barbados,1994,11.35894
Barbados,1995,10.99585
Barbados,1996,10.70823
Barbados,1997,10.96689
Barbados,1998,10.99772
Barbados,1999,10.69202
Barbados,2000,10.49936
Barbados,2001,10.02013
Barbados,2002,10.48645
Barbados,2003,10.52269
Barbados,2004,10.54428
Barbados,2005,10.86342
Barbados,2006,11.69877
Barbados,2007,11.67885
Barbados,2008,11.71962
Barbados,2009,12.23934
Barbados,2010,12.42898
Barbados,2011,12.33952
Barbados,2012,12.85738
Barbados,2013,12.85208
Barbados,2014,13.05796
Barbados,2015,13.12045
Barbados,2016,13.38164
Belgium,1950,6.64104
Belgium,1951,7.02607
Belgium,1952,6.97868
Belgium,1953,7.2097
Belgium,1954,7.51426
Belgium,1955,7.87901
Belgium,1956,8.11621
Belgium,1957,8.2494
Belgium,1958,8.37035
Belgium,1959,8.74973
Belgium,1960,9.05698
Belgium,1961,9.4832
Belgium,1962,9.87884
Belgium,1963,10.30367
Belgium,1964,10.93904
Belgium,1965,11.34672
Belgium,1966,11.73526
Belgium,1967,12.31977
Belgium,1968,12.92184
Belgium,1969,13.6314
Belgium,1970,14.55002
Belgium,1971,15.06319
Belgium,1972,16.11282
Belgium,1973,17.19814
Belgium,1974,17.95357
Belgium,1975,18.07679
Belgium,1976,19.18405
Belgium,1977,19.66984
Belgium,1978,20.42752
Belgium,1979,20.92236
Belgium,1980,22.14419
Belgium,1981,22.57881
Belgium,1982,23.39812
Belgium,1983,23.62278
Belgium,1984,23.87129
Belgium,1985,23.9132
Belgium,1986,24.40434
Belgium,1987,25.01981
Belgium,1988,25.89081
Belgium,1989,26.55592
Belgium,1990,26.8411
Belgium,1991,27.86255
Belgium,1992,28.73343
Belgium,1993,29.45342
Belgium,1994,30.53159
Belgium,1995,30.26158
Belgium,1996,31.1759
Belgium,1997,31.84759
Belgium,1998,31.69394
Belgium,1999,32.39014
Belgium,2000,32.64961
Belgium,2001,32.60202
Belgium,2002,33.36441
Belgium,2003,33.75537
Belgium,2004,34.74843
Belgium,2005,35.13999
Belgium,2006,35.46462
Belgium,2007,35.97335
Belgium,2008,35.75053
Belgium,2009,35.486
Belgium,2010,36.26327
Belgium,2011,36.09427
Belgium,2012,36.01126
Belgium,2013,36.20295
Belgium,2014,36.51986
Belgium,2015,36.728
Belgium,2016,36.86758
Brazil,1950,2.22824
Brazil,1951,2.26133
Brazil,1952,2.32027
Brazil,1953,2.35468
Brazil,1954,2.43016
Brazil,1955,2.52429
Brazil,1956,2.47767
Brazil,1957,2.59631
Brazil,1958,2.73888
Brazil,1959,2.8705
Brazil,1960,3.00587
Brazil,1961,3.15484
Brazil,1962,3.26677
Brazil,1963,3.21979
Brazil,1964,3.24549
Brazil,1965,3.22696
Brazil,1966,3.3405
Brazil,1967,3.38363
Brazil,1968,3.58677
Brazil,1969,3.79375
Brazil,1970,4.05161
Brazil,1971,4.2482
Brazil,1972,4.49358
Brazil,1973,4.54162
Brazil,1974,4.81966
Brazil,1975,4.98145
Brazil,1976,5.34683
Brazil,1977,5.14063
Brazil,1978,5.27004
Brazil,1979,5.79487
Brazil,1980,6.43161
Brazil,1981,5.93467
Brazil,1982,5.6938
Brazil,1983,5.46827
Brazil,1984,5.59258
Brazil,1985,5.65088
Brazil,1986,5.97142
Brazil,1987,5.9922
Brazil,1988,5.81047
Brazil,1989,5.91161
Brazil,1990,5.55666
Brazil,1991,5.63218
Brazil,1992,5.62934
Brazil,1993,5.85291
Brazil,1994,6.13017
Brazil,1995,6.3399
Brazil,1996,6.63355
Brazil,1997,6.76857
Brazil,1998,6.84597
Brazil,1999,6.492
Brazil,2000,6.66617
Brazil,2001,6.77691
Brazil,2002,6.86771
Brazil,2003,6.77342
Brazil,2004,6.86222
Brazil,2005,6.88499
Brazil,2006,6.97308
Brazil,2007,7.26024
Brazil,2008,7.45953
Brazil,2009,7.62959
Brazil,2010,7.90242
Brazil,2011,8.01963
Brazil,2012,8.12285
Brazil,2013,8.31139
Brazil,2014,8.23504
Brazil,2015,7.89997
Brazil,2016,7.56738
Bulgaria,1990,6.56198
Bulgaria,1991,6.93439
Bulgaria,1992,7.09232
Bulgaria,1993,7.10177
Bulgaria,1994,7.09486
Bulgaria,1995,7.24582
Bulgaria,1996,6.425
Bulgaria,1997,6.56163
Bulgaria,1998,7.09579
Bulgaria,1999,6.88888
Bulgaria,2000,7.54252
Bulgaria,2001,7.8671
Bulgaria,2002,8.32445
Bulgaria,2003,8.55159
Bulgaria,2004,8.75818
Bulgaria,2005,9.17288
Bulgaria,2006,9.5018
Bulgaria,2007,9.9137
Bulgaria,2008,9.99609
Bulgaria,2009,10.02116
Bulgaria,2010,10.44029
Bulgaria,2011,10.85263
Bulgaria,2012,11.15163
Bulgaria,2013,11.33981
Bulgaria,2014,11.47965
Bulgaria,2015,11.77677
Bulgaria,2016,11.97172
Cambodia,1993,0.91763
Cambodia,1994,0.9932
Cambodia,1995,1.00082
Cambodia,1996,1.01498
Cambodia,1997,1.04509
Cambodia,1998,1.0161
Cambodia,1999,1.11355
Cambodia,2000,1.13316
Cambodia,2001,1.14358
Cambodia,2002,1.13916
Cambodia,2003,1.16677
Cambodia,2004,1.19257
Cambodia,2005,1.30584
Cambodia,2006,1.39265
Cambodia,2007,1.47527
Cambodia,2008,1.57025
Cambodia,2009,1.59075
Cambodia,2010,1.63051
Cambodia,2011,1.71486
Cambodia,2012,1.81382
Cambodia,2013,1.92401
Cambodia,2014,2.02356
Cambodia,2015,2.12451
Cambodia,2016,2.23018
Canada,1950,9.30185
Canada,1951,9.61976
Canada,1952,10.09951
Canada,1953,10.34581
Canada,1954,10.055
Canada,1955,10.75937
Canada,1956,11.38157
Canada,1957,11.4091
Canada,1958,11.65118
Canada,1959,11.7836
Canada,1960,11.95394
Canada,1961,12.1152
Canada,1962,12.61305
Canada,1963,13.05879
Canada,1964,13.48634
Canada,1965,13.99175
Canada,1966,14.42239
Canada,1967,14.46838
Canada,1968,15.18768
Canada,1969,15.62031
Canada,1970,15.98246
Canada,1971,16.62755
Canada,1972,17.16651
Canada,1973,17.62919
Canada,1974,17.76563
Canada,1975,18.11036
Canada,1976,19.10527
Canada,1977,19.62069
Canada,1978,19.83402
Canada,1979,19.72321
Canada,1980,19.50776
Canada,1981,19.70521
Canada,1982,20.00639
Canada,1983,20.53324
Canada,1984,21.0565
Canada,1985,21.38125
Canada,1986,21.2972
Canada,1987,21.39648
Canada,1988,21.69471
Canada,1989,21.76866
Canada,1990,21.76236
Canada,1991,21.94612
Canada,1992,22.38482
Canada,1993,22.82587
Canada,1994,23.29289
Canada,1995,23.58752
Canada,1996,23.54965
Canada,1997,24.13797
Canada,1998,24.6352
Canada,1999,25.20902
Canada,2000,25.94313
Canada,2001,26.23023
Canada,2002,26.58798
Canada,2003,26.74128
Canada,2004,26.82208
Canada,2005,27.46227
Canada,2006,27.76327
Canada,2007,27.7482
Canada,2008,27.72217
Canada,2009,27.96894
Canada,2010,28.38633
Canada,2011,28.79793
Canada,2012,28.85256
Canada,2013,29.16352
Canada,2014,29.59966
Canada,2015,29.63458
Canada,2016,29.83524
Chile,1950,4.37097
Chile,1951,4.55183
Chile,1952,4.83475
Chile,1953,5.18807
Chile,1954,5.0096
Chile,1955,5.18558
Chile,1956,5.25544
Chile,1957,5.77589
Chile,1958,6.07299
Chile,1959,5.71021
Chile,1960,6.16141
Chile,1961,6.3807
Chile,1962,6.60503
Chile,1963,6.94087
Chile,1964,7.01247
Chile,1965,6.98256
Chile,1966,7.66291
Chile,1967,7.8115
Chile,1968,7.98234
Chile,1969,8.18539
Chile,1970,8.32901
Chile,1971,8.74912
Chile,1972,8.32651
Chile,1973,7.78293
Chile,1974,8.09741
Chile,1975,7.33935
Chile,1976,7.49381
Chile,1977,7.89702
Chile,1978,8.48716
Chile,1979,9.03272
Chile,1980,9.23322
Chile,1981,9.59972
Chile,1982,8.88844
Chile,1983,8.08965
Chile,1984,8.18233
Chile,1985,7.84642
Chile,1986,7.85172
Chile,1987,8.0441
Chile,1988,8.12474
Chile,1989,8.51062
Chile,1990,8.62293
Chile,1991,9.13107
Chile,1992,9.754
Chile,1993,9.83542
Chile,1994,10.2901
Chile,1995,11.16832
Chile,1996,11.65775
Chile,1997,12.52668
Chile,1998,12.52605
Chile,1999,12.72656
Chile,2000,13.22944
Chile,2001,13.63375
Chile,2002,13.69899
Chile,2003,13.77201
Chile,2004,14.39117
Chile,2005,15.22147
Chile,2006,15.75561
Chile,2007,16.40301
Chile,2008,16.72599
Chile,2009,16.83065
Chile,2010,16.73962
Chile,2011,17.06415
Chile,2012,17.93235
Chile,2013,18.32521
Chile,2014,18.58624
Chile,2015,18.63959
Chile,2016,18.8172
Colombia,1950,2.89542
Colombia,1951,2.94293
Colombia,1952,3.08474
Colombia,1953,3.22777
Colombia,1954,3.40345
Colombia,1955,3.48225
Colombia,1956,3.56282
Colombia,1957,3.63249
Colombia,1958,3.66252
Colombia,1959,3.86192
Colombia,1960,3.95545
Colombia,1961,4.06037
Colombia,1962,4.18276
Colombia,1963,4.22127
Colombia,1964,4.37953
Colombia,1965,4.42641
Colombia,1966,4.51604
Colombia,1967,4.55859
Colombia,1968,4.68617
Colombia,1969,4.82832
Colombia,1970,4.97805
Colombia,1971,5.128
Colombia,1972,5.36838
Colombia,1973,5.5711
Colombia,1974,5.72869
Colombia,1975,5.57696
Colombia,1976,5.68076
Colombia,1977,5.67892
Colombia,1978,6.01788
Colombia,1979,6.18675
Colombia,1980,6.33449
Colombia,1981,6.21803
Colombia,1982,6.20357
Colombia,1983,6.32599
Colombia,1984,6.51994
Colombia,1985,6.58866
Colombia,1986,6.77765
Colombia,1987,6.82139
Colombia,1988,6.87622
Colombia,1989,6.80641
Colombia,1990,6.93264
Colombia,1991,6.66024
Colombia,1992,6.86883
Colombia,1993,6.80159
Colombia,1994,6.84097
Colombia,1995,6.88679
Colombia,1996,6.98839
Colombia,1997,7.09372
Colombia,1998,7.14336
Colombia,1999,6.99583
Colombia,2000,6.96577
Colombia,2001,7.01884
Colombia,2002,7.04358
Colombia,2003,7.08815
Colombia,2004,7.2054
Colombia,2005,7.2555
Colombia,2006,7.49851
Colombia,2007,7.72206
Colombia,2008,7.86235
Colombia,2009,7.98514
Colombia,2010,8.08895
Colombia,2011,8.30533
Colombia,2012,8.4755
Colombia,2013,8.80919
Colombia,2014,9.05434
Colombia,2015,9.11579
Colombia,2016,9.10601
Costa Rica,1987,5.74089
Costa Rica,1988,5.77848
Costa Rica,1989,5.78818
Costa Rica,1990,5.8664
Costa Rica,1991,5.79747
Costa Rica,1992,5.96843
Costa Rica,1993,6.13669
Costa Rica,1994,6.19065
Costa Rica,1995,6.24485
Costa Rica,1996,6.1397
Costa Rica,1997,6.21021
Costa Rica,1998,6.46327
Costa Rica,1999,6.80901
Costa Rica,2000,6.60761
Costa Rica,2001,6.44139
Costa Rica,2002,6.48243
Costa Rica,2003,6.667
Costa Rica,2004,6.9323
Costa Rica,2005,7.17705
Costa Rica,2006,7.51489
Costa Rica,2007,7.54932
Costa Rica,2008,7.47625
Costa Rica,2009,7.63767
Costa Rica,2010,7.81571
Costa Rica,2011,7.87858
Costa Rica,2012,7.87474
Costa Rica,2013,8.25085
Costa Rica,2014,8.28397
Costa Rica,2015,8.28233
Costa Rica,2016,8.41101
Cyprus,1950,3.25497
Cyprus,1951,3.1636
Cyprus,1952,3.44681
Cyprus,1953,3.76281
Cyprus,1954,3.80631
Cyprus,1955,3.91332
Cyprus,1956,4.31003
Cyprus,1957,4.54516
Cyprus,1958,4.38449
Cyprus,1959,4.609
Cyprus,1960,4.23489
Cyprus,1961,4.67878
Cyprus,1962,5.07071
Cyprus,1963,5.35411
Cyprus,1964,4.81473
Cyprus,1965,5.85871
Cyprus,1966,6.18126
Cyprus,1967,6.98249
Cyprus,1968,7.26305
Cyprus,1969,7.89428
Cyprus,1970,8.21715
Cyprus,1971,9.15128
Cyprus,1972,9.64232
Cyprus,1973,9.74613
Cyprus,1974,7.98142
Cyprus,1975,6.37168
Cyprus,1976,7.40926
Cyprus,1977,8.45534
Cyprus,1978,8.97003
Cyprus,1979,9.40548
Cyprus,1980,9.54015
Cyprus,1981,9.54329
Cyprus,1982,9.97951
Cyprus,1983,10.2732
Cyprus,1984,10.7847
Cyprus,1985,10.90417
Cyprus,1986,11.20148
Cyprus,1987,11.62146
Cyprus,1988,12.0509
Cyprus,1989,12.52537
Cyprus,1990,13.1089
Cyprus,1991,13.15699
Cyprus,1992,13.78992
Cyprus,1993,13.92224
Cyprus,1994,14.45596
Cyprus,1995,14.75321
Cyprus,1996,14.92058
Cyprus,1997,15.12279
Cyprus,1998,15.59086
Cyprus,1999,15.96817
Cyprus,2000,16.54989
Cyprus,2001,16.56976
Cyprus,2002,16.99602
Cyprus,2003,16.92981
Cyprus,2004,17.37239
Cyprus,2005,17.7579
Cyprus,2006,18.33159
Cyprus,2007,18.19489
Cyprus,2008,18.20254
Cyprus,2009,17.97877
Cyprus,2010,18.17222
Cyprus,2011,18.29736
Cyprus,2012,18.50652
Cyprus,2013,18.80171
Cyprus,2014,18.88097
Cyprus,2015,19.043
Cyprus,2016,19.18821
Czech Republic,1990,9.44354
Czech Republic,1991,8.68795
Czech Republic,1992,8.64235
Czech Republic,1993,8.67187
Czech Republic,1994,8.91402
Czech Republic,1995,9.30415
Czech Republic,1996,9.68156
Czech Republic,1997,9.65714
Czech Republic,1998,9.69401
Czech Republic,1999,9.96418
Czech Republic,2000,10.46639
Czech Republic,2001,11.27542
Czech Republic,2002,11.4003
Czech Republic,2003,11.97586
Czech Republic,2004,12.51504
Czech Republic,2005,13.06717
Czech Republic,2006,13.91811
Czech Republic,2007,14.50584
Czech Republic,2008,14.5375
Czech Republic,2009,14.17461
Czech Republic,2010,14.48159
Czech Republic,2011,14.75759
Czech Republic,2012,14.80536
Czech Republic,2013,14.78947
Czech Republic,2014,14.93318
Czech Republic,2015,15.27968
Czech Republic,2016,15.44955
Denmark,1950,7.33173
Denmark,1951,7.41549
Denmark,1952,7.52333
Denmark,1953,7.98886
Denmark,1954,8.18248
Denmark,1955,8.30966
Denmark,1956,8.44981
Denmark,1957,9.10796
Denmark,1958,9.3115
Denmark,1959,9.77283
Denmark,1960,9.84628
Denmark,1961,10.25068
Denmark,1962,10.58152
Denmark,1963,10.44823
Denmark,1964,11.12078
Denmark,1965,11.34277
Denmark,1966,11.38001
Denmark,1967,11.93573
Denmark,1968,12.61835
Denmark,1969,13.44232
Denmark,1970,13.71867
Denmark,1971,14.38505
Denmark,1972,15.33237
Denmark,1973,16.07836
Denmark,1974,16.22477
Denmark,1975,17.08859
Denmark,1976,17.80416
Denmark,1977,18.41453
Denmark,1978,18.82089
Denmark,1979,19.44103
Denmark,1980,19.3452
Denmark,1981,19.8774
Denmark,1982,20.33079
Denmark,1983,20.92402
Denmark,1984,21.5567
Denmark,1985,22.14658
Denmark,1986,22.34675
Denmark,1987,22.86161
Denmark,1988,23.65858
Denmark,1989,24.09351
Denmark,1990,24.7637
Denmark,1991,25.30076
Denmark,1992,25.81196
Denmark,1993,26.22512
Denmark,1994,28.10999
Denmark,1995,28.47566
Denmark,1996,29.16505
Denmark,1997,29.39791
Denmark,1998,29.36787
Denmark,1999,29.68534
Denmark,2000,30.37621
Denmark,2001,30.268
Denmark,2002,30.50442
Denmark,2003,31.0336
Denmark,2004,32.04926
Denmark,2005,32.54075
Denmark,2006,32.94815
Denmark,2007,33.0056
Denmark,2008,32.52583
Denmark,2009,31.89694
Denmark,2010,33.42113
Denmark,2011,33.3829
Denmark,2012,33.96613
Denmark,2013,33.38556
Denmark,2014,33.52021
Denmark,2015,33.59961
Denmark,2016,33.73178
Ecuador,1995,6.13522
Ecuador,1996,6.28819
Ecuador,1997,6.33829
Ecuador,1998,6.56056
Ecuador,1999,6.33127
Ecuador,2000,6.14784
Ecuador,2001,5.96416
Ecuador,2002,5.92094
Ecuador,2003,5.99571
Ecuador,2004,5.92065
Ecuador,2005,5.28103
Ecuador,2006,5.38011
Ecuador,2007,5.56036
Ecuador,2008,5.93785
Ecuador,2009,6.06964
Ecuador,2010,6.36906
Ecuador,2011,6.73887
Ecuador,2012,6.98578
Ecuador,2013,7.21788
Ecuador,2014,7.27787
Ecuador,2015,7.19816
Ecuador,2016,6.77814
Estonia,1990,10.9256
Estonia,1991,10.15721
Estonia,1992,9.40267
Estonia,1993,9.35017
Estonia,1994,9.39534
Estonia,1995,10.7217
Estonia,1996,11.64205
Estonia,1997,12.9598
Estonia,1998,13.73483
Estonia,1999,14.78236
Estonia,2000,15.06381
Estonia,2001,15.98696
Estonia,2002,16.94243
Estonia,2003,17.76661
Estonia,2004,18.8831
Estonia,2005,19.97411
Estonia,2006,21.07777
Estonia,2007,22.69706
Estonia,2008,21.84612
Estonia,2009,22.28145
Estonia,2010,23.47209
Estonia,2011,23.15424
Estonia,2012,24.38596
Estonia,2013,24.72356
Estonia,2014,25.33581
Estonia,2015,24.99614
Estonia,2016,25.76512
Finland,1950,4.09282
Finland,1951,4.40074
Finland,1952,4.50712
Finland,1953,4.49769
Finland,1954,4.84732
Finland,1955,5.04827
Finland,1956,5.15382
Finland,1957,5.30716
Finland,1958,5.25164
Finland,1959,5.75362
Finland,1960,6.1005
Finland,1961,6.44594
Finland,1962,6.69711
Finland,1963,6.90467
Finland,1964,7.16574
Finland,1965,7.45981
Finland,1966,7.71739
Finland,1967,8.09509
Finland,1968,8.45745
Finland,1969,9.22079
Finland,1970,9.78171
Finland,1971,10.23378
Finland,1972,11.00543
Finland,1973,11.62337
Finland,1974,11.97278
Finland,1975,12.2181
Finland,1976,12.29776
Finland,1977,12.61115
Finland,1978,12.95919
Finland,1979,13.73896
Finland,1980,14.21419
Finland,1981,14.25603
Finland,1982,14.67015
Finland,1983,15.15575
Finland,1984,15.59466
Finland,1985,16.09733
Finland,1986,16.7232
Finland,1987,17.258
Finland,1988,17.84327
Finland,1989,18.71956
Finland,1990,19.16528
Finland,1991,19.345
Finland,1992,20.05717
Finland,1993,21.14272
Finland,1994,22.04002
Finland,1995,22.5504
Finland,1996,23.06062
Finland,1997,23.82566
Finland,1998,24.80523
Finland,1999,25.23642
Finland,2000,26.31755
Finland,2001,26.91206
Finland,2002,27.2098
Finland,2003,27.85166
Finland,2004,28.74728
Finland,2005,29.26838
Finland,2006,29.98328
Finland,2007,30.90567
Finland,2008,30.57677
Finland,2009,29.1532
Finland,2010,30.10457
Finland,2011,30.58684
Finland,2012,30.10885
Finland,2013,30.29001
Finland,2014,30.29261
Finland,2015,30.50115
Finland,2016,30.58697
France,1950,4.91774
France,1951,5.14019
France,1952,5.29523
France,1953,5.51899
France,1954,5.7412
France,1955,6.06976
France,1956,6.44659
France,1957,6.86749
France,1958,7.09883
France,1959,7.33145
France,1960,7.79641
France,1961,8.31495
France,1962,8.81595
France,1963,9.27435
France,1964,9.74907
France,1965,10.24915
France,1966,10.7228
France,1967,11.36269
France,1968,12.02476
France,1969,13.129
France,1970,13.82117
France,1971,14.43408
France,1972,15.38878
France,1973,16.13011
France,1974,16.72555
France,1975,16.97148
France,1976,17.31255
France,1977,18.16958
France,1978,18.88159
France,1979,19.39368
France,1980,19.67512
France,1981,20.12327
France,1982,21.44933
France,1983,21.95329
France,1984,22.48076
France,1985,23.3332
France,1986,23.84772
France,1987,24.06371
France,1988,24.73973
France,1989,25.5403
France,1990,26.05043
France,1991,26.42237
France,1992,26.99151
France,1993,27.35803
France,1994,28.03923
France,1995,28.78729
France,1996,28.99387
France,1997,29.62048
France,1998,30.39783
France,1999,30.89984
France,2000,32.05326
France,2001,32.40583
France,2002,33.46139
France,2003,33.80077
France,2004,34.03618
France,2005,34.47641
France,2006,35.46377
France,2007,35.41005
France,2008,35.15254
France,2009,34.92722
France,2010,35.45687
France,2011,35.85497
France,2012,35.94529
France,2013,36.57017
France,2014,36.54834
France,2015,36.82878
France,2016,37.03773
Germany,1950,3.14869
Germany,1951,3.42271
Germany,1952,3.71395
Germany,1953,3.98351
Germany,1954,4.21365
Germany,1955,4.62577
Germany,1956,4.93321
Germany,1957,5.18505
Germany,1958,5.42836
Germany,1959,5.85445
Germany,1960,6.36003
Germany,1961,6.65856
Germany,1962,7.06974
Germany,1963,7.36717
Germany,1964,7.80675
Germany,1965,8.2419
Germany,1966,8.6021
Germany,1967,8.94629
Germany,1968,9.4955
Germany,1969,10.17449
Germany,1970,10.66781
Germany,1971,11.1263
Germany,1972,11.71157
Germany,1973,12.36687
Germany,1974,12.71475
Germany,1975,13.05477
Germany,1976,13.68194
Germany,1977,14.17724
Germany,1978,14.6428
Germany,1979,15.12672
Germany,1980,15.26123
Germany,1981,15.44805
Germany,1982,15.50389
Germany,1983,16.02596
Germany,1984,16.53619
Germany,1985,16.98857
Germany,1986,17.40645
Germany,1987,17.80683
Germany,1988,18.40812
Germany,1989,19.17025
Germany,1990,20.16138
Germany,1991,22.05454
Germany,1992,22.61355
Germany,1993,23.03253
Germany,1994,23.65741
Germany,1995,24.11248
