Entity,Year,Ozone depleting emissions (Index 1986 = 100)
World,1986,100
World,1989,127.65
World,1990,75.09
World,1991,68.67
World,1992,66.03
World,1993,58.9
World,1994,37.77
World,1995,31.27
World,1996,22.5
World,1997,20.73
World,1998,25.97
World,1999,22.1
World,2000,20.21
World,2001,15.97
World,2002,12.5
World,2003,13.1
World,2004,9.71
World,2005,7.12
World,2006,6.64
World,2007,4.73
World,2008,3.36
World,2009,3.78
World,2010,3.36
World,2011,3.08
World,2012,3.37
World,2013,2.24
World,2014,2.37
World,2015,1.77
World,2016,1.64
