Entity,Year,Energy production,Manufacturing industry & construction,Road transport,Non-road transport,Small non-road mobile sources & machinery,Military aircraft and naval shipping,Fugitive emissions,Industrial processes,Agriculture,Waste,Other,Total
Ammonia,2016,0.2,2.1,4.4,,2.2,,0.2,3.8,253,10.1,12.9,288.9
Nitrogen oxides,2016,199.7,139.1,299.8,137.9,91.8,12.5,2,1.3,7.2,1.4,0.2,892.9
NMVOC,2016,4,19.4,31.8,12.5,50.4,0.6,129.3,443,117.5,6.5,3.6,818.6
PM10,2016,4.6,18,19.9,3.9,47.6,0.2,1.9,53.2,17,4,0.2,170.5
PM2.5,2016,3.6,17.4,13.4,3.7,46.6,0.2,1.2,13.9,4.3,3.6,0.1,108
Sulphur dioxide,2016,66.8,38.7,1.3,13.4,45.8,1.5,2.5,8.6,,0.7,,179.3
