Entity,Year,"GDP per capita in current USD, 1960-2014 (World Bank EdStats (2015))"
Afghanistan,1960,61.28913206
Afghanistan,1961,61.30409306
Afghanistan,1962,59.79869332
Afghanistan,1963,80.42300207
Afghanistan,1964,83.79481181
Afghanistan,1965,103.0891031
Afghanistan,1966,140.1383832
Afghanistan,1967,163.7007886
Afghanistan,1968,131.2214359
Afghanistan,1969,131.3136212
Afghanistan,1970,158.7642309
Afghanistan,1971,161.709516
Afghanistan,1972,137.0236876
Afghanistan,1973,144.8505998
Afghanistan,1974,175.6255239
Afghanistan,1975,188.5521201
Afghanistan,1976,199.5466136
Afghanistan,1977,226.5788854
Afghanistan,1978,250.007641
Afghanistan,1979,278.9397783
Afghanistan,1980,276.2977514
Afghanistan,1981,268.3465596
Afghanistan,2001,115.3125095
Afghanistan,2002,185.9592901
Afghanistan,2003,198.2877991
Afghanistan,2004,220.0562878
Afghanistan,2005,252.4078925
Afghanistan,2006,275.3509718
Afghanistan,2007,373.5910916
Afghanistan,2008,376.977494
Afghanistan,2009,450.6589877
Afghanistan,2010,561.198188
Afghanistan,2011,616.0434186
Afghanistan,2012,688.5787842
Afghanistan,2013,664.8041966
Afghanistan,2014,666.2917549
Albania,1984,662.5200523
Albania,1985,662.9147926
Albania,1986,719.1572957
Albania,1987,699.3842921
Albania,1988,676.5667325
Albania,1989,723.4096102
Albania,1990,639.4638993
Albania,1991,348.711327
Albania,1992,218.4921623
Albania,1993,380.5273711
Albania,1994,619.0649227
Albania,1995,760.5593582
Albania,1996,951.1320914
Albania,1997,697.5945647
Albania,1998,871.8936539
Albania,1999,1104.743553
Albania,2000,1193.466223
Albania,2001,1336.859141
Albania,2002,1458.328047
Albania,2003,1859.552352
Albania,2004,2466.00508
Albania,2005,2781.572144
Albania,2006,3051.76764
Albania,2007,3603.01356
Albania,2008,4370.539925
Albania,2009,4114.134899
Albania,2010,4094.360204
Albania,2011,4437.811725
Albania,2012,4256.016702
Albania,2013,4458.073207
Albania,2014,4619.211258
Algeria,1960,241.5052586
Algeria,1961,210.608129
Algeria,1962,168.9719717
Algeria,1963,222.7192964
Algeria,1964,233.8101099
Algeria,1965,245.5769914
Algeria,1966,231.6451766
Algeria,1967,249.7574356
Algeria,1968,277.3914186
Algeria,1969,297.9845459
Algeria,1970,331.0554462
Algeria,1971,336.2797085
Algeria,1972,435.909848
Algeria,1973,546.8955929
Algeria,1974,806.7162858
Algeria,1975,924.2237019
Algeria,1976,1024.08182
Algeria,1977,1177.631955
Algeria,1978,1438.282716
Algeria,1979,1760.337241
Algeria,1980,2174.31747
Algeria,1981,2205.970102
Algeria,1982,2176.916796
Algeria,1983,2274.774616
Algeria,1984,2424.248732
Algeria,1985,2535.858517
Algeria,1986,2705.94603
Algeria,1987,2755.01376
Algeria,1988,2372.584992
Algeria,1989,2175.093523
Algeria,1990,2364.549879
Algeria,1991,1699.856511
Algeria,1992,1743.346069
Algeria,1993,1773.820483
Algeria,1994,1479.600215
Algeria,1995,1424.642484
Algeria,1996,1572.831937
Algeria,1997,1587.646138
Algeria,1998,1563.500973
Algeria,1999,1555.191033
Algeria,2000,1727.333251
Algeria,2001,1702.780079
Algeria,2002,1742.55761
Algeria,2003,2056.265303
Algeria,2004,2549.957193
Algeria,2005,3038.735967
Algeria,2006,3391.385869
Algeria,2007,3845.825086
Algeria,2008,4786.532893
Algeria,2009,3771.263214
Algeria,2010,4349.569325
Algeria,2011,5271.590312
Algeria,2012,5309.822369
Algeria,2013,5360.701146
Algeria,2014,5361.10239
Andorra,1970,3238.091489
Andorra,1971,3497.910279
Andorra,1972,4217.402956
Andorra,1973,5343.118369
Andorra,1974,6320.971834
Andorra,1975,7168.39961
Andorra,1976,7151.570434
Andorra,1977,7751.167351
Andorra,1978,9127.60884
Andorra,1979,11819.64906
Andorra,1980,12377.71593
Andorra,1981,10372.32662
Andorra,1982,9611.239676
Andorra,1983,8023.346426
Andorra,1984,7729.324108
Andorra,1985,7775.026964
Andorra,1986,10362.16684
Andorra,1987,12615.05112
Andorra,1988,14305.2085
Andorra,1989,15166.91375
Andorra,1990,18876.72928
Andorra,1991,19530.8435
Andorra,1992,20541.7739
Andorra,1993,16508.87522
Andorra,1994,16226.97108
Andorra,1995,18460.00743
Andorra,1996,19043.83445
Andorra,1997,18421.68932
Andorra,1998,18996.44122
Andorra,1999,19347.11113
Andorra,2000,21432.96007
Andorra,2001,21823.59731
Andorra,2002,23975.25835
Andorra,2003,31382.10032
Andorra,2004,36894.93358
Andorra,2005,39990.33041
Andorra,2006,43192.24746
Andorra,2007,49338.00499
Andorra,2008,50036.25579
Andorra,2009,46401.09196
Andorra,2010,42952.71707
Andorra,2011,44015.09932
Andorra,2012,40150.30297
Andorra,2013,41014.6769
Angola,1985,735.5391712
Angola,1986,715.2555497
Angola,1987,697.2755284
Angola,1988,680.4071488
Angola,1989,994.9127128
Angola,1990,967.6941127
Angola,1991,1072.830593
Angola,1992,513.7051922
Angola,1993,463.8091321
Angola,1994,345.6767888
Angola,1995,416.3207907
Angola,1996,604.4394354
Angola,1997,597.9317901
Angola,1998,490.5820117
Angola,1999,455.4139453
Angola,2000,655.6294944
Angola,2001,621.19593
Angola,2002,839.504512
Angola,2003,920.1011759
Angola,2004,1229.342988
Angola,2005,1706.543621
Angola,2006,2440.631642
Angola,2007,3412.718807
Angola,2008,4596.268274
Angola,2009,3988.683498
Angola,2010,4218.649126
Angola,2011,5159.233877
Angola,2012,5539.803311
Angola,2013,5782.665039
Angola,2014,5935.722356
Antigua and Barbuda,1977,941.9199305
Antigua and Barbuda,1978,1061.660439
Antigua and Barbuda,1979,1307.396413
Antigua and Barbuda,1980,1565.648635
Antigua and Barbuda,1981,1784.415208
Antigua and Barbuda,1982,2000.751986
