Entity,Year,CO2 Footprint Breakdown Per Capita (Goodall (2011))
Aviation,2011,13%
Car Travel,2011,13%
"Clothing, textiles",2011,9%
Consumer electronics,2011,3%
Cooking,2011,1%
Electrical appliances,2011,8%
Food,2011,24%
Heating,2011,13%
Lighting,2011,2%
Making motor vehicles,2011,3%
Paper,2011,4%
Public transport,2011,1%
Water heating,2011,3%
