Entity,Year,"Coal (terrawatt-hours) (Smil & BP, 2019)","Crude oil (terrawatt-hours) (Smil & BP, 2019)","Natural gas (terrawatt-hours) (Smil & BP, 2019)","Hydropower (terrawatt-hours) (Smil & BP, 2019)","Nuclear (terrawatt-hours) (Smil & BP, 2019)","Solar (terrawatt-hours) (Smil & BP, 2019)","Other renewables (terrawatt-hours) (Smil & BP, 2019)","Traditional biofuels (terrawatt-hours) (Vaclav Smil, 2017)","Wind (terrawatt-hours) (Smil & BP, 2019)",Biofuels (TWh; direct energy),Coal (TWh; substituted energy),Solar (TWh; substituted energy),Oil (TWh; substituted energy),Gas (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Other renewables (TWh; substituted energy),Hydropower (TWh; substituted energy),Nuclear (TWh; substituted energy),Wind (TWh; substituted energy),Biofuels (TWh; substituted energy)
World,1800,97,0,0,0,0,0,0,5556,0,0,97,0,0,0,5556,0,0,0,0,0
World,1810,128,0,0,0,0,0,0,5833,0,0,128,0,0,0,5833,0,0,0,0,0
World,1820,153,0,0,0,0,0,0,6111,0,0,153,0,0,0,6111,0,0,0,0,0
World,1830,264,0,0,0,0,0,0,6389,0,0,264,0,0,0,6389,0,0,0,0,0
World,1840,356,0,0,0,0,0,0,6944,0,0,356,0,0,0,6944,0,0,0,0,0
World,1850,569,0,0,0,0,0,0,7222,0,0,569,0,0,0,7222,0,0,0,0,0
World,1860,1061,0,0,0,0,0,0,6944,0,0,1061,0,0,0,6944,0,0,0,0,0
World,1870,1642,6,0,0,0,0,0,6944,0,0,1642,0,6,0,6944,0,0,0,0,0
World,1880,2542,33,0,0,0,0,0,6944,0,0,2542,0,33,0,6944,0,0,0,0,0
World,1890,3856,89,33,14,0,0,0,6667,0,0,3856,0,89,33,6667,0,37,0,0,0
World,1900,5728,181,64,17,0,0,0,6111,0,0,5728,0,181,64,6111,0,44,0,0,0
World,1910,8656,397,142,33,0,0,0,6389,0,0,8656,0,397,142,6389,0,88,0,0,0
World,1920,9833,889,233,64,0,0,0,6944,0,0,9833,0,889,233,6944,0,168,0,0,0
World,1930,10125,1756,603,131,0,0,0,7222,0,0,10125,0,1756,603,7222,0,344,0,0,0
World,1940,11586,2653,875,192,0,0,0,7222,0,0,11586,0,2653,875,7222,0,504,0,0,0
World,1950,12603,5444,2092,333,0,0,0,7500,0,0,12603,0,5444,2092,7500,0,877,0,0,0
World,1960,15442,11097,4472,689,0,0,0,8889,0,0,15442,0,11097,4472,8889,0,1813,0,0,0
World,1965,16140,18109,6303,923,26,0,18,9162,0,0,16140,0,18109,6303,9162,50,2564,71,0,0
World,1966,16324,19496,6869,984,34,0,20,9218,0,0,16324,0,19496,6869,9218,55,2733,96,0,0
