Entity,Year,Global precipitation anomaly (inches)
World,1901,-0.347421447
World,1902,-1.917107334
World,1903,0.782894124
World,1904,-1.484036234
World,1905,-0.37222461
World,1906,1.346673956
World,1907,0.289980472
World,1908,-1.110807686
World,1909,-0.408445102
World,1910,0.284862359
World,1911,-0.439941182
World,1912,0.006515752
World,1913,-0.400571082
World,1914,-0.587185356
World,1915,0.983681634
World,1916,1.302973145
World,1917,-0.323799387
World,1918,-0.543484545
World,1919,-0.979705253
World,1920,-0.302145832
World,1921,0.329744273
World,1922,0.771476795
World,1923,-0.287972596
World,1924,-0.336397819
World,1925,-1.406477137
World,1926,-0.20687019
World,1927,0.137224484
World,1928,-0.213956808
World,1929,-1.482855131
World,1930,-0.936004442
World,1931,0.383287609
World,1932,-0.19505916
World,1933,-0.726949211
World,1934,-0.589547562
World,1935,0.068326809
World,1936,-0.870650076
World,1937,-0.820256348
World,1938,0.079350437
World,1939,-1.005689519
World,1940,-1.197028205
World,1941,-0.138366216
World,1942,-1.074980895
World,1943,-1.546634693
World,1944,-1.398209416
World,1945,-0.057657511
World,1946,-0.631673569
World,1947,-0.373012012
World,1948,-0.25805132
World,1949,0.045885852
World,1950,1.367540109
World,1951,-0.167106389
World,1952,0.102185095
World,1953,0.963209182
World,1954,1.431319671
World,1955,1.396673983
World,1956,2.414391068
World,1957,0.669114535
World,1958,-0.339941128
World,1959,1.711634783
World,1960,0.109271713
World,1961,0.871083148
World,1962,-0.431673461
World,1963,-0.475374272
World,1964,0.007696855
World,1965,-0.423799441
World,1966,-0.412775813
World,1967,0.010452762
World,1968,-0.499390033
World,1969,0.733287798
World,1970,1.910060087
World,1971,1.308091258
World,1972,-0.837972893
World,1973,2.112816102
World,1974,3.226596231
World,1975,2.009272739
World,1976,-0.041122069
World,1977,0.029744111
World,1978,0.851004397
World,1979,0.330925376
World,1980,-0.673012174
World,1981,-0.043090574
World,1982,-1.357264512
World,1983,1.172658114
World,1984,1.325020401
World,1985,0.821476822
World,1986,-1.124587221
World,1987,-0.471437262
World,1988,1.451792123
World,1989,0.525019969
World,1990,2.175808262
World,1991,-1.287579435
World,1992,-1.198209308
World,1993,-1.003721014
World,1994,-1.774981273
World,1995,-0.643484599
World,1996,0.053759872
World,1997,-1.036398197
World,1998,1.430138568
World,1999,-0.263169433
World,2000,0.142342597
World,2001,0.668327133
World,2002,-0.01001969
World,2003,-0.124980382
World,2004,1.119508479
World,2005,0.562421564
World,2006,1.030925754
World,2007,1.669115075
World,2008,1.294311723
World,2009,0.912421753
World,2010,3.858486336
World,2011,2.259666575
World,2012,1.7183277
World,2013,1.29313062
World,2014,-1.178917959
World,2015,-0.959232801
World,2016,1.908878984
World,2017,0.676201153
World,2018,0.489586879
World,2019,-0.172224502
