Entity,Year,Estimated historic plastic fate,Extrapolation of plastic fate
Discarded,1980,100,
Discarded,1981,98.3,
Discarded,1982,97.6,
Discarded,1983,96.9,
Discarded,1984,96.2,
Discarded,1985,95.5,
Discarded,1986,94.8,
Discarded,1987,94.1,
Discarded,1988,92.8,
Discarded,1989,91.4,
Discarded,1990,90,
Discarded,1991,88.6,
Discarded,1992,87.2,
Discarded,1993,85.8,
Discarded,1994,84.4,
Discarded,1995,83,
Discarded,1996,81.6,
Discarded,1997,80.2,
Discarded,1998,78.8,
Discarded,1999,77.4,
Discarded,2000,76,
Discarded,2001,74.6,
Discarded,2002,73.2,
Discarded,2003,71.8,
Discarded,2004,70.4,
Discarded,2005,69,
Discarded,2006,67.6,
Discarded,2007,66.2,
Discarded,2008,64.8,
Discarded,2009,63.4,
Discarded,2010,62,
Discarded,2011,60.6,
Discarded,2012,59.2,
Discarded,2013,57.8,
Discarded,2014,56.4,
Discarded,2015,55,
Discarded,2016,,53.6
Discarded,2017,,52.2
Discarded,2018,,50.8
Discarded,2019,,49.4
Discarded,2020,,48
Discarded,2021,,46.6
Discarded,2022,,45.2
Discarded,2023,,43.8
Discarded,2024,,42.4
Discarded,2025,,41
Discarded,2026,,39.6
Discarded,2027,,38.2
Discarded,2028,,36.8
Discarded,2029,,35.4
Discarded,2030,,34
Discarded,2031,,32.6
Discarded,2032,,31.2
Discarded,2033,,29.8
Discarded,2034,,28.4
Discarded,2035,,27
Discarded,2036,,25.6
Discarded,2037,,24.2
Discarded,2038,,22.8
Discarded,2039,,21.4
Discarded,2040,,20
Discarded,2041,,18.6
Discarded,2042,,17.2
Discarded,2043,,15.8
Discarded,2044,,14.4
Discarded,2045,,13
Discarded,2046,,11.6
Discarded,2047,,10.2
Discarded,2048,,8.8
Discarded,2049,,7.4
Discarded,2050,,6
Incinerated,1980,0,
Incinerated,1981,1.7,
Incinerated,1982,2.4,
Incinerated,1983,3.1,
Incinerated,1984,3.8,
Incinerated,1985,4.5,
Incinerated,1986,5.2,
Incinerated,1987,5.9,
Incinerated,1988,6.6,
Incinerated,1989,7.3,
Incinerated,1990,8,
Incinerated,1991,8.7,
Incinerated,1992,9.4,
Incinerated,1993,10.1,
Incinerated,1994,10.8,
Incinerated,1995,11.5,
Incinerated,1996,12.2,
Incinerated,1997,12.9,
Incinerated,1998,13.6,
Incinerated,1999,14.3,
Incinerated,2000,15,
Incinerated,2001,15.7,
Incinerated,2002,16.4,
Incinerated,2003,17.1,
Incinerated,2004,17.8,
Incinerated,2005,18.5,
Incinerated,2006,19.2,
Incinerated,2007,19.9,
Incinerated,2008,20.6,
Incinerated,2009,21.3,
Incinerated,2010,22,
Incinerated,2011,22.7,
Incinerated,2012,23.4,
Incinerated,2013,24.1,
Incinerated,2014,24.8,
Incinerated,2015,25.5,
Incinerated,2016,,26.2
Incinerated,2017,,26.9
Incinerated,2018,,27.6
Incinerated,2019,,28.3
Incinerated,2020,,29
Incinerated,2021,,29.7
Incinerated,2022,,30.4
Incinerated,2023,,31.1
Incinerated,2024,,31.8
Incinerated,2025,,32.5
Incinerated,2026,,33.2
Incinerated,2027,,33.9
Incinerated,2028,,34.6
Incinerated,2029,,35.3
Incinerated,2030,,36
Incinerated,2031,,36.7
Incinerated,2032,,37.4
Incinerated,2033,,38.1
Incinerated,2034,,38.8
Incinerated,2035,,39.5
Incinerated,2036,,40.2
Incinerated,2037,,40.9
Incinerated,2038,,41.6
Incinerated,2039,,42.3
Incinerated,2040,,43
Incinerated,2041,,43.7
Incinerated,2042,,44.4
Incinerated,2043,,45.1
Incinerated,2044,,45.8
Incinerated,2045,,46.5
Incinerated,2046,,47.2
Incinerated,2047,,47.9
Incinerated,2048,,48.6
Incinerated,2049,,49.3
Incinerated,2050,,50
Recycled,1980,0,
Recycled,1981,0,
Recycled,1982,0,
Recycled,1983,0,
Recycled,1984,0,
Recycled,1985,0,
Recycled,1986,0,
Recycled,1987,0,
Recycled,1988,0.6,
Recycled,1989,1.3,
Recycled,1990,2,
Recycled,1991,2.7,
Recycled,1992,3.4,
Recycled,1993,4.1,
Recycled,1994,4.8,
Recycled,1995,5.5,
Recycled,1996,6.2,
Recycled,1997,6.9,
Recycled,1998,7.6,
Recycled,1999,8.3,
Recycled,2000,9,
Recycled,2001,9.7,
Recycled,2002,10.4,
Recycled,2003,11.1,
Recycled,2004,11.8,
Recycled,2005,12.5,
Recycled,2006,13.2,
Recycled,2007,13.9,
Recycled,2008,14.6,
Recycled,2009,15.3,
Recycled,2010,16,
Recycled,2011,16.7,
Recycled,2012,17.4,
Recycled,2013,18.1,
Recycled,2014,18.8,
Recycled,2015,19.5,
Recycled,2016,,20.2
Recycled,2017,,20.9
Recycled,2018,,21.6
Recycled,2019,,22.3
Recycled,2020,,23
Recycled,2021,,23.7
Recycled,2022,,24.4
Recycled,2023,,25.1
Recycled,2024,,25.8
Recycled,2025,,26.5
Recycled,2026,,27.2
Recycled,2027,,27.9
Recycled,2028,,28.6
Recycled,2029,,29.3
Recycled,2030,,30
Recycled,2031,,30.7
Recycled,2032,,31.4
Recycled,2033,,32.1
Recycled,2034,,32.8
Recycled,2035,,33.5
Recycled,2036,,34.2
Recycled,2037,,34.9
Recycled,2038,,35.6
Recycled,2039,,36.3
Recycled,2040,,37
Recycled,2041,,37.7
Recycled,2042,,38.4
Recycled,2043,,39.1
Recycled,2044,,39.8
Recycled,2045,,40.5
Recycled,2046,,41.2
Recycled,2047,,41.9
Recycled,2048,,42.6
Recycled,2049,,43.3
Recycled,2050,,44
