Entity,Year,Two-men marriages,Two-women marriages
Netherlands,2005,570,580
Netherlands,2006,579,633
Netherlands,2007,663,708
Netherlands,2008,656,752
Netherlands,2009,573,785
Netherlands,2010,660,694
Netherlands,2011,601,754
Netherlands,2012,544,741
Netherlands,2013,522,700
Netherlands,2014,532,727
Netherlands,2015,647,748
