Entity,Year,Maximum ozone hole area (NASA),Mean ozone hole area,Minimum daily concentration (NASA),Mean daily concentration (NASA)
World,1979,1.1,0.1,194,225
World,1980,3.3,1.4,192,203
World,1981,3.1,0.6,195,209.5
World,1982,10.8,4.8,170,185
World,1983,12.2,7.9,154,172.9
World,1984,14.7,10.1,144,163.6
World,1985,18.8,14.2,124,146.5
World,1986,14.4,11.3,140,157.8
World,1987,22.4,19.3,109,123
World,1988,13.8,10,162,171
World,1989,21.7,18.7,108,127
World,1990,21.1,19.2,111,124.2
World,1991,22.6,18.8,94,119
World,1992,24.9,22.3,105,114.3
World,1993,25.8,24.2,104,112.6
World,1994,25.2,23.6,73,92.3
World,1996,26.9,22.8,103,108.8
World,1997,25.1,22.1,99,108.8
World,1998,27.9,25.9,86,98.8
World,1999,25.8,23.3,97,102.9
World,2000,29.9,24.8,89,98.7
World,2001,26.5,25,91,100.9
World,2002,21.9,12,131,157.4
World,2003,28.4,25.8,91,108.7
World,2004,22.8,19.5,102,123.5
World,2005,27.3,24.4,103,113.8
World,2006,29.6,26.6,84,98.4
World,2007,25.2,22,108,116.2
World,2008,27,25.2,101,114
World,2009,24.4,22,97,107.9
World,2010,22.6,19.4,119,128.5
World,2011,26.1,24.7,95,106.5
World,2012,21.1,17.8,124,139.3
World,2013,24,21,116,132.7
World,2014,24.1,20.9,114,128.6
World,2015,28.2,25.6,101,117.2
World,2016,23,20.7,114,123.2
World,2017,19.6,17.4,131,141.8
