Entity,Year,Food,Beverage,Tobacco,Light industry,"Manufacture of wooden products, except furniture",Manufacture of chemical products,Manufacture of other non-metallic mineral products,Metallurgical industry,"Manufacture of finished metal products, except machinery and equipment","Manufacture of computers, electronic and optical products",Manufacture of machinery and equipment,"Manufacture of motor vehicles, trailers and semitrailers",Manufacture of other vehicles,Manufacture of furniture
Kazakhstan,1991,50460000,1940000,670000,22800000,1250000,7850000,7830000,21830000,1990000,460000,9510000,350000,,1370000
Kazakhstan,1992,324670000,21320000,6040000,146550000,11250000,141140000,101110000,636710000,25730000,2470000,93030000,4190000,,10480000
Kazakhstan,1993,3299350000,150970000,77950000,1245420000,334330000,708470000,1146160000,4574930000,368900000,31830000,957410000,33770000,,121150000
Kazakhstan,1994,42728090000,1832730000,183010000,12422820000,1186950000,9787630000,13018580000,64918100000,4247000000,454210000,10506520000,477180000,,1331050000
Kazakhstan,1995,73458100000,4157790000,3899470000,14083040000,2188310000,19070810000,22034990000,123863530000,7894490000,500460000,19327970000,2250750000,59450000,1986770000
Kazakhstan,1996,69995030000,7804670000,9845620000,14381210000,1749160000,19952150000,17518020000,130408750000,7034170000,700030000,21078750000,669760000,45640000,1861480000
Kazakhstan,1997,64171060000,14566350000,14031710000,11989700000,1593230000,15842620000,13390040000,172941380000,5674190000,324940000,18837480000,518990000,59090000,1238930000
Kazakhstan,1998,137852900000,18933700000,14175900000,8747510000,1908380000,15431030000,11843050000,151852130000,7674440000,3160250000,7897490000,364390000,291860000,1106280000
Kazakhstan,1999,153048420000,18739710000,15067330000,12361110000,1748480000,22106620000,8226100000,250256520000,6679440000,4283950000,5712590000,592490000,377500000,1061820000
Kazakhstan,2000,204286480000,28785250000,21381410000,21936060000,3049040000,26655270000,13659020000,366095820000,10421920000,10313620000,8982210000,601980000,1592750000,2341800000
Kazakhstan,2001,235596210000,33677960000,25134000000,25679060000,3568760000,30568840000,23770010000,358004120000,15373160000,10866070000,12525210000,1599420000,2702090000,2981870000
Kazakhstan,2002,232193030000,41428430000,28345720000,27828810000,5076530000,34879040000,31603930000,397866240000,15690440000,9560310000,12622640000,1757830000,1837290000,4683360000
Kazakhstan,2003,274577850000,42759870000,34465100000,35653150000,4919830000,38727700000,44892030000,461340210000,21526760000,12517010000,20001910000,3787950000,3823540000,6611930000
Kazakhstan,2004,331121530000,51277890000,39934860000,36800630000,5756330000,44066100000,71045600000,603799320000,28716870000,12714830000,27307240000,4037480000,2551830000,9115110000
Kazakhstan,2005,370239360000,70774200000,45692820000,37183980000,7577540000,53266150000,110221390000,693314390000,44428430000,12501510000,34826650000,5945280000,4335330000,11381080000
Kazakhstan,2006,418584300000,81934640000,51811290000,36860280000,8750200000,62074480000,150594660000,1018913410000,80791530000,16307060000,38533060000,16772280000,6164120000,15199450000
Kazakhstan,2007,490767490000,108526090000,63414260000,32511530000,10603600000,70604500000,248810460000,1213936480000,104800150000,14630850000,48537080000,27017620000,3611750000,20553900000
Kazakhstan,2008,623487780000,115271400000,67745750000,27465110000,10305990000,106156860000,220466650000,1403782970000,116173150000,13923830000,55159120000,13553680000,6461370000,19268080000
Kazakhstan,2009,629755680000,120707020000,70310260000,27937130000,9149600000,85541920000,182586610000,1078292620000,105329230000,12612740000,43216540000,6335080000,8824430000,17959750000
Kazakhstan,2010,695244150000,149693000000,68020000000,34229000000,9734000000,104107000000,202109000000,1595090000000,95510000000,16555000000,56898000000,15754000000,27429000000,21470000000
Kazakhstan,2011,828005000000,153243000000,81124000000,39648490000,13186000000,147929000000,264231000000,1942138000000,124785000000,23428000000,77383000000,35389000000,78415000000,30837000000
Kazakhstan,2012,865570000000,181950000000,98662000000,53608000000,17142000000,178971000000,320902000000,1964416000000,143010000000,26848000000,98132000000,78404000000,118489000000,37000000000
Kazakhstan,2013,970123000000,202459000000,111909000000,64978000000,15741000000,185977000000,402072000000,1752059000000,176127000000,33169000000,97003000000,157137000000,156735000000,35023000000
Kazakhstan,2014,1103491000000,233059000000,104232000000,63189000000,19882000000,230310000000,452081000000,1912427000000,179898000000,37006000000,104144000000,184610000000,140198000000,33796000000
Kazakhstan,2015,1095015000000,216316000000,93469000000,71592000000,21313000000,241588000000,442989000000,2140058000000,176733000000,33268000000,85202000000,87341000000,75524000000,30256000000
Kazakhstan,2016,1448386000000,254294000000,105936000000,82464000000,24385000000,284551000000,442975000000,3380172000000,234453000000,38270000000,117344000000,55075000000,55157000000,35959000000
