Entity,Year,Share of women in top 10%,Share of women in top 5%,Share of women in top 1%,Share of women in top 0.1%,Share of women in top 0.5%,Share of women in top 0.25%,top 10% series 2,top 5% series 2,top 1% series 2,top 0.1% series 2,top 0.5% series 2,top 0.25% series 2,top 0.5% series 3
Denmark,1985,12.1,8.7,5.8,5.8,,,,,,,,,
Denmark,1986,11.4,8.3,5.6,5.6,,,,,,,,,
Denmark,1987,12.4,9,6.2,6.8,,,,,,,,,
Denmark,1988,14.6,10.4,6.4,6.4,,,,,,,,,
Denmark,1989,15.3,10.9,6.8,7.2,,,,,,,,,
Denmark,1990,16.3,11.5,7.1,7,,,,,,,,,
Denmark,1991,16.7,12.5,8.2,8.4,,,,,,,,,
Denmark,1992,17.6,13.4,9.1,8.4,,,,,,,,,
Denmark,1993,18.6,14,9.4,8.8,,,,,,,,,
Denmark,1994,18.4,14,9.5,8.9,,,,,,,,,
Denmark,1995,18.6,14.3,9.4,8.8,,,,,,,,,
Denmark,1996,19,14.4,9.5,9.2,,,,,,,,,
Denmark,1997,19,14.4,9.6,8.9,,,,,,,,,
Denmark,1998,19.5,14.9,9.9,8.2,,,,,,,,,
Denmark,1999,19.9,15.4,10.2,8.7,,,,,,,,,
Denmark,2000,20.3,15.7,10.3,9.7,,,,,,,,,
Denmark,2001,21.1,16.4,10.4,8.2,,,,,,,,,
Denmark,2002,22.3,17.5,11.3,8.8,,,,,,,,,
Denmark,2003,23.5,18.5,12,9.8,,,,,,,,,
Denmark,2004,24.2,19.2,12.6,10.2,,,,,,,,,
Denmark,2005,24.8,19.8,13,11.5,,,,,,,,,
Denmark,2006,25.3,20.4,13.6,11.1,,,,,,,,,
Denmark,2007,25.5,20.7,13.6,10.3,,,,,,,,,
Denmark,2008,26.3,21.5,14.3,11,,,,,,,,,
Denmark,2009,28.6,23.3,15.8,11.4,,,,,,,,,
Denmark,2010,30.3,24.3,16,10.3,,,,,,,,,
Denmark,2011,30.3,24.4,16.1,9.9,,,,,,,,,
Denmark,2012,30.6,24.5,16.1,10.2,,,,,,,,,
Denmark,2013,30.9,25.1,16.2,10.8,,,,,,,,,
Italy,1999,25.2,21.4,15.4,12.5,14.3,13.6,,,,,,,
Italy,2000,25.3,21.7,15.5,12.3,14.1,13.3,,,,,,,
Italy,2001,25.4,21.9,15.7,12,14.1,13.2,,,,,,,
Italy,2002,25.4,21.9,15.7,12.2,14.1,13.2,,,,,,,
Italy,2003,25.7,22.1,15.9,12.6,14.3,13.4,,,,,,,
Italy,2004,25.6,22.3,15.8,11.7,14.2,13,,,,,,,
Italy,2005,25.6,22.5,16.1,11.7,14.3,13,,,,,,,
Italy,2006,26.2,22.8,16.7,12.1,14.8,13.4,,,,,,,
Italy,2007,26.2,23.1,16.7,12.1,14.8,13.5,,,,,,,
Italy,2008,27.2,23.5,17,12,14.9,13.4,,,,,,,
Italy,2009,28.2,24.2,17.5,12,15.4,13.5,,,,,,,
Italy,2010,28.6,24.5,17.9,12.1,15.7,13.8,,,,,,,
Italy,2011,28.8,24.9,18.2,12.5,16,14.2,,,,,,,
Italy,2012,28,24.8,18.4,12.7,16.2,14.4,,,,,,,
Italy,2013,28.5,25.4,19.1,13.4,17,15.1,,,,,,,
Italy,2014,29,25.9,19.6,13.8,17.5,15.6,,,,,,,
Italy,2015,28.6,26,19.7,14.1,17.8,16,,,,,,,
New Zealand,1980,11.6,10.4,9.2,,8.5,,,,,,,,
New Zealand,1981,11.8,10,7.8,,7.3,,,,,,,,
New Zealand,1982,13.5,10.7,9.5,,8.2,,,,,,,,
New Zealand,1983,14.1,12.4,10.6,,9.7,,,,,,,,
New Zealand,1984,15.6,14.5,12.6,,10.1,,,,,,,,
New Zealand,1985,16,14.7,15.3,,13,,,,,,,,
New Zealand,1986,18.1,15.9,13.1,,11.8,,,,,,,,
New Zealand,1987,17.9,14.9,14,,,,,,,,,,
New Zealand,1988,19.3,16.2,13.8,,,,,,,,12.2,,
New Zealand,1989,20.7,18.3,16.3,,,,,,,,15.1,,
New Zealand,1990,22.6,20.2,18.2,,,,,,,,,,
New Zealand,1991,23.3,20.1,18.6,,,,,,,,,,
New Zealand,1992,23.3,19.8,17.7,,,,,,,,,,
New Zealand,1993,22,18.9,14.3,,,,,,,,,,
New Zealand,1994,22.1,19,13.9,,,,,,,,,,
New Zealand,1995,22.9,19.9,16.1,,,,,,,,,,
New Zealand,1996,24.3,20.5,16.2,,,,,,,,,,
New Zealand,1997,24.6,20.7,,,,,,,,,,,
New Zealand,1998,26.2,21.3,,,,,,,15.7,,,,14.5
New Zealand,1999,27.2,22.6,,,,,,,18.4,,,,16.8
New Zealand,2000,28.1,23.5,,,,,,,17.5,,,,16.9
New Zealand,2001,28.8,24.4,,,,,,,17.3,,,,15.9
New Zealand,2002,28.8,23.4,,,,,,,17.1,,,,17
New Zealand,2003,29.4,24.5,,,,,,,17.6,,,,15.8
New Zealand,2004,28.8,23.8,,,,,,,17.8,,,,15.6
New Zealand,2005,29,24.4,,,,,,,17.7,,,,16.3
New Zealand,2006,29.4,24.4,,,,,,,17.9,,,,16.9
New Zealand,2007,29.4,24.8,,,,,,,18.5,,,,16.4
New Zealand,2008,29.7,24.5,,,,,,,18.9,,,,15.9
New Zealand,2009,30.4,24.2,,,,,,,19.1,,,,16.2
New Zealand,2010,30.2,24,,,,,,,18.2,,,,15
New Zealand,2011,30,24.4,,,,,,,18.8,,,,
New Zealand,2012,29.2,24,,,,,,,18.8,,,,
New Zealand,2013,29.3,24,,,,,,,18.2,,,,
New Zealand,2014,29.4,24.3,,,,,,,17.9,,,,
New Zealand,2015,29.3,24.9,,,,,,,19.7,,,,
Norway,1993,17.9,13.5,10.1,13.2,10.7,,,,,,,,
Norway,1994,16.6,12.8,10.2,11.5,10.3,,,,,,,,
Norway,1995,16.6,12.8,9.7,10,10.2,,,,,,,,
Norway,1996,16.8,13,9.9,10.1,10.1,,,,,,,,
Norway,1997,16.3,13,10.2,10.5,10.4,,,,,,,,
Norway,1998,16.9,13.5,10.6,11.6,10.9,,,,,,,,
Norway,1999,17.9,14.3,11.1,11.1,11.1,,,,,,,,
Norway,2000,18.7,15.1,12.1,11.5,12,,,,,,,,
Norway,2001,19.5,15.5,11.8,11.5,11.6,,,,,,,,
Norway,2002,20.1,16.3,13.2,14.2,13.2,,,,,,,,
Norway,2003,20.4,16.7,13.6,15.9,13.9,,,,,,,,
Norway,2004,19.5,16.2,13.5,16.1,13.8,,,,,,,,
Norway,2006,,,,,,,19.4,16,11.9,10.9,11.4,,
Norway,2007,,,,,,,19.9,16.6,13.1,12.6,12.5,,
Norway,2008,,,,,,,21.2,17.6,13.2,11.8,12.4,,
Norway,2009,,,,,,,20.7,17,12.6,11.3,11.7,,
Norway,2010,,,,,,,20.9,17.4,13,12,12.4,,
Norway,2011,,,,,,,21.2,17.7,13.5,12.5,12.6,,
Norway,2012,,,,,,,21.3,17.7,13.2,12.7,12.6,,
Norway,2013,,,,,,,21.5,17.8,13.7,13.6,13.2,,
Spain,1999,24.4,19.8,14.7,13.7,14.5,,,,,,,,
Spain,2000,24.6,20,15.1,13.7,14.7,,,,,,,,
Spain,2001,26,21.7,16.3,14.5,15.8,,,,,,,,
Spain,2002,25.4,21.4,16.5,14.8,15.9,,,,,,,,
Spain,2003,27.2,23,17.2,15.9,16.3,,,,,,,,
Spain,2004,29,25,18.2,16.2,17,,,,,,,,
Spain,2005,28.9,25.1,18.4,16.5,17.3,,,,,,,,
Spain,2006,29.6,25.7,19.4,17.7,18.3,,,,,,,,
Spain,2007,30.1,27.3,20,17.7,18.8,,,,,,,,
Spain,2008,31.2,27.9,20.7,18.3,19.2,,,,,,,,
Spain,2009,33,30,22.1,18.7,19.9,,,,,,,,
Spain,2010,33.2,30.3,23.5,18.3,20.9,,,,,,,,
Spain,2011,33.4,31,24.1,20,21.8,,,,,,,,
Spain,2012,34.1,31.4,25,19.4,22.6,,,,,,,,
Spain,2013,34.8,33.2,24.9,19.8,22.4,,,,,,,,
UK,1995,19.9,15.6,10.7,9.6,9.8,9.9,,,,,,,
UK,1996,20.6,16.7,13.2,8.6,12.2,10,,,,,,,
UK,1997,21.5,17.6,13.5,10.7,12.5,13.1,,,,,,,
UK,1998,21.4,17.7,13.4,10.4,12.1,10.8,,,,,,,
UK,1999,21.9,18.6,13.4,10,11.8,10.6,,,,,,,
UK,2000,21.8,18.4,13.8,9.8,12.5,11.3,,,,,,,
UK,2001,23.3,18.9,14.2,10.7,12.6,11.4,,,,,,,
UK,2002,23.5,19.4,14.1,9.1,12.2,11.1,,,,,,,
UK,2003,24.5,20,14.7,9.3,12.7,11.2,,,,,,,
UK,2004,25.3,21.7,15.1,9.5,12.8,11.5,,,,,,,
UK,2005,25.6,21.5,15.6,9.7,12.9,11.2,,,,,,,
UK,2006,25.9,22.1,15.7,9.9,13.4,11.7,,,,,,,
UK,2007,26.4,22.9,16.2,10.8,14.1,12.7,,,,,,,
UK,2009,,,,,,,27.9,23.5,17,10.2,14.5,12.6,
UK,2010,,,,,,,28.3,23.8,16.8,10,14.3,12,
UK,2011,,,,,,,28.1,24.2,17.1,9.9,14.4,12.2,
UK,2012,,,,,,,28,24.2,17.7,11.9,15.4,13.5,
UK,2013,,,,,,,28,24.6,18,10.8,15.6,13.3,
UK,2014,,,,,,,27.7,24.8,18.6,11.4,16.3,13.9,
UK,2015,,,,,,,28.3,25.1,18.9,12.7,17.1,15.3,
