Entity,Year,Share of women in top 10%,Share of women in top 5%,Share of women in top 1%,Share of women in top 0.1%,Share of women in top 0.5%,Share of women in top 0.25%,top 10% series 2,top 5% series 2,top 1% series 2,top 0.1% series 2,top 0.5% series 2,top 0.25% series 2,top 0.5% series 3
Australia,2000,24.9,21.1,18.3,14.2,,,,,,,,,
Australia,2001,25.1,21.4,18.4,13.2,,,,,,,,,
Australia,2002,25.1,21.5,18.8,13.5,,,,,,,,,
Australia,2003,25.1,21.6,19.1,14.4,,,,,,,,,
Australia,2004,25.5,22.2,19.6,15.2,,,,,,,,,
Australia,2005,25.5,22.6,20.3,15.1,,,,,,,,,
Australia,2006,26,23.4,21.5,16.8,,,,,,,,,
Australia,2007,25.4,22.9,20.7,16.1,,,,,,,,,
Australia,2008,25.9,22.6,20.2,16.1,,,,,,,,,
Australia,2009,26,22.5,20,15.9,,,,,,,,,
Australia,2010,25.8,22.8,20.4,16.7,,,,,,,,,
Australia,2011,25.3,22.3,20.2,16.7,,,,,,,,,
Australia,2012,25.1,21.8,19.8,16.7,,,,,,,,,
Australia,2013,25.7,22.3,20.3,17.2,,,,,,,,,
Australia,2014,26.6,23,20.8,,,,,,,,,,
Canada,1993,22.2,18.6,13.5,10.4,,,,,,,,,
Canada,1994,21.9,18.1,13.8,10.7,,,,,,,,,
Canada,1995,22.3,18.5,14.5,10.3,,,,,,,,,
Canada,1996,22.7,19,15,9.9,,,,,,,,,
Canada,1997,22.7,18.9,15.4,9.9,,,,,,,,,
Canada,1998,23.4,19.6,15.7,10.8,,,,,,,,,
Canada,1999,23.7,19.9,16.2,11.8,,,,,,,,,
Canada,2000,25.7,21.8,16.6,11.4,,,,,,,,,
Canada,2001,25.2,21.3,17.2,11.5,,,,,,,,,
Canada,2002,26.2,21.9,17.5,12.1,,,,,,,,,
Canada,2003,26.7,22.3,17.9,12.6,,,,,,,,,
Canada,2004,27.2,22.9,18.5,12.2,,,,,,,,,
Canada,2005,27.3,23,18.8,12.5,,,,,,,,,
Canada,2006,27.8,23.6,19.5,12,,,,,,,,,
Canada,2007,28.5,24.2,20.1,12.9,,,,,,,,,
Canada,2008,28.8,24.4,20.3,13.4,,,,,,,,,
Canada,2009,30.6,25.6,20.8,13.7,,,,,,,,,
Canada,2010,30.4,25.5,20.9,13.3,,,,,,,,,
Canada,2011,30.3,25.4,21.1,13.9,,,,,,,,,
Canada,2012,29.8,25.2,21.3,14.5,,,,,,,,,
Canada,2013,29.8,25.4,22,15.9,,,,,,,,,
Canada,2014,29.7,25.2,21.7,15.3,,,,,,,,,
Canada,2015,30.8,26.5,23.2,16.5,,,,,,,,,
Denmark,1980,9.4,6.9,4.5,4.8,,,,,,,,,
Denmark,1981,10.3,7.3,4.7,5,,,,,,,,,
Denmark,1982,10.7,7.6,4.8,4.6,,,,,,,,,
Denmark,1983,11.7,8.4,5.6,5.5,,,,,,,,,
Denmark,1984,11.2,8.3,5.6,5.8,,,,,,,,,
